LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/12/2010;""7"";""5"";""9"";""6"";""95"";""8"";""6"";""16"";""0"";""998"";""0"";""0"";""pioggia temporale """
"Ancona;2/12/2010;""10"";""8"";""12"";""6"";""74"";""12"";""7"";""20"";""0"";""0"";""0"";""0"";""pioggia temporale """
"Ancona;3/12/2010;""6"";""3"";""10"";""4"";""84"";""9"";""5"";""12"";""0"";""1008"";""0"";""0"";""pioggia """
"Ancona;4/12/2010;""5"";""2"";""8"";""3"";""83"";""10"";""8"";""16"";""0"";""1015"";""0"";""0"";""pioggia """
"Ancona;5/12/2010;""5"";""1"";""8"";""2"";""74"";""12"";""5"";""10"";""0"";""1021"";""0"";""0"";"""""
"Ancona;6/12/2010;""10"";""6"";""13"";""5"";""73"";""10"";""5"";""9"";""0"";""1010"";""0"";""0"";"""""
"Ancona;7/12/2010;""10"";""8"";""16"";""8"";""90"";""7"";""5"";""8"";""0"";""1008"";""0"";""0"";"""""
"Ancona;8/12/2010;""11"";""7"";""18"";""9"";""89"";""7"";""4"";""12"";""0"";""1009"";""0"";""0"";"""""
"Ancona;9/12/2010;""12"";""9"";""18"";""8"";""76"";""10"";""10"";""20"";""28"";""1009"";""0"";""0"";""pioggia nebbia """
"Ancona;10/12/2010;""6"";""1"";""10"";""2"";""56"";""24"";""7"";""15"";""0"";""1022"";""0"";""0"";"""""
"Ancona;11/12/2010;""4"";""-1"";""11"";""1"";""68"";""41"";""6"";""13"";""0"";""1019"";""0"";""0"";"""""
"Ancona;12/12/2010;""6"";""0"";""13"";""4"";""80"";""12"";""8"";""52"";""0"";""1007"";""0"";""0"";"""""
"Ancona;13/12/2010;""5"";""3"";""8"";""2"";""77"";""9"";""8"";""18"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Ancona;14/12/2010;""0"";""-3"";""4"";""0"";""83"";""8"";""5"";""16"";""20"";""1018"";""0"";""0"";""neve """
"Ancona;15/12/2010;""-1"";""-4"";""3"";""0"";""94"";""7"";""6"";""15"";""0"";""1017"";""0"";""0"";""neve """
"Ancona;16/12/2010;""-1"";""-3"";""2"";""0"";""84"";""7"";""10"";""18"";""0"";""1012"";""0"";""0"";""neve """
"Ancona;17/12/2010;""0"";""-6"";""3"";""1"";""72"";""10"";""6"";""12"";""0"";""1001"";""0"";""0"";""pioggia """
"Ancona;18/12/2010;""-1"";""-5"";""2"";""0"";""80"";""9"";""5"";""12"";""0"";""1002"";""0"";""0"";""neve """
"Ancona;19/12/2010;""-1"";""-6"";""5"";""1"";""78"";""19"";""4"";""7"";""0"";""1012"";""0"";""0"";"""""
"Ancona;20/12/2010;""1"";""0"";""3"";""1"";""88"";""5"";""4"";""6"";""0"";""1012"";""0"";""0"";""pioggia neve """
"Ancona;21/12/2010;""6"";""0"";""13"";""5"";""88"";""5"";""3"";""7"";""0"";""1014"";""0"";""0"";"""""
"Ancona;22/12/2010;""9"";""6"";""12"";""7"";""90"";""5"";""4"";""9"";""0"";""1010"";""0"";""0"";""pioggia """
"Ancona;23/12/2010;""11"";""6"";""16"";""9"";""89"";""6"";""7"";""17"";""30"";""1001"";""0"";""0"";""pioggia nebbia """
"Ancona;24/12/2010;""12"";""8"";""16"";""9"";""79"";""13"";""6"";""12"";""0"";""993"";""0"";""0"";""pioggia """
"Ancona;25/12/2010;""9"";""7"";""13"";""6"";""79"";""11"";""6"";""17"";""0"";""1000"";""0"";""0"";""pioggia """
"Ancona;26/12/2010;""6"";""5"";""8"";""5"";""88"";""9"";""10"";""17"";""0"";""1012"";""0"";""0"";""pioggia """
"Ancona;27/12/2010;""4"";""0"";""6"";""0"";""58"";""15"";""11"";""17"";""31"";""1022"";""0"";""0"";"""""
"Ancona;28/12/2010;""2"";""-1"";""6"";""1"";""80"";""14"";""5"";""8"";""0"";""1023"";""0"";""0"";"""""
"Ancona;29/12/2010;""2"";""0"";""5"";""1"";""85"";""8"";""4"";""9"";""0"";""1024"";""0"";""0"";"""""
"Ancona;30/12/2010;""4"";""2"";""6"";""1"";""82"";""6"";""4"";""7"";""0"";""1024"";""0"";""0"";"""""
"Ancona;31/12/2010;""5"";""4"";""7"";""2"";""75"";""5"";""3"";""8"";""0"";""1023"";""0"";""0"";"""""
