LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/9/2010;""18"";""11"";""24"";""11"";""59"";""25"";""5"";""10"";""0"";""1013"";""0"";""0"";"""""
"Ancona;2/9/2010;""21"";""13"";""27"";""13"";""62"";""28"";""6"";""9"";""0"";""1015"";""0"";""0"";"""""
"Ancona;3/9/2010;""21"";""16"";""25"";""16"";""73"";""15"";""6"";""14"";""0"";""1015"";""0"";""0"";"""""
"Ancona;4/9/2010;""21"";""16"";""25"";""16"";""73"";""14"";""5"";""12"";""0"";""1015"";""0"";""0"";"""""
"Ancona;5/9/2010;""21"";""16"";""25"";""16"";""75"";""15"";""6"";""13"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Ancona;6/9/2010;""20"";""16"";""25"";""17"";""81"";""11"";""5"";""12"";""0"";""1014"";""0"";""0"";""temporale """
"Ancona;7/9/2010;""22"";""17"";""27"";""18"";""77"";""13"";""6"";""10"";""0"";""1012"";""0"";""0"";"""""
"Ancona;8/9/2010;""22"";""20"";""26"";""19"";""80"";""9"";""6"";""13"";""0"";""1008"";""0"";""0"";""pioggia temporale """
"Ancona;9/9/2010;""21"";""16"";""27"";""16"";""72"";""11"";""5"";""16"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Ancona;10/9/2010;""18"";""17"";""21"";""15"";""83"";""8"";""8"";""18"";""22"";""1015"";""0"";""0"";""pioggia temporale """
"Ancona;11/9/2010;""22"";""21"";""23"";""14"";""59"";""13"";""13"";""22"";""33"";""1016"";""0"";""0"";"""""
"Ancona;12/9/2010;""20"";""16"";""23"";""14"";""69"";""16"";""7"";""14"";""0"";""1017"";""0"";""0"";"""""
"Ancona;13/9/2010;""19"";""14"";""23"";""14"";""74"";""18"";""5"";""12"";""0"";""1017"";""0"";""0"";"""""
"Ancona;14/9/2010;""20"";""16"";""24"";""16"";""74"";""13"";""7"";""12"";""0"";""1020"";""0"";""0"";"""""
"Ancona;15/9/2010;""19"";""14"";""25"";""14"";""71"";""18"";""5"";""10"";""0"";""1017"";""0"";""0"";"""""
"Ancona;16/9/2010;""22"";""15"";""28"";""15"";""65"";""15"";""7"";""12"";""0"";""1013"";""0"";""0"";"""""
"Ancona;17/9/2010;""22"";""20"";""24"";""16"";""67"";""12"";""5"";""10"";""0"";""1012"";""0"";""0"";""pioggia """
"Ancona;18/9/2010;""24"";""21"";""28"";""17"";""64"";""12"";""5"";""8"";""0"";""1011"";""0"";""0"";""pioggia """
"Ancona;19/9/2010;""19"";""17"";""21"";""15"";""80"";""12"";""10"";""22"";""33"";""1011"";""0"";""0"";""pioggia temporale """
"Ancona;20/9/2010;""18"";""14"";""21"";""11"";""65"";""20"";""8"";""14"";""0"";""1019"";""0"";""0"";"""""
"Ancona;21/9/2010;""17"";""12"";""22"";""13"";""78"";""17"";""5"";""9"";""0"";""1019"";""0"";""0"";"""""
"Ancona;22/9/2010;""18"";""14"";""22"";""14"";""78"";""9"";""6"";""14"";""0"";""1019"";""0"";""0"";"""""
"Ancona;23/9/2010;""18"";""13"";""23"";""15"";""83"";""11"";""5"";""9"";""0"";""1017"";""0"";""0"";"""""
"Ancona;24/9/2010;""19"";""14"";""24"";""16"";""83"";""8"";""5"";""10"";""0"";""1007"";""0"";""0"";""pioggia """
"Ancona;25/9/2010;""18"";""16"";""21"";""15"";""82"";""11"";""7"";""17"";""0"";""998"";""0"";""0"";""pioggia """
"Ancona;26/9/2010;""18"";""13"";""25"";""11"";""65"";""16"";""6"";""12"";""0"";""1002"";""0"";""0"";""pioggia """
"Ancona;27/9/2010;""17"";""11"";""23"";""8"";""56"";""15"";""7"";""15"";""0"";""1008"";""0"";""0"";"""""
"Ancona;28/9/2010;""17"";""12"";""23"";""10"";""61"";""18"";""6"";""14"";""0"";""1013"";""0"";""0"";""temporale """
"Ancona;29/9/2010;""15"";""13"";""19"";""12"";""78"";""12"";""6"";""15"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Ancona;30/9/2010;""17"";""10"";""23"";""10"";""68"";""18"";""5"";""9"";""0"";""1016"";""0"";""0"";"""""
