LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/4/2011;""13"";""7"";""19"";""5"";""57"";""14"";""5"";""10"";""0"";""1022"";""0"";""0"";"""""
"Ancona;2/4/2011;""14"";""8"";""21"";""6"";""57"";""19"";""5"";""9"";""0"";""1020"";""0"";""0"";"""""
"Ancona;3/4/2011;""16"";""8"";""22"";""7"";""56"";""36"";""5"";""12"";""0"";""1015"";""0"";""0"";"""""
"Ancona;4/4/2011;""18"";""9"";""26"";""8"";""54"";""21"";""4"";""12"";""0"";""1013"";""0"";""0"";"""""
"Ancona;5/4/2011;""14"";""10"";""18"";""10"";""75"";""15"";""9"";""17"";""0"";""1022"";""0"";""0"";""pioggia """
"Ancona;6/4/2011;""13"";""7"";""17"";""6"";""64"";""38"";""5"";""9"";""0"";""1027"";""0"";""0"";"""""
"Ancona;7/4/2011;""16"";""9"";""21"";""7"";""56"";""29"";""5"";""9"";""0"";""1023"";""0"";""0"";"""""
"Ancona;8/4/2011;""18"";""14"";""22"";""9"";""55"";""10"";""6"";""12"";""0"";""1015"";""0"";""0"";"""""
"Ancona;9/4/2011;""19"";""11"";""26"";""10"";""58"";""36"";""6"";""13"";""0"";""1012"";""0"";""0"";"""""
"Ancona;10/4/2011;""18"";""11"";""22"";""5"";""44"";""39"";""5"";""12"";""21"";""0"";""0"";""0"";"""""
"Ancona;11/4/2011;""14"";""8"";""20"";""6"";""56"";""41"";""4"";""8"";""0"";""1019"";""0"";""0"";"""""
"Ancona;12/4/2011;""18"";""9"";""25"";""6"";""46"";""18"";""7"";""16"";""28"";""1012"";""0"";""0"";"""""
"Ancona;13/4/2011;""11"";""7"";""19"";""7"";""75"";""18"";""11"";""36"";""54"";""1015"";""0"";""0"";""pioggia """
"Ancona;14/4/2011;""12"";""5"";""18"";""3"";""53"";""16"";""6"";""9"";""0"";""1014"";""0"";""0"";"""""
"Ancona;15/4/2011;""11"";""9"";""14"";""6"";""66"";""11"";""6"";""13"";""0"";""1014"";""0"";""0"";""pioggia """
"Ancona;16/4/2011;""11"";""5"";""15"";""6"";""72"";""15"";""7"";""12"";""0"";""1017"";""0"";""0"";"""""
"Ancona;17/4/2011;""12"";""7"";""15"";""7"";""71"";""17"";""8"";""15"";""0"";""1020"";""0"";""0"";"""""
"Ancona;18/4/2011;""11"";""7"";""15"";""6"";""70"";""16"";""8"";""15"";""0"";""1021"";""0"";""0"";"""""
"Ancona;19/4/2011;""11"";""6"";""16"";""7"";""74"";""14"";""6"";""12"";""0"";""1017"";""0"";""0"";"""""
"Ancona;20/4/2011;""12"";""6"";""17"";""7"";""72"";""14"";""5"";""9"";""0"";""1018"";""0"";""0"";"""""
"Ancona;21/4/2011;""15"";""7"";""22"";""7"";""60"";""13"";""6"";""12"";""0"";""1019"";""0"";""0"";"""""
"Ancona;22/4/2011;""15"";""8"";""22"";""7"";""57"";""12"";""5"";""10"";""0"";""1015"";""0"";""0"";"""""
"Ancona;23/4/2011;""15"";""13"";""18"";""11"";""75"";""9"";""4"";""12"";""0"";""1015"";""0"";""0"";"""""
"Ancona;24/4/2011;""15"";""14"";""17"";""12"";""80"";""7"";""5"";""10"";""0"";""1016"";""0"";""0"";""pioggia """
"Ancona;25/4/2011;""14"";""10"";""18"";""11"";""84"";""6"";""5"";""13"";""0"";""1015"";""0"";""0"";""nebbia """
"Ancona;26/4/2011;""14"";""10"";""17"";""12"";""85"";""7"";""5"";""10"";""0"";""1011"";""0"";""0"";""pioggia """
"Ancona;27/4/2011;""15"";""11"";""16"";""11"";""79"";""10"";""7"";""10"";""0"";""1010"";""0"";""0"";""pioggia """
"Ancona;28/4/2011;""14"";""10"";""18"";""10"";""80"";""10"";""7"";""15"";""0"";""1010"";""0"";""0"";"""""
"Ancona;29/4/2011;""14"";""10"";""17"";""11"";""78"";""9"";""5"";""9"";""0"";""1009"";""0"";""0"";""pioggia temporale """
"Ancona;30/4/2011;""14"";""11"";""18"";""12"";""89"";""5"";""4"";""14"";""0"";""1006"";""0"";""0"";""pioggia temporale """
