LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/11/2012;""15"";""12"";""20"";""11"";""78"";""10"";""12"";""30"";""39"";""995"";""0"";""0"";""pioggia """
"Ancona;2/11/2012;""16"";""12"";""21"";""9"";""65"";""10"";""11"";""28"";""0"";""1008"";""0"";""0"";"""""
"Ancona;3/11/2012;""14"";""8"";""20"";""10"";""78"";""10"";""7"";""15"";""0"";""1015"";""0"";""0"";"""""
"Ancona;4/11/2012;""17"";""14"";""20"";""12"";""76"";""10"";""6"";""13"";""0"";""1010"";""0"";""0"";""pioggia """
"Ancona;5/11/2012;""21"";""15"";""24"";""12"";""58"";""10"";""16"";""28"";""0"";""1002"";""0"";""0"";""pioggia """
"Ancona;6/11/2012;""15"";""12"";""18"";""7"";""59"";""10"";""11"";""19"";""0"";""1013"";""0"";""0"";"""""
"Ancona;7/11/2012;""11"";""9"";""15"";""8"";""81"";""10"";""12"";""24"";""0"";""1024"";""0"";""0"";""temporale """
"Ancona;8/11/2012;""10"";""5"";""16"";""7"";""80"";""0"";""7"";""11"";""0"";""1025"";""0"";""0"";"""""
"Ancona;9/11/2012;""10"";""4"";""17"";""7"";""80"";""0"";""6"";""11"";""0"";""1020"";""0"";""0"";"""""
"Ancona;10/11/2012;""13"";""7"";""18"";""9"";""79"";""0"";""7"";""15"";""0"";""1016"";""0"";""0"";"""""
"Ancona;11/11/2012;""17"";""15"";""20"";""14"";""87"";""9"";""9"";""28"";""0"";""1013"";""0"";""0"";""pioggia """
"Ancona;12/11/2012;""15"";""14"";""17"";""14"";""95"";""9"";""8"";""17"";""0"";""1021"";""0"";""0"";""pioggia """
"Ancona;13/11/2012;""14"";""13"";""14"";""13"";""94"";""7"";""8"";""13"";""0"";""1026"";""0"";""0"";""pioggia """
"Ancona;14/11/2012;""14"";""11"";""16"";""11"";""86"";""10"";""8"";""17"";""0"";""1025"";""0"";""0"";"""""
"Ancona;15/11/2012;""11"";""9"";""14"";""8"";""80"";""10"";""11"";""20"";""0"";""1022"";""0"";""0"";"""""
"Ancona;16/11/2012;""10"";""8"";""12"";""7"";""83"";""8"";""9"";""17"";""0"";""1021"";""0"";""0"";"""""
"Ancona;17/11/2012;""11"";""7"";""13"";""9"";""90"";""7"";""6"";""13"";""0"";""1018"";""0"";""0"";"""""
"Ancona;18/11/2012;""9"";""9"";""11"";""9"";""97"";""3"";""7"";""9"";""0"";""1015"";""0"";""0"";""pioggia """
"Ancona;19/11/2012;""9"";""8"";""11"";""8"";""93"";""4"";""10"";""24"";""0"";""0"";""0"";""0"";""pioggia """
"Ancona;20/11/2012;""12"";""11"";""13"";""10"";""92"";""6"";""11"";""20"";""0"";""0"";""0"";""0"";""pioggia """
"Ancona;21/11/2012;""11"";""8"";""13"";""9"";""87"";""9"";""7"";""15"";""0"";""1019"";""0"";""0"";"""""
"Ancona;22/11/2012;""11"";""8"";""13"";""10"";""90"";""6"";""5"";""7"";""0"";""1023"";""0"";""0"";"""""
"Ancona;23/11/2012;""11"";""8"";""13"";""9"";""89"";""5"";""5"";""11"";""0"";""1023"";""0"";""0"";"""""
"Ancona;24/11/2012;""9"";""6"";""14"";""8"";""95"";""3"";""6"";""11"";""0"";""1024"";""0"";""0"";""nebbia """
"Ancona;25/11/2012;""11"";""6"";""16"";""9"";""90"";""6"";""6"";""9"";""0"";""1022"";""0"";""0"";"""""
"Ancona;26/11/2012;""11"";""7"";""19"";""8"";""81"";""10"";""6"";""9"";""0"";""1018"";""0"";""0"";"""""
"Ancona;27/11/2012;""11"";""6"";""15"";""8"";""82"";""10"";""8"";""15"";""0"";""1010"";""0"";""0"";"""""
"Ancona;28/11/2012;""14"";""10"";""16"";""10"";""80"";""9"";""13"";""24"";""44"";""995"";""0"";""0"";""pioggia """
"Ancona;29/11/2012;""11"";""9"";""14"";""7"";""75"";""10"";""8"";""22"";""0"";""988"";""0"";""0"";""pioggia """
"Ancona;30/11/2012;""10"";""6"";""13"";""6"";""80"";""10"";""7"";""19"";""0"";""998"";""0"";""0"";""pioggia """
