LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/2/2014;""8"";""7"";""10"";""7"";""96"";""6"";""5"";""11"";""0"";""1011"";""0"";""0"";""pioggia """
"Ancona;2/2/2014;""9"";""8"";""12"";""9"";""99"";""5"";""7"";""17"";""32"";""1008"";""0"";""0"";""pioggia """
"Ancona;3/2/2014;""9"";""8"";""12"";""9"";""98"";""5"";""5"";""13"";""0"";""1012"";""0"";""0"";""pioggia """
"Ancona;4/2/2014;""11"";""7"";""14"";""9"";""88"";""11"";""9"";""19"";""0"";""1015"";""0"";""0"";""pioggia """
"Ancona;5/2/2014;""9"";""5"";""13"";""8"";""91"";""7"";""4"";""9"";""0"";""1013"";""0"";""0"";""nebbia """
"Ancona;6/2/2014;""9"";""5"";""10"";""7"";""91"";""14"";""9"";""22"";""0"";""1013"";""0"";""0"";""pioggia """
"Ancona;7/2/2014;""9"";""3"";""16"";""6"";""81"";""22"";""8"";""19"";""0"";""1014"";""0"";""0"";"""""
"Ancona;8/2/2014;""13"";""9"";""16"";""6"";""60"";""17"";""11"";""22"";""0"";""1010"";""0"";""0"";"""""
"Ancona;9/2/2014;""12"";""8"";""14"";""5"";""57"";""14"";""20"";""37"";""61"";""1004"";""0"";""0"";""pioggia """
"Ancona;10/2/2014;""11"";""8"";""19"";""6"";""64"";""12"";""9"";""20"";""43"";""1005"";""0"";""0"";""pioggia """
"Ancona;11/2/2014;""10"";""8"";""14"";""8"";""89"";""7"";""11"";""28"";""0"";""1006"";""0"";""0"";""pioggia """
"Ancona;12/2/2014;""9"";""6"";""12"";""6"";""83"";""12"";""12"";""24"";""0"";""1008"";""0"";""0"";"""""
"Ancona;13/2/2014;""10"";""2"";""16"";""4"";""67"";""17"";""11"";""24"";""0"";""1011"";""0"";""0"";"""""
"Ancona;14/2/2014;""10"";""6"";""13"";""7"";""84"";""11"";""13"";""33"";""0"";""1011"";""0"";""0"";""pioggia """
"Ancona;15/2/2014;""10"";""5"";""16"";""6"";""80"";""20"";""7"";""13"";""0"";""1016"";""0"";""0"";"""""
"Ancona;16/2/2014;""12"";""5"";""21"";""9"";""83"";""18"";""8"";""20"";""0"";""1015"";""0"";""0"";"""""
"Ancona;17/2/2014;""13"";""7"";""18"";""10"";""82"";""15"";""9"";""20"";""0"";""1014"";""0"";""0"";"""""
"Ancona;18/2/2014;""10"";""6"";""12"";""9"";""95"";""5"";""7"";""9"";""0"";""1020"";""0"";""0"";""nebbia """
"Ancona;19/2/2014;""12"";""10"";""16"";""11"";""93"";""5"";""7"";""26"";""0"";""1013"";""0"";""0"";"""""
"Ancona;20/2/2014;""11"";""10"";""13"";""10"";""95"";""6"";""9"";""20"";""0"";""1013"";""0"";""0"";""pioggia """
"Ancona;21/2/2014;""10"";""8"";""12"";""8"";""89"";""9"";""9"";""19"";""0"";""1013"";""0"";""0"";""pioggia """
"Ancona;22/2/2014;""10"";""7"";""16"";""7"";""83"";""14"";""11"";""28"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Ancona;23/2/2014;""9"";""7"";""11"";""5"";""75"";""14"";""17"";""28"";""0"";""1021"";""0"";""0"";""pioggia """
"Ancona;24/2/2014;""9"";""5"";""12"";""6"";""80"";""13"";""12"";""26"";""0"";""1021"";""0"";""0"";"""""
"Ancona;25/2/2014;""8"";""2"";""14"";""4"";""77"";""23"";""7"";""17"";""0"";""1020"";""0"";""0"";"""""
"Ancona;26/2/2014;""10"";""4"";""14"";""5"";""75"";""10"";""7"";""13"";""0"";""1021"";""0"";""0"";""pioggia """
"Ancona;27/2/2014;""10"";""8"";""13"";""7"";""80"";""11"";""8"";""24"";""0"";""1020"";""0"";""0"";""pioggia """
"Ancona;28/2/2014;""10"";""5"";""14"";""5"";""72"";""13"";""8"";""17"";""0"";""1011"";""0"";""0"";"""""
