LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/6/2014;""17"";""12"";""21"";""10"";""63"";""15"";""12"";""24"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Ancona;2/6/2014;""18"";""11"";""22"";""11"";""65"";""29"";""9"";""15"";""0"";""1016"";""0"";""0"";"""""
"Ancona;3/6/2014;""18"";""11"";""23"";""12"";""65"";""21"";""9"";""17"";""0"";""1013"";""0"";""0"";"""""
"Ancona;4/6/2014;""19"";""13"";""24"";""13"";""65"";""20"";""9"";""17"";""0"";""1011"";""0"";""0"";"""""
"Ancona;5/6/2014;""22"";""18"";""25"";""13"";""55"";""24"";""11"";""24"";""0"";""1014"";""0"";""0"";"""""
"Ancona;6/6/2014;""21"";""16"";""25"";""13"";""56"";""32"";""8"";""17"";""0"";""1018"";""0"";""0"";"""""
"Ancona;7/6/2014;""22"";""16"";""26"";""14"";""61"";""19"";""8"";""17"";""0"";""1018"";""0"";""0"";"""""
"Ancona;8/6/2014;""23"";""16"";""27"";""16"";""65"";""21"";""9"";""17"";""0"";""1019"";""0"";""0"";"""""
"Ancona;9/6/2014;""23"";""17"";""27"";""17"";""68"";""19"";""10"";""19"";""0"";""1018"";""0"";""0"";"""""
"Ancona;10/6/2014;""24"";""18"";""28"";""18"";""70"";""21"";""9"";""17"";""0"";""1017"";""0"";""0"";"""""
"Ancona;11/6/2014;""25"";""18"";""30"";""17"";""60"";""19"";""8"";""15"";""0"";""1018"";""0"";""0"";"""""
"Ancona;12/6/2014;""25"";""18"";""29"";""19"";""69"";""16"";""9"";""17"";""0"";""1017"";""0"";""0"";"""""
"Ancona;13/6/2014;""25"";""21"";""28"";""19"";""68"";""14"";""7"";""15"";""0"";""1014"";""0"";""0"";"""""
"Ancona;14/6/2014;""21"";""19"";""24"";""17"";""78"";""11"";""9"";""30"";""48"";""1010"";""0"";""0"";""pioggia temporale """
"Ancona;15/6/2014;""21"";""17"";""23"";""14"";""67"";""11"";""10"";""22"";""0"";""1011"";""0"";""0"";""pioggia """
"Ancona;16/6/2014;""18"";""17"";""19"";""17"";""91"";""10"";""7"";""17"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Ancona;17/6/2014;""19"";""16"";""22"";""16"";""84"";""10"";""9"";""17"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Ancona;18/6/2014;""19"";""16"";""23"";""16"";""82"";""9"";""10"";""17"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Ancona;19/6/2014;""20"";""15"";""24"";""15"";""70"";""12"";""13"";""26"";""0"";""1013"";""0"";""0"";"""""
"Ancona;20/6/2014;""22"";""15"";""27"";""14"";""62"";""21"";""9"";""15"";""33"";""1011"";""0"";""0"";""pioggia temporale """
"Ancona;21/6/2014;""22"";""17"";""26"";""16"";""64"";""12"";""9"";""20"";""0"";""1014"";""0"";""0"";"""""
"Ancona;22/6/2014;""24"";""17"";""29"";""17"";""65"";""24"";""11"";""19"";""0"";""1017"";""0"";""0"";"""""
"Ancona;23/6/2014;""26"";""21"";""30"";""16"";""54"";""17"";""11"";""26"";""0"";""1018"";""0"";""0"";"""""
"Ancona;24/6/2014;""26"";""20"";""30"";""17"";""58"";""20"";""9"";""24"";""0"";""1012"";""0"";""0"";"""""
"Ancona;25/6/2014;""23"";""20"";""30"";""17"";""69"";""11"";""12"";""33"";""56"";""1007"";""0"";""0"";""pioggia temporale """
"Ancona;26/6/2014;""21"";""18"";""26"";""16"";""73"";""18"";""9"";""20"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Ancona;27/6/2014;""21"";""16"";""24"";""17"";""78"";""15"";""10"";""20"";""0"";""1016"";""0"";""0"";"""""
"Ancona;28/6/2014;""23"";""16"";""28"";""17"";""71"";""23"";""10"";""20"";""0"";""1016"";""0"";""0"";"""""
"Ancona;29/6/2014;""25"";""17"";""31"";""17"";""66"";""16"";""9"";""19"";""0"";""1010"";""0"";""0"";"""""
"Ancona;30/6/2014;""21"";""17"";""24"";""17"";""77"";""14"";""12"";""26"";""52"";""1010"";""0"";""0"";""pioggia temporale """
