LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/5/2015;""17"";""10"";""23"";""9"";""62"";""10"";""10"";""20"";""0"";""1014"";""0"";""0"";""pioggia """
"Ancona;2/5/2015;""19"";""14"";""23"";""12"";""64"";""10"";""11"";""17"";""0"";""1010"";""0"";""0"";""pioggia """
"Ancona;3/5/2015;""20"";""15"";""24"";""13"";""65"";""10"";""8"";""15"";""0"";""1013"";""0"";""0"";"""""
"Ancona;4/5/2015;""21"";""16"";""26"";""15"";""71"";""10"";""8"";""13"";""0"";""1014"";""0"";""0"";"""""
"Ancona;5/5/2015;""17"";""15"";""22"";""16"";""96"";""2"";""8"";""15"";""0"";""1013"";""0"";""0"";""nebbia """
"Ancona;6/5/2015;""19"";""14"";""29"";""17"";""88"";""1"";""8"";""19"";""0"";""1012"";""0"";""0"";""nebbia """
"Ancona;7/5/2015;""18"";""13"";""21"";""15"";""80"";""10"";""9"";""22"";""0"";""1015"";""0"";""0"";"""""
"Ancona;8/5/2015;""18"";""13"";""23"";""13"";""74"";""10"";""7"";""17"";""0"";""1015"";""0"";""0"";"""""
"Ancona;9/5/2015;""18"";""12"";""23"";""13"";""73"";""10"";""12"";""30"";""0"";""1015"";""0"";""0"";"""""
"Ancona;10/5/2015;""19"";""13"";""22"";""13"";""71"";""10"";""12"";""26"";""50"";""1022"";""0"";""0"";"""""
"Ancona;11/5/2015;""19"";""11"";""25"";""9"";""57"";""0"";""8"";""13"";""0"";""1024"";""0"";""0"";"""""
"Ancona;12/5/2015;""19"";""11"";""25"";""7"";""51"";""0"";""8"";""19"";""0"";""1024"";""0"";""0"";"""""
"Ancona;13/5/2015;""19"";""11"";""26"";""10"";""57"";""10"";""7"";""15"";""0"";""1020"";""0"";""0"";"""""
"Ancona;14/5/2015;""24"";""18"";""30"";""8"";""36"";""0"";""19"";""32"";""0"";""1010"";""0"";""0"";"""""
"Ancona;15/5/2015;""20"";""17"";""24"";""15"";""73"";""9"";""9"";""20"";""0"";""1007"";""0"";""0"";""pioggia """
"Ancona;16/5/2015;""17"";""16"";""19"";""15"";""90"";""7"";""12"";""24"";""0"";""1015"";""0"";""0"";"""""
"Ancona;17/5/2015;""19"";""16"";""22"";""16"";""86"";""6"";""9"";""19"";""0"";""1018"";""0"";""0"";"""""
"Ancona;18/5/2015;""19"";""13"";""23"";""14"";""77"";""0"";""9"";""15"";""0"";""1013"";""0"";""0"";"""""
"Ancona;19/5/2015;""22"";""14"";""28"";""14"";""64"";""10"";""8"";""19"";""0"";""1007"";""0"";""0"";"""""
"Ancona;20/5/2015;""21"";""15"";""25"";""12"";""56"";""10"";""11"";""24"";""0"";""1008"";""0"";""0"";"""""
"Ancona;21/5/2015;""18"";""15"";""21"";""11"";""64"";""10"";""12"";""26"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Ancona;22/5/2015;""14"";""13"";""16"";""13"";""94"";""5"";""19"";""33"";""0"";""0"";""0"";""0"";""pioggia temporale """
"Ancona;23/5/2015;""14"";""11"";""17"";""12"";""89"";""10"";""8"";""19"";""0"";""1011"";""0"";""0"";""pioggia """
"Ancona;24/5/2015;""15"";""13"";""18"";""13"";""88"";""10"";""10"";""20"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Ancona;25/5/2015;""17"";""13"";""22"";""12"";""74"";""10"";""9"";""15"";""0"";""1012"";""0"";""0"";""temporale """
"Ancona;26/5/2015;""17"";""13"";""21"";""14"";""84"";""10"";""9"";""19"";""0"";""1010"";""0"";""0"";"""""
"Ancona;27/5/2015;""17"";""15"";""19"";""13"";""79"";""10"";""9"";""22"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Ancona;28/5/2015;""16"";""12"";""19"";""8"";""61"";""10"";""9"";""15"";""0"";""1018"";""0"";""0"";"""""
"Ancona;29/5/2015;""17"";""9"";""24"";""9"";""60"";""0"";""9"";""19"";""0"";""1016"";""0"";""0"";"""""
"Ancona;30/5/2015;""21"";""17"";""25"";""10"";""48"";""0"";""10"";""19"";""0"";""1014"";""0"";""0"";"""""
"Ancona;31/5/2015;""20"";""15"";""24"";""12"";""59"";""10"";""9"";""20"";""0"";""1017"";""0"";""0"";"""""
