LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/3/2015;""8"";""2"";""15"";""4"";""75"";""9"";""7"";""17"";""0"";""1017"";""0"";""0"";"""""
"Ancona;2/3/2015;""12"";""6"";""17"";""8"";""74"";""10"";""13"";""32"";""0"";""1012"";""0"";""0"";"""""
"Ancona;3/3/2015;""10"";""6"";""14"";""6"";""78"";""6"";""8"";""17"";""0"";""1020"";""0"";""0"";"""""
"Ancona;4/3/2015;""8"";""5"";""11"";""7"";""94"";""5"";""6"";""13"";""0"";""1019"";""0"";""0"";""pioggia """
"Ancona;5/3/2015;""7"";""6"";""9"";""3"";""76"";""7"";""38"";""50"";""72"";""1015"";""0"";""0"";""pioggia """
"Ancona;6/3/2015;""9"";""7"";""10"";""2"";""51"";""10"";""42"";""56"";""76"";""1026"";""0"";""0"";""pioggia """
"Ancona;7/3/2015;""9"";""7"";""10"";""0"";""47"";""10"";""31"";""44"";""0"";""1029"";""0"";""0"";"""""
"Ancona;8/3/2015;""8"";""2"";""11"";""2"";""59"";""10"";""11"";""24"";""0"";""1025"";""0"";""0"";"""""
"Ancona;9/3/2015;""6"";""2"";""10"";""3"";""80"";""10"";""7"";""17"";""0"";""1025"";""0"";""0"";"""""
"Ancona;10/3/2015;""6"";""2"";""11"";""3"";""78"";""10"";""12"";""26"";""0"";""1024"";""0"";""0"";"""""
"Ancona;11/3/2015;""9"";""2"";""16"";""3"";""64"";""10"";""9"";""20"";""0"";""1020"";""0"";""0"";"""""
"Ancona;12/3/2015;""9"";""6"";""11"";""2"";""60"";""10"";""20"";""32"";""0"";""1021"";""0"";""0"";""pioggia """
"Ancona;13/3/2015;""7"";""3"";""11"";""2"";""69"";""10"";""10"";""19"";""0"";""1018"";""0"";""0"";"""""
"Ancona;14/3/2015;""7"";""1"";""12"";""3"";""77"";""10"";""8"";""19"";""0"";""1020"";""0"";""0"";"""""
"Ancona;15/3/2015;""8"";""2"";""13"";""5"";""83"";""10"";""8"";""19"";""35"";""1024"";""0"";""0"";""pioggia """
"Ancona;16/3/2015;""10"";""9"";""13"";""10"";""94"";""5"";""6"";""11"";""0"";""1025"";""0"";""0"";""pioggia """
"Ancona;17/3/2015;""12"";""8"";""14"";""10"";""87"";""8"";""12"";""19"";""0"";""1024"";""0"";""0"";""pioggia """
"Ancona;18/3/2015;""9"";""5"";""13"";""7"";""86"";""6"";""9"";""19"";""0"";""1024"";""0"";""0"";"""""
"Ancona;19/3/2015;""8"";""3"";""13"";""5"";""81"";""8"";""8"";""17"";""0"";""1023"";""0"";""0"";"""""
"Ancona;20/3/2015;""9"";""2"";""15"";""3"";""68"";""0"";""8"";""15"";""0"";""1023"";""0"";""0"";"""""
"Ancona;21/3/2015;""10"";""3"";""15"";""3"";""62"";""10"";""9"";""19"";""0"";""1018"";""0"";""0"";"""""
"Ancona;22/3/2015;""9"";""5"";""11"";""6"";""86"";""9"";""10"";""22"";""39"";""1014"";""0"";""0"";""pioggia """
"Ancona;23/3/2015;""10"";""6"";""13"";""9"";""89"";""8"";""9"";""20"";""0"";""1016"";""0"";""0"";""pioggia nebbia """
"Ancona;24/3/2015;""11"";""4"";""16"";""7"";""79"";""7"";""9"";""20"";""41"";""1012"";""0"";""0"";"""""
"Ancona;25/3/2015;""13"";""12"";""17"";""12"";""92"";""7"";""13"";""32"";""56"";""1000"";""0"";""0"";""pioggia """
"Ancona;26/3/2015;""15"";""10"";""20"";""12"";""85"";""10"";""7"";""17"";""0"";""1005"";""0"";""0"";""pioggia """
"Ancona;27/3/2015;""11"";""10"";""12"";""10"";""95"";""5"";""15"";""24"";""43"";""1007"";""0"";""0"";""pioggia """
"Ancona;28/3/2015;""12"";""7"";""14"";""5"";""63"";""10"";""16"";""28"";""0"";""1015"";""0"";""0"";"""""
"Ancona;29/3/2015;""11"";""3"";""18"";""3"";""58"";""10"";""8"";""15"";""0"";""1012"";""0"";""0"";"""""
"Ancona;30/3/2015;""17"";""12"";""22"";""7"";""53"";""10"";""14"";""28"";""0"";""1005"";""0"";""0"";"""""
"Ancona;31/3/2015;""18"";""11"";""24"";""9"";""58"";""10"";""18"";""33"";""0"";""1007"";""0"";""0"";"""""
