LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/8/2019;""28"";""26"";""29"";""20"";""61"";""18"";""13"";""17"";""0"";""1014"";""0"";""0"";"""""
"Ancona;2/8/2019;""27"";""20"";""32"";""20"";""67"";""23"";""13"";""33"";""0"";""1009"";""0"";""0"";""pioggia temporale """
"Ancona;3/8/2019;""23"";""18"";""27"";""18"";""74"";""19"";""12"";""28"";""0"";""1011"";""0"";""0"";"""""
"Ancona;4/8/2019;""23"";""17"";""28"";""17"";""68"";""21"";""9"";""18"";""0"";""1014"";""0"";""0"";"""""
"Ancona;5/8/2019;""25"";""18"";""31"";""17"";""63"";""20"";""8"";""15"";""0"";""1014"";""0"";""0"";"""""
"Ancona;6/8/2019;""27"";""19"";""33"";""18"";""61"";""18"";""9"";""21"";""0"";""1013"";""0"";""0"";"""""
"Ancona;7/8/2019;""27"";""22"";""31"";""20"";""65"";""21"";""9"";""21"";""0"";""1011"";""0"";""0"";"""""
"Ancona;8/8/2019;""26"";""21"";""29"";""21"";""75"";""20"";""7"";""17"";""0"";""1011"";""0"";""0"";"""""
"Ancona;9/8/2019;""26"";""22"";""29"";""22"";""83"";""16"";""8"";""17"";""0"";""1014"";""0"";""0"";"""""
"Ancona;10/8/2019;""28"";""22"";""34"";""21"";""66"";""19"";""9"";""18"";""0"";""1014"";""0"";""0"";"""""
"Ancona;11/8/2019;""27"";""22"";""32"";""21"";""69"";""19"";""8"";""15"";""0"";""1014"";""0"";""0"";"""""
"Ancona;12/8/2019;""27"";""22"";""33"";""21"";""70"";""18"";""9"";""24"";""0"";""1011"";""0"";""0"";"""""
"Ancona;13/8/2019;""27"";""25"";""30"";""22"";""74"";""20"";""10"";""21"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Ancona;14/8/2019;""24"";""21"";""26"";""19"";""72"";""16"";""16"";""30"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Ancona;15/8/2019;""23"";""19"";""26"";""16"";""64"";""18"";""10"";""17"";""0"";""1015"";""0"";""0"";"""""
"Ancona;16/8/2019;""23"";""18"";""27"";""16"";""68"";""23"";""10"";""21"";""0"";""1015"";""0"";""0"";"""""
"Ancona;17/8/2019;""23"";""16"";""28"";""15"";""65"";""19"";""9"";""21"";""0"";""1016"";""0"";""0"";"""""
"Ancona;18/8/2019;""25"";""19"";""31"";""17"";""63"";""21"";""9"";""21"";""0"";""1015"";""0"";""0"";"""""
"Ancona;19/8/2019;""26"";""20"";""31"";""17"";""58"";""18"";""9"";""18"";""0"";""1015"";""0"";""0"";"""""
"Ancona;20/8/2019;""26"";""20"";""31"";""18"";""60"";""20"";""9"";""17"";""0"";""1016"";""0"";""0"";"""""
"Ancona;21/8/2019;""26"";""20"";""29"";""21"";""72"";""22"";""9"";""17"";""0"";""1017"";""0"";""0"";"""""
"Ancona;22/8/2019;""26"";""23"";""29"";""21"";""76"";""19"";""9"";""17"";""0"";""1019"";""0"";""0"";"""""
"Ancona;23/8/2019;""23"";""21"";""26"";""21"";""85"";""18"";""7"";""17"";""0"";""1020"";""0"";""0"";""pioggia temporale """
"Ancona;24/8/2019;""25"";""22"";""28"";""21"";""82"";""20"";""10"";""24"";""0"";""1018"";""0"";""0"";"""""
"Ancona;25/8/2019;""24"";""22"";""27"";""22"";""84"";""19"";""9"";""21"";""0"";""1017"";""0"";""0"";"""""
"Ancona;26/8/2019;""25"";""20"";""28"";""21"";""82"";""19"";""9"";""18"";""0"";""1017"";""0"";""0"";"""""
"Ancona;27/8/2019;""24"";""20"";""29"";""20"";""79"";""18"";""8"";""18"";""0"";""1017"";""0"";""0"";"""""
"Ancona;28/8/2019;""25"";""20"";""29"";""21"";""77"";""19"";""7"";""18"";""0"";""1016"";""0"";""0"";"""""
"Ancona;29/8/2019;""25"";""21"";""28"";""20"";""74"";""22"";""8"";""17"";""0"";""1017"";""0"";""0"";"""""
"Ancona;30/8/2019;""25"";""20"";""30"";""20"";""76"";""16"";""8"";""17"";""0"";""1017"";""0"";""0"";"""""
"Ancona;31/8/2019;""25"";""20"";""29"";""21"";""78"";""17"";""9"";""18"";""0"";""1015"";""0"";""0"";"""""
