LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/7/2019;""26"";""19"";""33"";""17"";""61"";""20"";""8"";""17"";""0"";""1017"";""0"";""0"";"""""
"Ancona;2/7/2019;""26"";""20"";""30"";""20"";""69"";""19"";""9"";""15"";""0"";""1014"";""0"";""0"";"""""
"Ancona;3/7/2019;""26"";""21"";""30"";""20"";""71"";""21"";""9"";""22"";""0"";""1014"";""0"";""0"";"""""
"Ancona;4/7/2019;""25"";""21"";""28"";""20"";""77"";""21"";""12"";""37"";""0"";""1017"";""0"";""0"";""pioggia """
"Ancona;5/7/2019;""26"";""20"";""30"";""20"";""71"";""18"";""8"";""17"";""0"";""1015"";""0"";""0"";"""""
"Ancona;6/7/2019;""29"";""20"";""34"";""19"";""57"";""21"";""9"";""18"";""0"";""1012"";""0"";""0"";"""""
"Ancona;7/7/2019;""29"";""24"";""34"";""17"";""49"";""21"";""14"";""28"";""0"";""1009"";""0"";""0"";""pioggia temporale """
"Ancona;8/7/2019;""28"";""22"";""31"";""21"";""69"";""17"";""10"";""17"";""0"";""1010"";""0"";""0"";"""""
"Ancona;9/7/2019;""25"";""19"";""32"";""21"";""78"";""17"";""12"";""54"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Ancona;10/7/2019;""22"";""19"";""25"";""18"";""84"";""18"";""9"";""31"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Ancona;11/7/2019;""22"";""16"";""26"";""14"";""64"";""18"";""8"";""17"";""0"";""1013"";""0"";""0"";"""""
"Ancona;12/7/2019;""22"";""18"";""27"";""18"";""81"";""18"";""7"";""15"";""0"";""1012"";""0"";""0"";""pioggia """
"Ancona;13/7/2019;""22"";""19"";""26"";""18"";""79"";""17"";""10"";""31"";""0"";""1009"";""0"";""0"";"""""
"Ancona;14/7/2019;""22"";""17"";""26"";""16"";""70"";""19"";""7"";""17"";""0"";""1011"";""0"";""0"";"""""
"Ancona;15/7/2019;""22"";""19"";""25"";""16"";""69"";""20"";""7"";""11"";""0"";""1009"";""0"";""0"";""pioggia """
"Ancona;16/7/2019;""22"";""18"";""27"";""16"";""69"";""20"";""11"";""22"";""0"";""1012"";""0"";""0"";"""""
"Ancona;17/7/2019;""22"";""15"";""28"";""15"";""66"";""21"";""8"";""15"";""0"";""1012"";""0"";""0"";"""""
"Ancona;18/7/2019;""23"";""15"";""29"";""15"";""66"";""21"";""8"";""17"";""0"";""1011"";""0"";""0"";"""""
"Ancona;19/7/2019;""24"";""19"";""29"";""19"";""71"";""19"";""8"";""18"";""0"";""1015"";""0"";""0"";"""""
"Ancona;20/7/2019;""25"";""19"";""31"";""18"";""67"";""19"";""8"";""17"";""0"";""1017"";""0"";""0"";"""""
"Ancona;21/7/2019;""27"";""21"";""31"";""17"";""59"";""21"";""9"";""17"";""0"";""1018"";""0"";""0"";"""""
"Ancona;22/7/2019;""26"";""20"";""29"";""21"";""74"";""20"";""8"";""17"";""0"";""1020"";""0"";""0"";"""""
"Ancona;23/7/2019;""26"";""20"";""30"";""20"";""74"";""21"";""8"";""13"";""0"";""1019"";""0"";""0"";"""""
"Ancona;24/7/2019;""27"";""20"";""32"";""19"";""65"";""21"";""8"";""17"";""0"";""1016"";""0"";""0"";"""""
"Ancona;25/7/2019;""28"";""21"";""34"";""17"";""53"";""21"";""9"";""17"";""0"";""1015"";""0"";""0"";"""""
"Ancona;26/7/2019;""29"";""22"";""34"";""19"";""56"";""19"";""8"";""18"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Ancona;27/7/2019;""26"";""21"";""33"";""21"";""76"";""14"";""12"";""22"";""0"";""1004"";""0"";""0"";""pioggia temporale """
"Ancona;28/7/2019;""21"";""20"";""26"";""20"";""91"";""12"";""10"";""24"";""0"";""998"";""0"";""0"";""pioggia temporale """
"Ancona;29/7/2019;""25"";""20"";""28"";""20"";""74"";""20"";""9"";""18"";""0"";""1004"";""0"";""0"";""pioggia """
"Ancona;30/7/2019;""26"";""21"";""29"";""20"";""74"";""20"";""7"";""15"";""0"";""1010"";""0"";""0"";"""""
"Ancona;31/7/2019;""27"";""21"";""33"";""20"";""67"";""21"";""7"";""17"";""0"";""1011"";""0"";""0"";"""""
