LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/10/2019;""22"";""16"";""25"";""16"";""73"";""20"";""9"";""18"";""0"";""1011"";""0"";""0"";"""""
"Ancona;2/10/2019;""19"";""16"";""28"";""15"";""77"";""20"";""9"";""39"";""0"";""1005"";""0"";""0"";""pioggia temporale """
"Ancona;3/10/2019;""16"";""14"";""17"";""12"";""80"";""11"";""18"";""50"";""0"";""1008"";""0"";""0"";""pioggia temporale """
"Ancona;4/10/2019;""15"";""11"";""18"";""8"";""65"";""19"";""10"";""26"";""0"";""1013"";""0"";""0"";"""""
"Ancona;5/10/2019;""15"";""11"";""20"";""12"";""84"";""17"";""7"";""13"";""0"";""1010"";""0"";""0"";""pioggia """
"Ancona;6/10/2019;""16"";""11"";""20"";""11"";""76"";""16"";""7"";""17"";""0"";""1013"";""0"";""0"";"""""
"Ancona;7/10/2019;""17"";""13"";""21"";""11"";""69"";""19"";""9"";""22"";""0"";""1010"";""0"";""0"";"""""
"Ancona;8/10/2019;""16"";""11"";""19"";""10"";""70"";""17"";""8"";""15"";""0"";""1018"";""0"";""0"";"""""
"Ancona;9/10/2019;""17"";""10"";""24"";""11"";""71"";""19"";""8"";""17"";""0"";""1017"";""0"";""0"";"""""
"Ancona;10/10/2019;""20"";""17"";""25"";""14"";""67"";""18"";""12"";""26"";""0"";""1016"";""0"";""0"";""pioggia """
"Ancona;11/10/2019;""17"";""15"";""20"";""15"";""91"";""7"";""5"";""15"";""0"";""1022"";""0"";""0"";""nebbia """
"Ancona;12/10/2019;""17"";""12"";""23"";""14"";""87"";""17"";""6"";""15"";""0"";""1023"";""0"";""0"";"""""
"Ancona;13/10/2019;""17"";""14"";""21"";""15"";""92"";""6"";""6"";""11"";""0"";""1023"";""0"";""0"";"""""
"Ancona;14/10/2019;""16"";""12"";""21"";""15"";""91"";""10"";""6"";""11"";""0"";""1022"";""0"";""0"";""nebbia """
"Ancona;15/10/2019;""17"";""12"";""24"";""15"";""88"";""12"";""7"";""18"";""0"";""1016"";""0"";""0"";""nebbia """
"Ancona;16/10/2019;""19"";""15"";""24"";""12"";""65"";""19"";""11"";""21"";""0"";""1015"";""0"";""0"";"""""
"Ancona;17/10/2019;""15"";""10"";""21"";""11"";""77"";""19"";""6"";""13"";""0"";""1019"";""0"";""0"";"""""
"Ancona;18/10/2019;""16"";""10"";""22"";""12"";""77"";""21"";""8"";""13"";""0"";""1018"";""0"";""0"";"""""
"Ancona;19/10/2019;""17"";""11"";""24"";""13"";""78"";""22"";""6"";""11"";""0"";""1017"";""0"";""0"";"""""
"Ancona;20/10/2019;""17"";""10"";""24"";""14"";""81"";""19"";""7"";""13"";""0"";""1018"";""0"";""0"";"""""
"Ancona;21/10/2019;""18"";""13"";""26"";""15"";""82"";""19"";""4"";""9"";""0"";""1021"";""0"";""0"";"""""
"Ancona;22/10/2019;""17"";""14"";""19"";""16"";""94"";""6"";""6"";""11"";""0"";""1022"";""0"";""0"";""nebbia """
"Ancona;23/10/2019;""16"";""13"";""20"";""15"";""94"";""8"";""6"";""13"";""0"";""1020"";""0"";""0"";""nebbia """
"Ancona;24/10/2019;""16"";""11"";""23"";""14"";""91"";""8"";""5"";""11"";""0"";""1016"";""0"";""0"";""nebbia """
"Ancona;25/10/2019;""16"";""13"";""20"";""15"";""96"";""4"";""5"";""21"";""0"";""1018"";""0"";""0"";"""""
"Ancona;26/10/2019;""16"";""12"";""21"";""15"";""94"";""5"";""7"";""17"";""0"";""1022"";""0"";""0"";""nebbia """
"Ancona;27/10/2019;""14"";""10"";""21"";""12"";""89"";""10"";""6"";""13"";""0"";""1021"";""0"";""0"";"""""
"Ancona;28/10/2019;""15"";""9"";""21"";""13"";""88"";""12"";""6"";""11"";""0"";""1016"";""0"";""0"";"""""
"Ancona;29/10/2019;""16"";""13"";""22"";""14"";""86"";""10"";""5"";""8"";""0"";""1015"";""0"";""0"";""pioggia nebbia """
"Ancona;30/10/2019;""16"";""14"";""18"";""15"";""92"";""8"";""8"";""21"";""0"";""1018"";""0"";""0"";""pioggia """
"Ancona;31/10/2019;""15"";""15"";""17"";""14"";""91"";""12"";""6"";""17"";""0"";""1019"";""0"";""0"";""pioggia """
