LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Ancona;1/1/2020;""4"";""-1"";""10"";""2"";""74"";""13"";""7"";""13"";""0"";""1031"";""0"";""0"";"""""
"Ancona;2/1/2020;""3"";""-1"";""9"";""3"";""84"";""9"";""7"";""15"";""0"";""1032"";""0"";""0"";"""""
"Ancona;3/1/2020;""3"";""-2"";""10"";""2"";""87"";""8"";""6"";""11"";""0"";""1028"";""0"";""0"";"""""
"Ancona;4/1/2020;""6"";""2"";""9"";""4"";""89"";""10"";""8"";""22"";""0"";""1023"";""0"";""0"";"""""
"Ancona;5/1/2020;""5"";""1"";""11"";""2"";""80"";""15"";""7"";""18"";""0"";""1028"";""0"";""0"";"""""
"Ancona;6/1/2020;""4"";""-1"";""10"";""1"";""74"";""19"";""9"";""22"";""0"";""1031"";""0"";""0"";"""""
"Ancona;7/1/2020;""4"";""0"";""7"";""3"";""86"";""12"";""8"";""17"";""0"";""1027"";""0"";""0"";"""""
"Ancona;8/1/2020;""3"";""-2"";""8"";""2"";""87"";""8"";""8"";""15"";""0"";""1030"";""0"";""0"";"""""
"Ancona;9/1/2020;""3"";""-1"";""10"";""3"";""84"";""17"";""6"";""13"";""0"";""1028"";""0"";""0"";"""""
"Ancona;10/1/2020;""6"";""-2"";""15"";""3"";""73"";""22"";""6"";""9"";""0"";""1025"";""0"";""0"";"""""
"Ancona;11/1/2020;""5"";""0"";""9"";""4"";""85"";""10"";""11"";""26"";""0"";""1027"";""0"";""0"";"""""
"Ancona;12/1/2020;""5"";""1"";""10"";""3"";""87"";""12"";""8"";""21"";""0"";""1028"";""0"";""0"";"""""
"Ancona;13/1/2020;""4"";""-1"";""10"";""4"";""90"";""11"";""6"";""9"";""0"";""1026"";""0"";""0"";"""""
"Ancona;14/1/2020;""3"";""-1"";""11"";""3"";""96"";""5"";""6"";""11"";""0"";""1026"";""0"";""0"";""pioggia nebbia """
"Ancona;15/1/2020;""5"";""2"";""10"";""4"";""92"";""5"";""6"";""13"";""0"";""1029"";""0"";""0"";""nebbia """
"Ancona;16/1/2020;""5"";""1"";""10"";""4"";""93"";""2"";""7"";""21"";""0"";""1030"";""0"";""0"";""nebbia """
"Ancona;17/1/2020;""5"";""0"";""10"";""3"";""87"";""8"";""7"";""13"";""0"";""1026"";""0"";""0"";""nebbia """
"Ancona;18/1/2020;""7"";""3"";""10"";""5"";""89"";""13"";""9"";""21"";""0"";""1021"";""0"";""0"";""pioggia """
"Ancona;19/1/2020;""8"";""5"";""10"";""6"";""87"";""17"";""10"";""21"";""0"";""1025"";""0"";""0"";""pioggia """
"Ancona;20/1/2020;""7"";""4"";""11"";""3"";""77"";""21"";""8"";""13"";""0"";""1037"";""0"";""0"";"""""
"Ancona;21/1/2020;""5"";""3"";""8"";""2"";""80"";""15"";""8"";""18"";""0"";""1041"";""0"";""0"";"""""
"Ancona;22/1/2020;""5"";""1"";""9"";""2"";""79"";""12"";""5"";""9"";""0"";""1034"";""0"";""0"";"""""
"Ancona;23/1/2020;""4"";""0"";""10"";""3"";""92"";""13"";""7"";""11"";""0"";""1030"";""0"";""0"";"""""
"Ancona;24/1/2020;""5"";""1"";""9"";""5"";""99"";""3"";""5"";""11"";""0"";""1027"";""0"";""0"";""nebbia """
"Ancona;25/1/2020;""7"";""5"";""8"";""7"";""100"";""1"";""6"";""15"";""0"";""1024"";""0"";""0"";""pioggia nebbia """
"Ancona;26/1/2020;""7"";""6"";""7"";""7"";""100"";""2"";""8"";""15"";""0"";""1021"";""0"";""0"";""nebbia """
"Ancona;27/1/2020;""6"";""2"";""11"";""5"";""92"";""15"";""5"";""9"";""0"";""1019"";""0"";""0"";"""""
"Ancona;28/1/2020;""13"";""7"";""17"";""6"";""63"";""18"";""16"";""31"";""0"";""1010"";""0"";""0"";""pioggia """
"Ancona;29/1/2020;""12"";""6"";""17"";""5"";""66"";""21"";""14"";""33"";""0"";""1010"";""0"";""0"";"""""
"Ancona;30/1/2020;""10"";""6"";""15"";""6"";""73"";""20"";""8"";""13"";""0"";""1018"";""0"";""0"";"""""
"Ancona;31/1/2020;""12"";""5"";""17"";""8"";""80"";""17"";""6"";""21"";""0"";""1019"";""0"";""0"";"""""
