LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/8/2010;""23"";""19"";""26"";""17"";""71"";""11"";""11"";""17"";""0"";""1016"";""0"";""0"";"""""
"Bari;2/8/2010;""24"";""19"";""27"";""18"";""71"";""24"";""6"";""10"";""0"";""1015"";""0"";""0"";"""""
"Bari;3/8/2010;""25"";""18"";""29"";""19"";""71"";""10"";""6"";""13"";""0"";""1009"";""0"";""0"";"""""
"Bari;4/8/2010;""25"";""21"";""29"";""18"";""66"";""681"";""9"";""18"";""0"";""1006"";""0"";""0"";"""""
"Bari;5/8/2010;""24"";""19"";""28"";""19"";""72"";""1678"";""7"";""15"";""23"";""1005"";""0"";""0"";""pioggia """
"Bari;6/8/2010;""23"";""18"";""27"";""17"";""73"";""1217"";""8"";""18"";""0"";""1008"";""0"";""0"";""pioggia temporale """
"Bari;7/8/2010;""23"";""18"";""26"";""17"";""71"";""13"";""8"";""15"";""0"";""1015"";""0"";""0"";"""""
"Bari;8/8/2010;""23"";""19"";""26"";""17"";""68"";""15"";""8"";""14"";""0"";""1016"";""0"";""0"";"""""
"Bari;9/8/2010;""24"";""19"";""29"";""14"";""53"";""34"";""8"";""14"";""0"";""1015"";""0"";""0"";"""""
"Bari;10/8/2010;""24"";""20"";""28"";""16"";""57"";""24"";""7"";""12"";""0"";""1014"";""0"";""0"";"""""
"Bari;11/8/2010;""24"";""19"";""29"";""17"";""63"";""25"";""6"";""12"";""0"";""1014"";""0"";""0"";"""""
"Bari;12/8/2010;""25"";""19"";""30"";""16"";""56"";""16"";""6"";""12"";""0"";""1013"";""0"";""0"";"""""
"Bari;13/8/2010;""26"";""21"";""30"";""17"";""54"";""10"";""7"";""15"";""0"";""1013"";""0"";""0"";"""""
"Bari;14/8/2010;""27"";""23"";""31"";""18"";""59"";""10"";""7"";""14"";""0"";""1014"";""0"";""0"";"""""
"Bari;15/8/2010;""29"";""25"";""33"";""15"";""45"";""11"";""6"";""15"";""0"";""1015"";""0"";""0"";"""""
"Bari;16/8/2010;""25"";""21"";""29"";""18"";""65"";""16"";""6"";""16"";""0"";""1014"";""0"";""0"";"""""
"Bari;17/8/2010;""24"";""20"";""28"";""14"";""54"";""25"";""9"";""15"";""0"";""1014"";""0"";""0"";"""""
"Bari;18/8/2010;""23"";""17"";""28"";""16"";""62"";""19"";""8"";""100"";""0"";""1013"";""0"";""0"";"""""
"Bari;19/8/2010;""25"";""20"";""29"";""17"";""62"";""20"";""6"";""12"";""0"";""1015"";""0"";""0"";"""""
"Bari;20/8/2010;""26"";""22"";""30"";""17"";""58"";""14"";""7"";""14"";""0"";""1019"";""0"";""0"";"""""
"Bari;21/8/2010;""25"";""21"";""30"";""19"";""69"";""10"";""7"";""12"";""0"";""1019"";""0"";""0"";"""""
"Bari;22/8/2010;""25"";""21"";""29"";""20"";""71"";""11"";""6"";""12"";""0"";""1016"";""0"";""0"";"""""
"Bari;23/8/2010;""25"";""19"";""30"";""16"";""58"";""18"";""6"";""10"";""0"";""1013"";""0"";""0"";"""""
"Bari;24/8/2010;""27"";""21"";""32"";""17"";""55"";""14"";""6"";""12"";""0"";""1012"";""0"";""0"";"""""
"Bari;25/8/2010;""27"";""22"";""31"";""18"";""59"";""16"";""6"";""13"";""0"";""1013"";""0"";""0"";"""""
"Bari;26/8/2010;""26"";""22"";""30"";""19"";""63"";""16"";""7"";""12"";""0"";""1015"";""0"";""0"";"""""
"Bari;27/8/2010;""27"";""20"";""32"";""17"";""55"";""14"";""7"";""13"";""0"";""1011"";""0"";""0"";"""""
"Bari;28/8/2010;""29"";""24"";""35"";""16"";""44"";""15"";""9"";""18"";""0"";""1006"";""0"";""0"";"""""
"Bari;29/8/2010;""25"";""20"";""26"";""15"";""56"";""11"";""13"";""22"";""31"";""1009"";""0"";""0"";""pioggia """
"Bari;30/8/2010;""24"";""17"";""30"";""14"";""50"";""13"";""10"";""21"";""0"";""1007"";""0"";""0"";"""""
"Bari;31/8/2010;""22"";""19"";""28"";""10"";""46"";""13"";""17"";""24"";""36"";""1008"";""0"";""0"";"""""
