LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/2/2013;""12"";""6"";""18"";""6"";""65"";""7"";""12"";""26"";""0"";""1013"";""0"";""0"";"""""
"Bari;2/2/2013;""15"";""10"";""22"";""5"";""55"";""0"";""16"";""30"";""56"";""998"";""0"";""0"";"""""
"Bari;3/2/2013;""10"";""6"";""14"";""5"";""69"";""10"";""12"";""26"";""0"";""1003"";""0"";""0"";""pioggia """
"Bari;4/2/2013;""6"";""2"";""10"";""2"";""67"";""10"";""13"";""20"";""0"";""1017"";""0"";""0"";"""""
"Bari;5/2/2013;""8"";""1"";""16"";""2"";""61"";""7"";""11"";""17"";""0"";""1014"";""0"";""0"";"""""
"Bari;6/2/2013;""11"";""6"";""17"";""4"";""64"";""10"";""11"";""19"";""0"";""1002"";""0"";""0"";""pioggia """
"Bari;7/2/2013;""7"";""2"";""12"";""3"";""72"";""10"";""10"";""19"";""0"";""999"";""0"";""0"";"""""
"Bari;8/2/2013;""5"";""3"";""7"";""2"";""84"";""9"";""20"";""30"";""0"";""1002"";""0"";""0"";""pioggia temporale """
"Bari;9/2/2013;""3"";""2"";""6"";""2"";""87"";""9"";""19"";""100"";""0"";""1008"";""0"";""0"";""pioggia """
"Bari;10/2/2013;""3"";""0"";""5"";""0"";""73"";""10"";""13"";""20"";""0"";""1012"";""0"";""0"";"""""
"Bari;11/2/2013;""5"";""-2"";""11"";""5"";""76"";""10"";""12"";""17"";""33"";""1011"";""0"";""0"";""pioggia """
"Bari;12/2/2013;""10"";""7"";""14"";""5"";""72"";""8"";""12"";""20"";""35"";""1004"";""0"";""0"";""pioggia """
"Bari;13/2/2013;""6"";""3"";""9"";""5"";""90"";""9"";""17"";""44"";""70"";""1005"";""0"";""0"";""pioggia """
"Bari;14/2/2013;""6"";""2"";""9"";""5"";""95"";""8"";""14"";""22"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Bari;15/2/2013;""8"";""4"";""11"";""5"";""83"";""9"";""11"";""19"";""0"";""1014"";""0"";""0"";"""""
"Bari;16/2/2013;""8"";""7"";""10"";""6"";""87"";""8"";""10"";""20"";""0"";""1016"";""0"";""0"";"""""
"Bari;17/2/2013;""8"";""5"";""11"";""5"";""82"";""9"";""10"";""17"";""0"";""1016"";""0"";""0"";"""""
"Bari;18/2/2013;""7"";""3"";""10"";""4"";""83"";""9"";""10"";""20"";""0"";""1014"";""0"";""0"";""pioggia """
Bari;19/2/2013;;;;;;;;;;;;;
"Bari;20/2/2013;""7"";""1"";""14"";""3"";""69"";""9"";""10"";""20"";""0"";""1013"";""0"";""0"";"""""
"Bari;21/2/2013;""6"";""4"";""8"";""5"";""92"";""5"";""6"";""11"";""0"";""1008"";""0"";""0"";""pioggia """
"Bari;22/2/2013;""10"";""4"";""13"";""6"";""79"";""7"";""9"";""22"";""41"";""1003"";""0"";""0"";"""""
"Bari;23/2/2013;""13"";""10"";""17"";""8"";""72"";""10"";""15"";""30"";""61"";""1003"";""0"";""0"";"""""
"Bari;24/2/2013;""12"";""5"";""16"";""6"";""68"";""10"";""18"";""30"";""41"";""1007"";""0"";""0"";""pioggia temporale """
"Bari;25/2/2013;""7"";""1"";""11"";""2"";""68"";""8"";""9"";""13"";""0"";""1015"";""0"";""0"";"""""
"Bari;26/2/2013;""8"";""3"";""11"";""3"";""72"";""9"";""12"";""19"";""0"";""1017"";""0"";""0"";"""""
"Bari;27/2/2013;""8"";""6"";""10"";""4"";""76"";""9"";""17"";""22"";""0"";""1019"";""0"";""0"";""pioggia """
"Bari;28/2/2013;""9"";""5"";""13"";""6"";""80"";""10"";""13"";""20"";""0"";""1022"";""0"";""0"";"""""
