LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/7/2013;""21"";""17"";""25"";""12"";""56"";""10"";""14"";""22"";""0"";""1018"";""0"";""0"";"""""
"Bari;2/7/2013;""22"";""15"";""27"";""10"";""49"";""0"";""10"";""17"";""0"";""1018"";""0"";""0"";"""""
"Bari;3/7/2013;""24"";""17"";""28"";""11"";""46"";""0"";""10"";""19"";""0"";""1015"";""0"";""0"";"""""
"Bari;4/7/2013;""23"";""18"";""27"";""14"";""61"";""10"";""12"";""26"";""0"";""1015"";""0"";""0"";"""""
"Bari;5/7/2013;""24"";""19"";""28"";""16"";""61"";""10"";""17"";""28"";""0"";""1016"";""0"";""0"";"""""
"Bari;6/7/2013;""25"";""22"";""28"";""17"";""60"";""0"";""21"";""28"";""0"";""1017"";""0"";""0"";"""""
"Bari;7/7/2013;""25"";""21"";""27"";""17"";""63"";""0"";""15"";""22"";""0"";""1017"";""0"";""0"";"""""
"Bari;8/7/2013;""25"";""21"";""28"";""18"";""66"";""10"";""12"";""20"";""0"";""1018"";""0"";""0"";"""""
"Bari;9/7/2013;""24"";""20"";""28"";""18"";""66"";""10"";""14"";""100"";""0"";""1016"";""0"";""0"";"""""
"Bari;10/7/2013;""25"";""20"";""28"";""17"";""61"";""11"";""12"";""22"";""0"";""1012"";""0"";""0"";"""""
"Bari;11/7/2013;""25"";""20"";""29"";""15"";""53"";""10"";""12"";""22"";""0"";""1011"";""0"";""0"";"""""
"Bari;12/7/2013;""25"";""21"";""28"";""17"";""60"";""12"";""11"";""32"";""0"";""1015"";""0"";""0"";"""""
"Bari;13/7/2013;""25"";""20"";""29"";""17"";""59"";""26"";""10"";""29"";""0"";""1016"";""0"";""0"";"""""
"Bari;14/7/2013;""24"";""20"";""30"";""18"";""65"";""14"";""12"";""43"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Bari;15/7/2013;""25"";""21"";""28"";""18"";""65"";""19"";""18"";""40"";""0"";""1016"";""0"";""0"";"""""
"Bari;16/7/2013;""25"";""21"";""28"";""15"";""53"";""27"";""22"";""47"";""0"";""1017"";""0"";""0"";"""""
"Bari;17/7/2013;""24"";""20"";""26"";""15"";""57"";""18"";""16"";""47"";""0"";""1018"";""0"";""0"";"""""
"Bari;18/7/2013;""23"";""18"";""27"";""16"";""65"";""0"";""11"";""20"";""0"";""1018"";""0"";""0"";"""""
"Bari;19/7/2013;""24"";""19"";""28"";""18"";""70"";""10"";""9"";""19"";""0"";""1017"";""0"";""0"";""temporale """
"Bari;20/7/2013;""24"";""19"";""28"";""17"";""64"";""10"";""11"";""20"";""0"";""1015"";""0"";""0"";"""""
"Bari;21/7/2013;""25"";""21"";""28"";""18"";""67"";""0"";""13"";""22"";""0"";""1014"";""0"";""0"";"""""
"Bari;22/7/2013;""26"";""22"";""29"";""17"";""61"";""10"";""14"";""22"";""0"";""1014"";""0"";""0"";"""""
"Bari;23/7/2013;""24"";""18"";""29"";""15"";""59"";""10"";""11"";""20"";""0"";""1013"";""0"";""0"";"""""
"Bari;24/7/2013;""26"";""19"";""31"";""16"";""56"";""0"";""11"";""19"";""0"";""1015"";""0"";""0"";"""""
"Bari;25/7/2013;""27"";""21"";""31"";""16"";""55"";""0"";""9"";""19"";""0"";""1015"";""0"";""0"";"""""
"Bari;26/7/2013;""27"";""21"";""31"";""17"";""53"";""0"";""12"";""22"";""0"";""1015"";""0"";""0"";"""""
"Bari;27/7/2013;""27"";""22"";""31"";""17"";""53"";""0"";""10"";""19"";""0"";""1013"";""0"";""0"";"""""
"Bari;28/7/2013;""29"";""19"";""33"";""14"";""42"";""0"";""10"";""15"";""0"";""1015"";""0"";""0"";"""""
"Bari;29/7/2013;""32"";""25"";""37"";""15"";""38"";""0"";""13"";""22"";""0"";""1015"";""0"";""0"";"""""
"Bari;30/7/2013;""28"";""25"";""29"";""19"";""60"";""10"";""19"";""32"";""50"";""1014"";""0"";""0"";"""""
"Bari;31/7/2013;""27"";""23"";""30"";""17"";""57"";""10"";""24"";""32"";""44"";""1013"";""0"";""0"";"""""
