LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/11/2013;""18"";""15"";""22"";""17"";""92"";""7"";""7"";""15"";""0"";""1022"";""0"";""0"";"""""
"Bari;2/11/2013;""18"";""13"";""23"";""16"";""89"";""7"";""8"";""20"";""0"";""1019"";""0"";""0"";"""""
"Bari;3/11/2013;""21"";""15"";""29"";""13"";""63"";""10"";""12"";""28"";""0"";""1015"";""0"";""0"";"""""
"Bari;4/11/2013;""21"";""16"";""27"";""13"";""60"";""10"";""10"";""17"";""0"";""1010"";""0"";""0"";"""""
"Bari;5/11/2013;""19"";""16"";""22"";""14"";""74"";""10"";""11"";""24"";""0"";""0"";""0"";""0"";""pioggia """
"Bari;6/11/2013;""17"";""12"";""21"";""13"";""78"";""10"";""17"";""22"";""0"";""0"";""0"";""0"";"""""
"Bari;7/11/2013;""17"";""11"";""26"";""11"";""68"";""10"";""13"";""100"";""0"";""0"";""0"";""0"";"""""
"Bari;8/11/2013;""18"";""12"";""23"";""13"";""74"";""10"";""7"";""13"";""0"";""0"";""0"";""0"";"""""
"Bari;9/11/2013;""19"";""13"";""25"";""13"";""70"";""10"";""10"";""15"";""0"";""0"";""0"";""0"";"""""
"Bari;10/11/2013;""20"";""17"";""24"";""12"";""59"";""10"";""11"";""22"";""0"";""0"";""0"";""0"";""pioggia """
"Bari;11/11/2013;""16"";""13"";""18"";""13"";""83"";""10"";""14"";""28"";""48"";""1001"";""0"";""0"";""pioggia """
"Bari;12/11/2013;""16"";""14"";""17"";""16"";""98"";""9"";""8"";""19"";""0"";""1012"";""0"";""0"";""pioggia """
"Bari;13/11/2013;""17"";""15"";""19"";""16"";""97"";""10"";""7"";""15"";""0"";""1014"";""0"";""0"";""pioggia """
"Bari;14/11/2013;""18"";""13"";""21"";""16"";""88"";""10"";""10"";""19"";""0"";""1014"";""0"";""0"";"""""
"Bari;15/11/2013;""16"";""11"";""22"";""14"";""90"";""9"";""9"";""15"";""0"";""1015"";""0"";""0"";""pioggia """
"Bari;16/11/2013;""16"";""11"";""20"";""14"";""93"";""9"";""7"";""15"";""0"";""1019"";""0"";""0"";"""""
"Bari;17/11/2013;""17"";""14"";""20"";""16"";""97"";""9"";""7"";""13"";""0"";""1021"";""0"";""0"";""pioggia """
"Bari;18/11/2013;""16"";""11"";""19"";""14"";""90"";""10"";""9"";""15"";""0"";""1017"";""0"";""0"";"""""
"Bari;19/11/2013;""17"";""14"";""20"";""15"";""87"";""9"";""12"";""22"";""44"";""1007"";""0"";""0"";""pioggia temporale """
"Bari;20/11/2013;""17"";""13"";""23"";""11"";""68"";""10"";""14"";""28"";""46"";""1005"";""0"";""0"";"""""
"Bari;21/11/2013;""14"";""10"";""18"";""9"";""69"";""10"";""11"";""22"";""0"";""1004"";""0"";""0"";""pioggia """
"Bari;22/11/2013;""14"";""8"";""19"";""9"";""75"";""10"";""8"";""17"";""0"";""1002"";""0"";""0"";""pioggia """
"Bari;23/11/2013;""14"";""11"";""17"";""8"";""68"";""10"";""13"";""22"";""0"";""1001"";""0"";""0"";""pioggia """
"Bari;24/11/2013;""12"";""8"";""17"";""8"";""75"";""10"";""10"";""20"";""0"";""1003"";""0"";""0"";""temporale """
"Bari;25/11/2013;""10"";""6"";""12"";""8"";""89"";""9"";""15"";""32"";""50"";""1007"";""0"";""0"";""pioggia """
"Bari;26/11/2013;""7"";""4"";""10"";""5"";""88"";""9"";""27"";""37"";""61"";""1008"";""0"";""0"";""pioggia temporale """
"Bari;27/11/2013;""7"";""4"";""10"";""5"";""87"";""9"";""18"";""32"";""0"";""1019"";""0"";""0"";""pioggia """
"Bari;28/11/2013;""8"";""4"";""13"";""6"";""89"";""10"";""11"";""100"";""0"";""1026"";""0"";""0"";"""""
"Bari;29/11/2013;""11"";""8"";""14"";""9"";""88"";""10"";""9"";""15"";""0"";""1023"";""0"";""0"";"""""
"Bari;30/11/2013;""13"";""8"";""16"";""11"";""89"";""9"";""11"";""37"";""0"";""1014"";""0"";""0"";""pioggia """
