LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/1/2014;""11"";""10"";""13"";""11"";""100"";""6"";""8"";""13"";""0"";""1019"";""0"";""0"";""pioggia """
"Bari;2/1/2014;""11"";""8"";""14"";""10"";""92"";""8"";""7"";""11"";""0"";""1019"";""0"";""0"";"""""
"Bari;3/1/2014;""13"";""10"";""18"";""9"";""81"";""10"";""8"";""13"";""0"";""1021"";""0"";""0"";"""""
"Bari;4/1/2014;""13"";""8"";""19"";""10"";""79"";""10"";""11"";""19"";""0"";""1021"";""0"";""0"";"""""
"Bari;5/1/2014;""14"";""11"";""16"";""10"";""77"";""10"";""12"";""26"";""33"";""1012"";""0"";""0"";""pioggia """
"Bari;6/1/2014;""10"";""7"";""14"";""8"";""87"";""10"";""7"";""13"";""0"";""1017"";""0"";""0"";"""""
"Bari;7/1/2014;""10"";""6"";""16"";""8"";""90"";""7"";""8"";""11"";""0"";""1024"";""0"";""0"";"""""
"Bari;8/1/2014;""11"";""7"";""15"";""10"";""93"";""9"";""10"";""17"";""0"";""1026"";""0"";""0"";"""""
"Bari;9/1/2014;""10"";""7"";""16"";""9"";""93"";""7"";""9"";""13"";""0"";""1023"";""0"";""0"";"""""
"Bari;10/1/2014;""9"";""5"";""16"";""8"";""93"";""7"";""9"";""17"";""0"";""1020"";""0"";""0"";"""""
"Bari;11/1/2014;""9"";""5"";""14"";""9"";""98"";""5"";""7"";""13"";""0"";""1022"";""0"";""0"";"""""
"Bari;12/1/2014;""10"";""7"";""14"";""10"";""97"";""4"";""7"";""11"";""0"";""1022"";""0"";""0"";"""""
"Bari;13/1/2014;""11"";""8"";""15"";""11"";""98"";""4"";""6"";""9"";""0"";""1020"";""0"";""0"";"""""
"Bari;14/1/2014;""13"";""8"";""18"";""10"";""86"";""8"";""9"";""17"";""33"";""1012"";""0"";""0"";""pioggia """
"Bari;15/1/2014;""13"";""10"";""16"";""10"";""86"";""10"";""9"";""19"";""0"";""1011"";""0"";""0"";"""""
"Bari;16/1/2014;""10"";""7"";""15"";""8"";""88"";""10"";""9"";""15"";""0"";""1017"";""0"";""0"";"""""
"Bari;17/1/2014;""12"";""6"";""18"";""8"";""79"";""10"";""10"";""20"";""0"";""1016"";""0"";""0"";"""""
"Bari;18/1/2014;""14"";""10"";""17"";""11"";""83"";""10"";""13"";""28"";""65"";""1013"";""0"";""0"";"""""
"Bari;19/1/2014;""16"";""14"";""18"";""13"";""83"";""10"";""21"";""33"";""59"";""1008"";""0"";""0"";""pioggia temporale """
"Bari;20/1/2014;""14"";""11"";""17"";""9"";""76"";""10"";""10"";""19"";""39"";""1003"";""0"";""0"";""pioggia temporale """
"Bari;21/1/2014;""12"";""9"";""14"";""8"";""78"";""10"";""15"";""26"";""44"";""1003"";""0"";""0"";""pioggia """
"Bari;22/1/2014;""12"";""8"";""15"";""8"";""76"";""10"";""12"";""28"";""46"";""1012"";""0"";""0"";"""""
Bari;23/1/2014;;;;;;;;;;;;;
"Bari;24/1/2014;""11"";""8"";""13"";""8"";""81"";""10"";""9"";""15"";""0"";""1005"";""0"";""0"";""pioggia """
"Bari;25/1/2014;""9"";""7"";""11"";""5"";""78"";""9"";""22"";""37"";""56"";""1001"";""0"";""0"";""pioggia """
"Bari;26/1/2014;""9"";""5"";""11"";""2"";""56"";""10"";""29"";""37"";""59"";""1005"";""0"";""0"";""pioggia """
"Bari;27/1/2014;""9"";""7"";""13"";""2"";""58"";""12"";""15"";""35"";""50"";""1002"";""0"";""0"";""pioggia """
"Bari;28/1/2014;""9"";""6"";""12"";""6"";""80"";""11"";""13"";""28"";""0"";""995"";""0"";""0"";"""""
"Bari;29/1/2014;""8"";""2"";""12"";""3"";""71"";""12"";""9"";""17"";""0"";""1007"";""0"";""0"";"""""
"Bari;30/1/2014;""13"";""8"";""16"";""9"";""76"";""11"";""14"";""24"";""52"";""1013"";""0"";""0"";"""""
"Bari;31/1/2014;""16"";""15"";""17"";""11"";""75"";""11"";""21"";""26"";""59"";""1014"";""0"";""0"";""pioggia """
