LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/5/2015;""16"";""10"";""21"";""10"";""66"";""14"";""11"";""20"";""0"";""1017"";""0"";""0"";"""""
"Bari;2/5/2015;""19"";""14"";""24"";""9"";""54"";""14"";""9"";""17"";""0"";""1013"";""0"";""0"";""pioggia """
"Bari;3/5/2015;""18"";""12"";""22"";""11"";""63"";""24"";""9"";""19"";""0"";""0"";""0"";""0"";"""""
"Bari;4/5/2015;""20"";""13"";""24"";""11"";""57"";""14"";""10"";""19"";""0"";""1015"";""0"";""0"";"""""
"Bari;5/5/2015;""23"";""14"";""30"";""13"";""55"";""15"";""10"";""19"";""0"";""1013"";""0"";""0"";"""""
"Bari;6/5/2015;""22"";""19"";""25"";""14"";""58"";""10"";""10"";""19"";""0"";""1012"";""0"";""0"";"""""
"Bari;7/5/2015;""20"";""17"";""26"";""14"";""69"";""8"";""13"";""24"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Bari;8/5/2015;""20"";""15"";""24"";""12"";""59"";""10"";""10"";""19"";""0"";""1015"";""0"";""0"";"""""
"Bari;9/5/2015;""19"";""14"";""24"";""14"";""70"";""10"";""11"";""22"";""0"";""1014"";""0"";""0"";"""""
"Bari;10/5/2015;""20"";""16"";""23"";""12"";""60"";""10"";""20"";""46"";""54"";""1018"";""0"";""0"";"""""
"Bari;11/5/2015;""19"";""16"";""21"";""10"";""55"";""19"";""23"";""32"";""0"";""1022"";""0"";""0"";"""""
"Bari;12/5/2015;""18"";""13"";""21"";""9"";""58"";""23"";""12"";""22"";""0"";""1023"";""0"";""0"";"""""
"Bari;13/5/2015;""19"";""11"";""24"";""6"";""45"";""26"";""10"";""17"";""0"";""1020"";""0"";""0"";"""""
"Bari;14/5/2015;""23"";""16"";""27"";""9"";""42"";""30"";""10"";""17"";""0"";""1012"";""0"";""0"";"""""
"Bari;15/5/2015;""23"";""16"";""31"";""9"";""42"";""20"";""15"";""26"";""48"";""1009"";""0"";""0"";"""""
"Bari;16/5/2015;""21"";""18"";""25"";""14"";""64"";""9"";""12"";""24"";""0"";""1014"";""0"";""0"";"""""
"Bari;17/5/2015;""19"";""15"";""23"";""15"";""76"";""9"";""9"";""19"";""30"";""1016"";""0"";""0"";"""""
"Bari;18/5/2015;""19"";""12"";""22"";""14"";""73"";""8"";""9"";""19"";""0"";""1012"";""0"";""0"";"""""
"Bari;19/5/2015;""23"";""17"";""28"";""10"";""47"";""10"";""14"";""30"";""0"";""1009"";""0"";""0"";""pioggia temporale """
"Bari;20/5/2015;""23"";""15"";""29"";""9"";""39"";""10"";""13"";""22"";""0"";""1010"";""0"";""0"";"""""
"Bari;21/5/2015;""20"";""18"";""23"";""13"";""63"";""9"";""8"";""17"";""0"";""1013"";""0"";""0"";""pioggia """
"Bari;22/5/2015;""16"";""12"";""20"";""11"";""77"";""9"";""9"";""19"";""0"";""1010"";""0"";""0"";""pioggia """
"Bari;23/5/2015;""16"";""8"";""21"";""10"";""68"";""10"";""10"";""20"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Bari;24/5/2015;""16"";""12"";""19"";""12"";""77"";""11"";""12"";""20"";""0"";""1012"";""0"";""0"";""temporale """
"Bari;25/5/2015;""17"";""11"";""21"";""11"";""69"";""11"";""11"";""19"";""0"";""1013"";""0"";""0"";"""""
"Bari;26/5/2015;""17"";""12"";""21"";""13"";""74"";""10"";""9"";""24"";""0"";""1010"";""0"";""0"";"""""
"Bari;27/5/2015;""19"";""15"";""21"";""12"";""67"";""11"";""20"";""30"";""0"";""1010"";""0"";""0"";"""""
"Bari;28/5/2015;""17"";""14"";""19"";""8"";""55"";""12"";""22"";""32"";""0"";""1015"";""0"";""0"";""pioggia """
"Bari;29/5/2015;""16"";""12"";""20"";""9"";""61"";""18"";""17"";""24"";""0"";""1016"";""0"";""0"";"""""
"Bari;30/5/2015;""19"";""10"";""25"";""5"";""44"";""18"";""12"";""24"";""0"";""1015"";""0"";""0"";"""""
"Bari;31/5/2015;""19"";""13"";""24"";""11"";""59"";""12"";""11"";""17"";""0"";""1017"";""0"";""0"";"""""
