LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/10/2015;""19"";""14"";""23"";""14"";""73"";""12"";""9"";""17"";""0"";""1022"";""0"";""0"";"""""
"Bari;2/10/2015;""22"";""17"";""27"";""16"";""70"";""12"";""9"";""19"";""0"";""1022"";""0"";""0"";"""""
"Bari;3/10/2015;""21"";""18"";""26"";""17"";""77"";""12"";""9"";""19"";""0"";""1022"";""0"";""0"";"""""
"Bari;4/10/2015;""20"";""16"";""25"";""14"";""70"";""14"";""8"";""15"";""0"";""1021"";""0"";""0"";"""""
"Bari;5/10/2015;""20"";""16"";""24"";""13"";""62"";""12"";""8"";""11"";""0"";""1017"";""0"";""0"";"""""
"Bari;6/10/2015;""21"";""16"";""26"";""17"";""77"";""10"";""9"";""17"";""0"";""1012"";""0"";""0"";"""""
"Bari;7/10/2015;""21"";""18"";""26"";""16"";""74"";""10"";""9"";""28"";""0"";""1007"";""0"";""0"";""pioggia temporale """
"Bari;8/10/2015;""20"";""18"";""23"";""15"";""74"";""10"";""13"";""20"";""0"";""1013"";""0"";""0"";"""""
"Bari;9/10/2015;""19"";""15"";""21"";""16"";""83"";""9"";""10"";""17"";""0"";""1016"";""0"";""0"";""pioggia """
"Bari;10/10/2015;""19"";""17"";""22"";""17"";""85"";""9"";""10"";""19"";""41"";""1006"";""0"";""0"";""pioggia temporale """
"Bari;11/10/2015;""18"";""16"";""20"";""14"";""75"";""10"";""14"";""22"";""0"";""1004"";""0"";""0"";""pioggia """
"Bari;12/10/2015;""17"";""13"";""20"";""11"";""71"";""10"";""14"";""22"";""0"";""1014"";""0"";""0"";"""""
"Bari;13/10/2015;""18"";""11"";""25"";""12"";""69"";""12"";""10"";""17"";""0"";""1016"";""0"";""0"";""pioggia """
"Bari;14/10/2015;""23"";""19"";""27"";""18"";""73"";""14"";""18"";""26"";""52"";""1012"";""0"";""0"";"""""
"Bari;15/10/2015;""22"";""19"";""25"";""17"";""74"";""12"";""13"";""24"";""43"";""1012"";""0"";""0"";"""""
"Bari;16/10/2015;""19"";""15"";""23"";""13"";""70"";""11"";""6"";""13"";""0"";""1015"";""0"";""0"";"""""
"Bari;17/10/2015;""16"";""12"";""22"";""12"";""76"";""11"";""8"";""17"";""0"";""1018"";""0"";""0"";"""""
"Bari;18/10/2015;""17"";""12"";""21"";""13"";""80"";""20"";""9"";""17"";""0"";""1017"";""0"";""0"";"""""
"Bari;19/10/2015;""20"";""16"";""28"";""14"";""70"";""12"";""10"";""28"";""0"";""1012"";""0"";""0"";""pioggia """
"Bari;20/10/2015;""16"";""14"";""18"";""14"";""89"";""8"";""10"";""20"";""0"";""1013"";""0"";""0"";""pioggia """
"Bari;21/10/2015;""15"";""13"";""17"";""11"";""78"";""10"";""12"";""17"";""0"";""1012"";""0"";""0"";""pioggia """
"Bari;22/10/2015;""12"";""11"";""13"";""10"";""89"";""7"";""21"";""30"";""44"";""1005"";""0"";""0"";""pioggia """
"Bari;23/10/2015;""16"";""12"";""18"";""9"";""65"";""10"";""23"";""32"";""46"";""1011"";""0"";""0"";""pioggia """
"Bari;24/10/2015;""16"";""12"";""19"";""9"";""63"";""12"";""16"";""26"";""0"";""1019"";""0"";""0"";"""""
"Bari;25/10/2015;""14"";""8"";""18"";""11"";""83"";""10"";""10"";""15"";""0"";""1022"";""0"";""0"";"""""
"Bari;26/10/2015;""14"";""10"";""18"";""11"";""85"";""7"";""8"";""11"";""0"";""1021"";""0"";""0"";""nebbia """
"Bari;27/10/2015;""14"";""10"";""19"";""12"";""90"";""6"";""8"";""13"";""0"";""1020"";""0"";""0"";"""""
"Bari;28/10/2015;""17"";""9"";""22"";""14"";""80"";""6"";""7"";""13"";""0"";""1018"";""0"";""0"";""nebbia """
"Bari;29/10/2015;""17"";""15"";""22"";""15"";""87"";""10"";""8"";""19"";""0"";""1015"";""0"";""0"";""pioggia """
"Bari;30/10/2015;""16"";""14"";""18"";""14"";""87"";""9"";""8"";""15"";""0"";""1018"";""0"";""0"";""pioggia """
"Bari;31/10/2015;""18"";""17"";""20"";""11"";""62"";""10"";""15"";""28"";""0"";""1023"";""0"";""0"";"""""
