LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/12/2016;""8"";""4"";""14"";""3"";""64"";""27"";""13"";""22"";""0"";""1006"";""0"";""0"";"""""
"Bari;2/12/2016;""8"";""0"";""16"";""5"";""72"";""16"";""9"";""15"";""0"";""1016"";""0"";""0"";"""""
"Bari;3/12/2016;""10"";""4"";""16"";""7"";""81"";""10"";""9"";""17"";""0"";""1020"";""0"";""0"";""nebbia """
"Bari;4/12/2016;""9"";""5"";""14"";""7"";""87"";""10"";""8"";""11"";""0"";""1024"";""0"";""0"";"""""
"Bari;5/12/2016;""9"";""4"";""24"";""7"";""88"";""8"";""9"";""11"";""0"";""1027"";""0"";""0"";"""""
"Bari;6/12/2016;""9"";""4"";""15"";""7"";""90"";""9"";""8"";""13"";""0"";""1028"";""0"";""0"";"""""
"Bari;7/12/2016;""11"";""7"";""15"";""6"";""75"";""9"";""13"";""19"";""0"";""1031"";""0"";""0"";""pioggia """
"Bari;8/12/2016;""8"";""5"";""14"";""5"";""77"";""11"";""10"";""13"";""0"";""1035"";""0"";""0"";"""""
"Bari;9/12/2016;""7"";""2"";""12"";""4"";""83"";""10"";""9"";""13"";""0"";""1032"";""0"";""0"";""nebbia """
"Bari;10/12/2016;""8"";""4"";""14"";""6"";""87"";""8"";""11"";""17"";""0"";""1027"";""0"";""0"";"""""
"Bari;11/12/2016;""8"";""2"";""13"";""5"";""84"";""7"";""9"";""13"";""0"";""1022"";""0"";""0"";"""""
"Bari;12/12/2016;""9"";""6"";""13"";""7"";""86"";""7"";""10"";""26"";""39"";""1017"";""0"";""0"";""pioggia """
"Bari;13/12/2016;""11"";""6"";""13"";""3"";""55"";""11"";""18"";""28"";""46"";""1025"";""0"";""0"";"""""
"Bari;14/12/2016;""7"";""2"";""13"";""2"";""75"";""13"";""8"";""13"";""0"";""1027"";""0"";""0"";"""""
"Bari;15/12/2016;""8"";""3"";""19"";""4"";""75"";""10"";""11"";""17"";""0"";""1025"";""0"";""0"";"""""
"Bari;16/12/2016;""8"";""4"";""10"";""4"";""76"";""9"";""10"";""22"";""0"";""1028"";""0"";""0"";"""""
"Bari;17/12/2016;""6"";""0"";""11"";""2"";""72"";""11"";""9"";""15"";""0"";""1035"";""0"";""0"";"""""
"Bari;18/12/2016;""5"";""1"";""12"";""2"";""74"";""9"";""9"";""13"";""0"";""1032"";""0"";""0"";"""""
"Bari;19/12/2016;""8"";""1"";""13"";""5"";""80"";""8"";""10"";""15"";""0"";""1029"";""0"";""0"";"""""
"Bari;20/12/2016;""12"";""10"";""14"";""9"";""80"";""9"";""12"";""19"";""0"";""1024"";""0"";""0"";""pioggia """
"Bari;21/12/2016;""9"";""4"";""14"";""6"";""82"";""8"";""8"";""19"";""0"";""1025"";""0"";""0"";""nebbia """
"Bari;22/12/2016;""8"";""3"";""13"";""6"";""85"";""8"";""12"";""22"";""0"";""1028"";""0"";""0"";"""""
"Bari;23/12/2016;""9"";""5"";""14"";""6"";""81"";""8"";""14"";""20"";""0"";""1028"";""0"";""0"";"""""
"Bari;24/12/2016;""9"";""4"";""15"";""6"";""81"";""9"";""12"";""19"";""0"";""1027"";""0"";""0"";"""""
"Bari;25/12/2016;""7"";""1"";""13"";""4"";""80"";""11"";""11"";""15"";""0"";""1024"";""0"";""0"";"""""
"Bari;26/12/2016;""9"";""5"";""15"";""4"";""71"";""14"";""11"";""15"";""0"";""1027"";""0"";""0"";"""""
"Bari;27/12/2016;""10"";""5"";""15"";""5"";""72"";""8"";""13"";""22"";""44"";""1026"";""0"";""0"";""pioggia temporale """
"Bari;28/12/2016;""10"";""7"";""12"";""2"";""45"";""10"";""29"";""37"";""65"";""1028"";""0"";""0"";""pioggia temporale """
"Bari;29/12/2016;""7"";""6"";""8"";""0"";""40"";""10"";""33"";""43"";""69"";""1029"";""0"";""0"";""pioggia """
"Bari;30/12/2016;""7"";""5"";""8"";""0"";""49"";""10"";""20"";""30"";""44"";""1030"";""0"";""0"";"""""
"Bari;31/12/2016;""6"";""1"";""10"";""2"";""64"";""10"";""16"";""24"";""0"";""1028"";""0"";""0"";"""""
