LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/3/2018;""7"";""0"";""14"";""9"";""83"";""13"";""12"";""22"";""0"";""1010"";""0"";""0"";""neve """
"Bari;2/3/2018;""14"";""8"";""20"";""9"";""72"";""11"";""15"";""37"";""0"";""999"";""0"";""0"";""pioggia """
"Bari;3/3/2018;""11"";""7"";""14"";""6"";""68"";""19"";""13"";""28"";""0"";""1000"";""0"";""0"";""pioggia temporale """
"Bari;4/3/2018;""12"";""10"";""14"";""8"";""80"";""20"";""11"";""28"";""0"";""1003"";""0"";""0"";"""""
"Bari;5/3/2018;""11"";""10"";""14"";""10"";""90"";""16"";""5"";""9"";""0"";""997"";""0"";""0"";""pioggia """
"Bari;6/3/2018;""14"";""11"";""18"";""7"";""66"";""22"";""15"";""24"";""0"";""995"";""0"";""0"";"""""
"Bari;7/3/2018;""12"";""7"";""18"";""6"";""65"";""19"";""11"";""22"";""0"";""1003"";""0"";""0"";""pioggia """
"Bari;8/3/2018;""11"";""7"";""15"";""5"";""70"";""20"";""15"";""28"";""0"";""1011"";""0"";""0"";""pioggia """
"Bari;9/3/2018;""11"";""6"";""15"";""7"";""78"";""21"";""10"";""21"";""0"";""1017"";""0"";""0"";"""""
"Bari;10/3/2018;""12"";""5"";""19"";""8"";""75"";""20"";""10"";""17"";""0"";""1016"";""0"";""0"";"""""
"Bari;11/3/2018;""14"";""10"";""19"";""11"";""82"";""19"";""13"";""22"";""0"";""1011"";""0"";""0"";"""""
"Bari;12/3/2018;""15"";""10"";""21"";""8"";""64"";""21"";""17"";""33"";""0"";""1007"";""0"";""0"";""pioggia """
"Bari;13/3/2018;""14"";""9"";""19"";""5"";""55"";""20"";""20"";""35"";""0"";""1009"";""0"";""0"";"""""
"Bari;14/3/2018;""12"";""8"";""15"";""5"";""65"";""18"";""12"";""22"";""0"";""1011"";""0"";""0"";"""""
"Bari;15/3/2018;""12"";""4"";""19"";""6"";""68"";""20"";""12"";""22"";""0"";""1010"";""0"";""0"";""pioggia """
"Bari;16/3/2018;""16"";""13"";""20"";""11"";""74"";""19"";""14"";""21"";""0"";""1005"";""0"";""0"";""pioggia """
"Bari;17/3/2018;""16"";""13"";""24"";""11"";""74"";""17"";""19"";""31"";""0"";""994"";""0"";""0"";"""""
"Bari;18/3/2018;""13"";""7"";""18"";""5"";""56"";""20"";""12"";""22"";""0"";""999"";""0"";""0"";"""""
"Bari;19/3/2018;""12"";""7"";""17"";""5"";""63"";""20"";""12"";""18"";""0"";""1000"";""0"";""0"";""pioggia """
"Bari;20/3/2018;""11"";""7"";""15"";""4"";""63"";""20"";""13"";""22"";""0"";""1005"";""0"";""0"";""pioggia """
"Bari;21/3/2018;""9"";""6"";""15"";""5"";""75"";""20"";""16"";""28"";""0"";""1009"";""0"";""0"";""pioggia """
"Bari;22/3/2018;""6"";""3"";""9"";""5"";""92"";""7"";""26"";""35"";""0"";""1003"";""0"";""0"";""pioggia """
"Bari;23/3/2018;""4"";""3"";""7"";""2"";""83"";""13"";""30"";""41"";""0"";""997"";""0"";""0"";""pioggia """
"Bari;24/3/2018;""7"";""3"";""10"";""2"";""70"";""21"";""13"";""24"";""0"";""1002"";""0"";""0"";""pioggia """
"Bari;25/3/2018;""8"";""3"";""11"";""6"";""88"";""16"";""13"";""35"";""0"";""1004"";""0"";""0"";""pioggia """
"Bari;26/3/2018;""10"";""7"";""12"";""8"";""86"";""13"";""17"";""28"";""0"";""1006"";""0"";""0"";""pioggia """
"Bari;27/3/2018;""9"";""4"";""13"";""5"";""75"";""19"";""12"";""21"";""0"";""1013"";""0"";""0"";"""""
"Bari;28/3/2018;""10"";""3"";""15"";""4"";""68"";""20"";""10"";""17"";""0"";""1013"";""0"";""0"";"""""
"Bari;29/3/2018;""14"";""5"";""21"";""7"";""64"";""19"";""13"";""22"";""0"";""1012"";""0"";""0"";"""""
"Bari;30/3/2018;""16"";""12"";""19"";""12"";""74"";""19"";""20"";""28"";""0"";""1012"";""0"";""0"";"""""
"Bari;31/3/2018;""17"";""13"";""21"";""11"";""69"";""20"";""23"";""42"";""0"";""1004"";""0"";""0"";"""""
