LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/9/2018;""25"";""19"";""30"";""16"";""56"";""20"";""10"";""18"";""0"";""1015"";""0"";""0"";"""""
"Bari;2/9/2018;""25"";""20"";""30"";""17"";""63"";""19"";""11"";""22"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Bari;3/9/2018;""23"";""17"";""26"";""16"";""65"";""20"";""11"";""18"";""0"";""1013"";""0"";""0"";"""""
"Bari;4/9/2018;""23"";""18"";""27"";""17"";""70"";""20"";""9"";""18"";""0"";""1013"";""0"";""0"";"""""
"Bari;5/9/2018;""23"";""20"";""27"";""18"";""70"";""21"";""13"";""21"";""0"";""1014"";""0"";""0"";"""""
"Bari;6/9/2018;""23"";""18"";""28"";""16"";""65"";""20"";""10"";""18"";""0"";""1012"";""0"";""0"";"""""
"Bari;7/9/2018;""24"";""18"";""29"";""17"";""68"";""20"";""9"";""17"";""0"";""1011"";""0"";""0"";""pioggia """
"Bari;8/9/2018;""24"";""20"";""26"";""18"";""71"";""20"";""15"";""26"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Bari;9/9/2018;""24"";""20"";""27"";""19"";""75"";""19"";""13"";""22"";""0"";""1019"";""0"";""0"";"""""
"Bari;10/9/2018;""23"";""19"";""27"";""18"";""74"";""18"";""12"";""21"";""0"";""1020"";""0"";""0"";"""""
"Bari;11/9/2018;""23"";""17"";""28"";""17"";""71"";""20"";""16"";""26"";""0"";""1022"";""0"";""0"";"""""
"Bari;12/9/2018;""24"";""20"";""27"";""17"";""64"";""18"";""13"";""21"";""0"";""1021"";""0"";""0"";"""""
"Bari;13/9/2018;""23"";""17"";""28"";""15"";""62"";""20"";""8"";""15"";""0"";""1015"";""0"";""0"";"""""
"Bari;14/9/2018;""23"";""19"";""29"";""17"";""69"";""20"";""10"";""18"";""0"";""1015"";""0"";""0"";"""""
"Bari;15/9/2018;""23"";""17"";""27"";""16"";""68"";""20"";""9"";""17"";""0"";""1018"";""0"";""0"";"""""
"Bari;16/9/2018;""23"";""18"";""27"";""18"";""74"";""20"";""10"";""21"";""0"";""1021"";""0"";""0"";"""""
"Bari;17/9/2018;""23"";""18"";""27"";""17"";""72"";""18"";""9"";""21"";""0"";""1020"";""0"";""0"";"""""
"Bari;18/9/2018;""23"";""17"";""28"";""16"";""65"";""18"";""10"";""26"";""0"";""1019"";""0"";""0"";"""""
"Bari;19/9/2018;""24"";""19"";""28"";""18"";""72"";""14"";""9"";""18"";""0"";""1018"";""0"";""0"";""pioggia """
"Bari;20/9/2018;""23"";""20"";""26"";""19"";""79"";""18"";""9"";""18"";""0"";""1018"";""0"";""0"";"""""
"Bari;21/9/2018;""23"";""18"";""26"";""19"";""78"";""17"";""10"";""21"";""0"";""1016"";""0"";""0"";"""""
"Bari;22/9/2018;""23"";""17"";""28"";""17"";""70"";""16"";""10"";""22"";""0"";""1017"";""0"";""0"";"""""
"Bari;23/9/2018;""25"";""18"";""30"";""15"";""55"";""21"";""11"";""22"";""0"";""1018"";""0"";""0"";"""""
"Bari;24/9/2018;""24"";""19"";""30"";""16"";""59"";""20"";""16"";""30"";""0"";""1015"";""0"";""0"";""pioggia """
"Bari;25/9/2018;""19"";""18"";""20"";""5"";""42"";""20"";""27"";""33"";""0"";""1025"";""0"";""0"";"""""
"Bari;26/9/2018;""18"";""16"";""19"";""2"";""33"";""20"";""28"";""37"";""0"";""1029"";""0"";""0"";"""""
"Bari;27/9/2018;""18"";""12"";""21"";""4"";""38"";""20"";""18"";""28"";""0"";""1025"";""0"";""0"";"""""
"Bari;28/9/2018;""18"";""11"";""23"";""7"";""51"";""20"";""10"";""18"";""0"";""1016"";""0"";""0"";"""""
"Bari;29/9/2018;""20"";""14"";""24"";""10"";""55"";""21"";""18"";""28"";""0"";""1014"";""0"";""0"";"""""
"Bari;30/9/2018;""18"";""14"";""21"";""10"";""59"";""20"";""17"";""30"";""0"";""1016"";""0"";""0"";"""""
