LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/4/2020;""7"";""3"";""10"";""2"";""68"";""19"";""20"";""28"";""0"";""1014"";""0"";""0"";""pioggia """
"Bari;2/4/2020;""8"";""4"";""12"";""2"";""58"";""19"";""13"";""22"";""0"";""1014"";""0"";""0"";"""""
"Bari;3/4/2020;""9"";""3"";""13"";""3"";""71"";""18"";""11"";""21"";""0"";""1013"";""0"";""0"";"""""
"Bari;4/4/2020;""12"";""7"";""16"";""6"";""65"";""20"";""18"";""24"";""0"";""1013"";""0"";""0"";"""""
"Bari;5/4/2020;""14"";""10"";""18"";""9"";""71"";""21"";""9"";""17"";""0"";""1015"";""0"";""0"";"""""
"Bari;6/4/2020;""13"";""9"";""16"";""8"";""75"";""19"";""11"";""22"";""0"";""1023"";""0"";""0"";"""""
"Bari;7/4/2020;""12"";""6"";""16"";""7"";""73"";""20"";""10"";""15"";""0"";""1026"";""0"";""0"";"""""
"Bari;8/4/2020;""11"";""4"";""17"";""6"";""75"";""16"";""9"";""13"";""0"";""1025"";""0"";""0"";"""""
"Bari;9/4/2020;""12"";""5"";""17"";""5"";""59"";""20"";""10"";""15"";""0"";""1021"";""0"";""0"";"""""
"Bari;10/4/2020;""15"";""6"";""19"";""3"";""40"";""20"";""12"";""18"";""0"";""1020"";""0"";""0"";"""""
"Bari;11/4/2020;""15"";""9"";""19"";""7"";""52"";""20"";""10"";""17"";""0"";""1020"";""0"";""0"";"""""
"Bari;12/4/2020;""15"";""9"";""22"";""6"";""56"";""19"";""9"";""15"";""0"";""1020"";""0"";""0"";"""""
"Bari;13/4/2020;""17"";""8"";""25"";""5"";""47"";""20"";""11"";""24"";""0"";""1016"";""0"";""0"";"""""
"Bari;14/4/2020;""15"";""11"";""19"";""10"";""73"";""17"";""11"";""22"";""0"";""1011"";""0"";""0"";""pioggia """
"Bari;15/4/2020;""11"";""8"";""13"";""4"";""57"";""21"";""20"";""26"";""0"";""1020"";""0"";""0"";""pioggia """
"Bari;16/4/2020;""11"";""3"";""15"";""4"";""65"";""20"";""10"";""15"";""0"";""1023"";""0"";""0"";"""""
"Bari;17/4/2020;""12"";""6"";""18"";""7"";""70"";""20"";""8"";""15"";""0"";""1019"";""0"";""0"";"""""
"Bari;18/4/2020;""15"";""6"";""20"";""5"";""57"";""20"";""9"";""17"";""0"";""1017"";""0"";""0"";"""""
"Bari;19/4/2020;""18"";""13"";""23"";""11"";""65"";""18"";""9"";""22"";""0"";""1013"";""0"";""0"";""pioggia """
"Bari;20/4/2020;""16"";""15"";""17"";""14"";""89"";""9"";""10"";""18"";""0"";""1010"";""0"";""0"";""pioggia """
"Bari;21/4/2020;""15"";""13"";""17"";""14"";""91"";""19"";""12"";""26"";""0"";""1008"";""0"";""0"";""pioggia """
"Bari;22/4/2020;""14"";""13"";""16"";""13"";""96"";""9"";""15"";""26"";""0"";""1012"";""0"";""0"";""pioggia """
"Bari;23/4/2020;""13"";""12"";""16"";""11"";""85"";""16"";""12"";""22"";""0"";""1016"";""0"";""0"";""pioggia """
"Bari;24/4/2020;""14"";""8"";""18"";""8"";""70"";""19"";""8"";""13"";""0"";""1015"";""0"";""0"";"""""
"Bari;25/4/2020;""15"";""9"";""20"";""9"";""68"";""21"";""9"";""15"";""0"";""1010"";""0"";""0"";"""""
"Bari;26/4/2020;""16"";""10"";""20"";""10"";""71"";""21"";""9"";""22"";""0"";""1009"";""0"";""0"";"""""
"Bari;27/4/2020;""17"";""11"";""20"";""11"";""72"";""19"";""8"";""17"";""0"";""1012"";""0"";""0"";"""""
"Bari;28/4/2020;""18"";""11"";""22"";""11"";""64"";""19"";""10"";""21"";""0"";""1013"";""0"";""0"";"""""
"Bari;29/4/2020;""18"";""11"";""23"";""11"";""64"";""21"";""14"";""31"";""0"";""1010"";""0"";""0"";"""""
"Bari;30/4/2020;""17"";""12"";""21"";""11"";""66"";""18"";""10"";""18"";""0"";""1011"";""0"";""0"";"""""
