LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bari;1/6/2020;""18"";""12"";""20"";""11"";""68"";""20"";""15"";""30"";""0"";""1015"";""0"";""0"";"""""
"Bari;2/6/2020;""19"";""15"";""23"";""12"";""63"";""19"";""15"";""22"";""0"";""1013"";""0"";""0"";"""""
"Bari;3/6/2020;""21"";""15"";""25"";""10"";""51"";""20"";""14"";""22"";""0"";""1010"";""0"";""0"";"""""
"Bari;4/6/2020;""22"";""16"";""29"";""11"";""51"";""19"";""15"";""28"";""0"";""1007"";""0"";""0"";"""""
"Bari;5/6/2020;""19"";""15"";""22"";""16"";""84"";""15"";""15"";""26"";""0"";""1005"";""0"";""0"";""pioggia """
"Bari;6/6/2020;""19"";""16"";""24"";""16"";""80"";""19"";""9"";""17"";""0"";""1006"";""0"";""0"";""pioggia """
"Bari;7/6/2020;""22"";""15"";""25"";""15"";""66"";""20"";""11"";""24"";""0"";""1009"";""0"";""0"";"""""
"Bari;8/6/2020;""21"";""18"";""27"";""16"";""73"";""19"";""10"";""17"";""0"";""1008"";""0"";""0"";""pioggia """
"Bari;9/6/2020;""21"";""17"";""24"";""16"";""75"";""21"";""9"";""17"";""0"";""1009"";""0"";""0"";""pioggia """
"Bari;10/6/2020;""21"";""17"";""25"";""12"";""60"";""21"";""11"";""21"";""0"";""1011"";""0"";""0"";"""""
"Bari;11/6/2020;""20"";""14"";""24"";""12"";""62"";""20"";""13"";""26"";""0"";""1011"";""0"";""0"";""pioggia """
"Bari;12/6/2020;""20"";""15"";""23"";""13"";""65"";""20"";""11"";""15"";""0"";""1013"";""0"";""0"";"""""
"Bari;13/6/2020;""21"";""15"";""27"";""13"";""62"";""20"";""10"";""21"";""0"";""1012"";""0"";""0"";"""""
"Bari;14/6/2020;""23"";""18"";""29"";""13"";""55"";""22"";""12"";""24"";""0"";""1011"";""0"";""0"";"""""
"Bari;15/6/2020;""21"";""19"";""24"";""14"";""67"";""19"";""11"";""18"";""0"";""1011"";""0"";""0"";""pioggia """
"Bari;16/6/2020;""20"";""18"";""22"";""17"";""80"";""20"";""8"";""15"";""0"";""1011"";""0"";""0"";""pioggia """
"Bari;17/6/2020;""22"";""16"";""26"";""16"";""72"";""19"";""10"";""22"";""0"";""1010"";""0"";""0"";"""""
"Bari;18/6/2020;""23"";""18"";""26"";""15"";""61"";""20"";""12"";""21"";""0"";""1013"";""0"";""0"";"""""
"Bari;19/6/2020;""22"";""16"";""27"";""13"";""58"";""21"";""10"";""18"";""0"";""1015"";""0"";""0"";""pioggia """
"Bari;20/6/2020;""22"";""19"";""24"";""17"";""73"";""18"";""12"";""18"";""0"";""1013"";""0"";""0"";""pioggia """
"Bari;21/6/2020;""22"";""19"";""25"";""14"";""61"";""21"";""19"";""26"";""0"";""1012"";""0"";""0"";"""""
"Bari;22/6/2020;""22"";""19"";""23"";""16"";""71"";""20"";""19"";""26"";""0"";""1012"";""0"";""0"";""pioggia """
"Bari;23/6/2020;""24"";""21"";""26"";""16"";""63"";""18"";""17"";""24"";""0"";""1014"";""0"";""0"";"""""
"Bari;24/6/2020;""23"";""18"";""26"";""14"";""58"";""17"";""11"";""15"";""0"";""1018"";""0"";""0"";"""""
"Bari;25/6/2020;""22"";""15"";""27"";""13"";""59"";""22"";""11"";""22"";""0"";""1018"";""0"";""0"";"""""
"Bari;26/6/2020;""23"";""17"";""27"";""18"";""77"";""21"";""10"";""21"";""0"";""1017"";""0"";""0"";"""""
"Bari;27/6/2020;""24"";""18"";""29"";""18"";""70"";""20"";""10"";""18"";""0"";""1015"";""0"";""0"";"""""
"Bari;28/6/2020;""25"";""20"";""29"";""15"";""57"";""21"";""8"";""13"";""0"";""1015"";""0"";""0"";"""""
"Bari;29/6/2020;""26"";""19"";""31"";""15"";""52"";""19"";""10"";""18"";""0"";""1012"";""0"";""0"";"""""
"Bari;30/6/2020;""28"";""22"";""31"";""16"";""49"";""20"";""10"";""21"";""0"";""1012"";""0"";""0"";"""""
