"DATA";"TMEDIA";"TMIN";"TMAX";"UMID"
"2010-01-01";"13";"10";"17";"66"
"2010-01-02";"12";"10";"16";"57"
"2010-01-03";"6";"2";"10";"77"
"2010-01-04";"4";"5";"6";"86"
"2010-01-05";"10";"13";"15";"86"
"2010-01-06";"13";"11";"17";"70"
"2010-01-07";"12";"11";"18";"68"
"2010-01-08";"14";"15";"17";"81"
"2010-01-09";"12";"9";"15";"72"
"2010-01-10";"8";"6";"12";"68"
"2010-01-11";"7";"6";"11";"74"
"2010-01-12";"7";"4";"10";"83"
"2010-01-13";"6";"7";"10";"86"
"2010-01-14";"7";"5";"10";"90"
"2010-01-15";"8";"3";"11";"86"
"2010-01-16";"7";"4";"10";"81"
"2010-01-17";"6";"2";"8";"85"
"2010-01-18";"7";"4";"11";"85"
"2010-01-19";"7";"5";"9";"73"
"2010-01-21";"5";"0";"8";"82"
"2010-01-22";"5";"3";"8";"69"
"2010-01-23";"5";"3";"6";"65"
"2010-01-24";"5";"2";"8";"72"
"2010-01-25";"6";"3";"9";"78"
"2010-01-26";"9";"6";"12";"71"
"2010-01-27";"8";"5";"10";"91"
"2010-01-28";"7";"5";"9";"82"
"2010-01-29";"7";"5";"9";"87"
"2010-01-30";"9";"5";"13";"77"
"2010-01-31";"9";"6";"13";"65"
"2010-02-01";"5";"2";"7";"70"
"2010-02-02";"3";"1";"6";"66"
"2010-02-03";"5";"-1";"12";"62"
"2010-02-04";"7";"1";"12";"78"
"2010-02-05";"9";"5";"13";"86"
"2010-02-06";"10";"7";"14";"73"
"2010-02-07";"7";"5";"9";"86"
"2010-02-08";"6";"4";"8";"77"
"2010-02-09";"6";"1";"11";"80"
"2010-02-10";"11";"8";"17";"81"
"2010-02-11";"9";"7";"11";"84"
"2010-02-12";"6";"3";"10";"75"
"2010-02-13";"5";"1";"10";"77"
"2010-02-14";"7";"4";"8";"94"
"2010-02-15";"8";"6";"11";"86"
"2010-02-16";"10";"6";"14";"87"
"2010-02-17";"11";"9";"13";"90"
"2010-02-18";"14";"9";"19";"69"
"2010-02-19";"13";"9";"17";"77"
"2010-02-20";"13";"9";"18";"64"
"2010-02-21";"9";"5";"13";"64"
"2010-02-22";"10";"7";"14";"75"
"2010-02-23";"15";"10";"19";"68"
"2010-02-24";"12";"9";"14";"83"
"2010-02-25";"10";"6";"14";"87"
"2010-02-26";"13";"7";"18";"68"
"2010-02-27";"11";"5";"14";"65"
"2010-02-28";"11";"6";"14";"69"
"2010-03-01";"15";"12";"19";"72"
"2010-03-02";"12";"8";"16";"72"
"2010-03-03";"10";"6";"14";"79"
"2010-03-04";"13";"9";"18";"78"
"2010-03-05";"8";"5";"10";"82"
"2010-03-06";"4";"0";"7";"70"
"2010-03-07";"5";"-1";"9";"68"
"2010-03-08";"8";"4";"9";"55"
"2010-03-09";"6";"1";"13";"78"
"2010-03-10";"12";"8";"14";"90"
"2010-03-11";"8";"3";"12";"69"
"2010-03-12";"7";"1";"11";"74"
"2010-03-13";"8";"6";"11";"77"
"2010-03-14";"8";"5";"11";"62"
"2010-03-15";"8";"4";"12";"64"
"2010-03-16";"8";"2";"15";"62"
"2010-03-17";"9";"5";"18";"69"
"2010-03-18";"10";"4";"16";"60"
"2010-03-19";"10";"4";"15";"60"
"2010-03-20";"12";"4";"20";"64"
"2010-03-21";"15";"10";"20";"66"
"2010-03-22";"13";"11";"17";"85"
"2010-03-23";"12";"11";"13";"98"
"2010-03-24";"13";"11";"15";"91"
"2010-03-25";"13";"7";"19";"84"
"2010-03-26";"14";"8";"22";"78"
"2010-03-27";"15";"9";"22";"69"
"2010-03-28";"13";"9";"17";"65"
"2010-03-29";"13";"8";"18";"65"
"2010-03-30";"14";"7";"18";"78"
"2010-03-31";"16";"13";"21";"61"
"2010-04-01";"15";"11";"18";"48"
"2010-04-02";"14";"9";"18";"67"
"2010-04-03";"11";"9";"15";"75"
"2010-04-04";"14";"12";"21";"62"
"2010-04-05";"15";"10";"20";"60"
"2010-04-06";"12";"8";"15";"64"
"2010-04-07";"11";"7";"15";"63"
"2010-04-08";"11";"5";"15";"77"
"2010-04-09";"12";"7";"15";"87"
"2010-04-10";"13";"9";"18";"60"
"2010-04-11";"12";"8";"18";"74"
"2010-04-12";"11";"7";"14";"92"
"2010-04-13";"12";"10";"13";"95"
"2010-04-14";"13";"9";"16";"91"
"2010-04-15";"13";"12";"15";"95"
"2010-04-16";"14";"12";"16";"95"
"2010-04-17";"13";"10";"17";"86"
"2010-04-18";"13";"8";"17";"89"
"2010-04-19";"14";"11";"17";"87"
"2010-04-20";"15";"10";"20";"66"
"2010-04-21";"17";"12";"22";"48"
"2010-04-22";"17";"10";"25";"55"
"2010-04-23";"15";"12";"19";"82"
"2010-04-24";"13";"10";"16";"89"
"2010-04-25";"15";"13";"19";"79"
"2010-04-26";"16";"12";"21";"77"
"2010-04-27";"15";"10";"20";"83"
"2010-04-28";"17";"10";"22";"75"
"2010-04-29";"16";"11";"20";"67"
"2010-04-30";"16";"8";"23";"60"
"2010-05-01";"18";"11";"22";"61"
"2010-05-02";"19";"10";"27";"62"
"2010-05-03";"20";"15";"25";"71"
"2010-05-04";"19";"15";"25";"60"
"2010-05-05";"20";"8";"25";"58"
"2010-05-06";"16";"11";"22";"65"
"2010-05-07";"15";"8";"19";"64"
"2010-05-08";"15";"12";"20";"83"
"2010-05-09";"15";"9";"20";"71"
"2010-05-10";"20";"12";"29";"51"
"2010-05-11";"20";"15";"24";"64"
"2010-05-12";"20";"16";"24";"64"
"2010-05-13";"19";"16";"23";"70"
"2010-05-14";"19";"12";"23";"56"
"2010-05-15";"18";"15";"21";"64"
"2010-05-16";"16";"14";"20";"59"
"2010-05-17";"15";"11";"18";"73"
"2010-05-18";"16";"11";"21";"59"
"2010-05-19";"16";"12";"20";"70"
"2010-05-20";"14";"12";"15";"89"
"2010-05-21";"16";"13";"19";"74"
"2010-05-22";"18";"14";"20";"72"
"2010-05-23";"19";"15";"23";"62"
"2010-05-24";"1";"0";"23";"55"
"2010-05-25";"19";"12";"24";"66"
"2010-05-26";"22";"15";"27";"57"
"2010-05-27";"23";"13";"29";"47"
"2010-05-28";"23";"20";"26";"58"
"2010-05-29";"20";"18";"22";"85"
"2010-05-30";"22";"18";"28";"76"
"2010-05-31";"20";"15";"26";"65"
"2010-06-01";"17";"13";"21";"61"
"2010-06-02";"19";"14";"24";"58"
"2010-06-03";"17";"13";"21";"81"
"2010-06-04";"17";"15";"19";"81"
"2010-06-05";"19";"14";"24";"71"
"2010-06-06";"20";"16";"24";"68"
"2010-06-07";"21";"15";"26";"67"
"2010-06-08";"21";"16";"26";"72"
"2010-06-09";"23";"17";"28";"61"
"2010-06-10";"26";"16";"31";"42"
"2010-06-11";"29";"19";"37";"29"
"2010-06-12";"27";"21";"32";"51"
"2010-06-13";"27";"22";"31";"55"
"2010-06-14";"25";"21";"29";"62"
"2010-06-15";"27";"21";"34";"62"
"2010-06-16";"28";"24";"32";"45"
"2010-06-17";"25";"21";"29";"58"
"2010-06-18";"25";"21";"28";"60"
