LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bologna;1/6/2011;""20"";""17"";""24"";""16"";""78"";""10"";""6"";""12"";""0"";""1014"";""0"";""0"";""pioggia """
"Bologna;2/6/2011;""21"";""16"";""27"";""15"";""73"";""7"";""6"";""10"";""0"";""1019"";""0"";""0"";"""""
"Bologna;3/6/2011;""21"";""18"";""26"";""17"";""76"";""8"";""6"";""10"";""0"";""1019"";""0"";""0"";""pioggia temporale """
"Bologna;4/6/2011;""21"";""17"";""29"";""16"";""76"";""9"";""6"";""27"";""46"";""1016"";""0"";""0"";""pioggia temporale """
"Bologna;5/6/2011;""20"";""16"";""27"";""16"";""77"";""10"";""8"";""25"";""37"";""1012"";""0"";""0"";""pioggia temporale """
"Bologna;6/6/2011;""18"";""15"";""21"";""16"";""87"";""10"";""5"";""12"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Bologna;7/6/2011;""18"";""17"";""19"";""16"";""90"";""6"";""4"";""8"";""0"";""1007"";""0"";""0"";""pioggia """
"Bologna;8/6/2011;""20"";""15"";""25"";""15"";""75"";""7"";""6"";""16"";""0"";""1007"";""0"";""0"";""pioggia nebbia """
"Bologna;9/6/2011;""20"";""16"";""26"";""13"";""67"";""10"";""6"";""15"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Bologna;10/6/2011;""21"";""17"";""26"";""15"";""69"";""10"";""6"";""10"";""0"";""1012"";""0"";""0"";"""""
"Bologna;11/6/2011;""20"";""17"";""24"";""16"";""77"";""9"";""6"";""12"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Bologna;12/6/2011;""21"";""16"";""26"";""15"";""70"";""10"";""6"";""10"";""0"";""1015"";""0"";""0"";"""""
"Bologna;13/6/2011;""20"";""18"";""23"";""17"";""82"";""9"";""5"";""12"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Bologna;14/6/2011;""22"";""16"";""27"";""15"";""70"";""9"";""5"";""9"";""17"";""1016"";""0"";""0"";"""""
"Bologna;15/6/2011;""23"";""16"";""29"";""14"";""60"";""10"";""6"";""8"";""0"";""1017"";""0"";""0"";"""""
"Bologna;16/6/2011;""25"";""19"";""31"";""14"";""53"";""10"";""8"";""13"";""0"";""1015"";""0"";""0"";"""""
"Bologna;17/6/2011;""25"";""19"";""29"";""14"";""54"";""10"";""7"";""14"";""0"";""1015"";""0"";""0"";"""""
"Bologna;18/6/2011;""25"";""22"";""29"";""15"";""52"";""10"";""12"";""20"";""0"";""1009"";""0"";""0"";"""""
"Bologna;19/6/2011;""24"";""19"";""28"";""14"";""55"";""10"";""8"";""13"";""0"";""1009"";""0"";""0"";"""""
"Bologna;20/6/2011;""22"";""16"";""29"";""16"";""69"";""10"";""6"";""12"";""0"";""1016"";""0"";""0"";"""""
"Bologna;21/6/2011;""25"";""19"";""31"";""17"";""65"";""10"";""6"";""14"";""0"";""1018"";""0"";""0"";"""""
"Bologna;22/6/2011;""26"";""19"";""33"";""17"";""60"";""10"";""5"";""8"";""0"";""1017"";""0"";""0"";"""""
"Bologna;23/6/2011;""26"";""20"";""32"";""15"";""50"";""10"";""6"";""12"";""0"";""1014"";""0"";""0"";"""""
"Bologna;24/6/2011;""24"";""19"";""29"";""16"";""65"";""10"";""7"";""13"";""0"";""1014"";""0"";""0"";"""""
"Bologna;25/6/2011;""23"";""17"";""28"";""13"";""55"";""10"";""5"";""12"";""0"";""1020"";""0"";""0"";"""""
"Bologna;26/6/2011;""25"";""16"";""32"";""13"";""50"";""0"";""6"";""13"";""0"";""1021"";""0"";""0"";"""""
"Bologna;27/6/2011;""25"";""17"";""31"";""17"";""61"";""10"";""7"";""12"";""0"";""1019"";""0"";""0"";"""""
"Bologna;28/6/2011;""27"";""21"";""33"";""18"";""58"";""10"";""6"";""14"";""0"";""1014"";""0"";""0"";"""""
"Bologna;29/6/2011;""27"";""20"";""33"";""17"";""58"";""9"";""7"";""21"";""35"";""1011"";""0"";""0"";""pioggia temporale """
"Bologna;30/6/2011;""25"";""20"";""30"";""18"";""70"";""10"";""5"";""9"";""0"";""1011"";""0"";""0"";""pioggia temporale """
