LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bologna;1/11/2012;""10"";""7"";""15"";""9"";""90"";""8"";""11"";""26"";""0"";""995"";""0"";""0"";""pioggia nebbia """
"Bologna;2/11/2012;""9"";""4"";""17"";""8"";""93"";""6"";""6"";""11"";""0"";""1007"";""0"";""0"";""nebbia """
"Bologna;3/11/2012;""11"";""3"";""17"";""9"";""86"";""7"";""10"";""28"";""0"";""1014"";""0"";""0"";""pioggia nebbia """
"Bologna;4/11/2012;""12"";""11"";""14"";""11"";""97"";""2"";""8"";""19"";""0"";""1008"";""0"";""0"";""pioggia nebbia """
"Bologna;5/11/2012;""15"";""11"";""21"";""9"";""71"";""7"";""15"";""39"";""57"";""1001"";""0"";""0"";""pioggia """
"Bologna;6/11/2012;""12"";""8"";""17"";""7"";""73"";""10"";""9"";""26"";""44"";""1012"";""0"";""0"";""pioggia temporale """
"Bologna;7/11/2012;""9"";""5"";""14"";""7"";""84"";""9"";""9"";""15"";""0"";""1025"";""0"";""0"";"""""
"Bologna;8/11/2012;""9"";""5"";""15"";""5"";""77"";""8"";""8"";""15"";""0"";""1025"";""0"";""0"";"""""
"Bologna;9/11/2012;""11"";""6"";""16"";""6"";""76"";""7"";""9"";""15"";""0"";""1020"";""0"";""0"";"""""
"Bologna;10/11/2012;""11"";""9"";""13"";""9"";""90"";""4"";""9"";""24"";""0"";""1015"";""0"";""0"";""pioggia nebbia """
"Bologna;11/11/2012;""12"";""11"";""16"";""11"";""94"";""6"";""11"";""24"";""35"";""1011"";""0"";""0"";""pioggia nebbia """
"Bologna;12/11/2012;""11"";""9"";""13"";""10"";""93"";""7"";""8"";""15"";""0"";""1020"";""0"";""0"";""pioggia nebbia """
"Bologna;13/11/2012;""13"";""11"";""14"";""12"";""97"";""4"";""6"";""11"";""0"";""1027"";""0"";""0"";""nebbia """
"Bologna;14/11/2012;""11"";""8"";""14"";""9"";""88"";""8"";""6"";""13"";""0"";""1027"";""0"";""0"";""pioggia """
"Bologna;15/11/2012;""8"";""5"";""12"";""6"";""84"";""9"";""5"";""11"";""0"";""1023"";""0"";""0"";""nebbia """
"Bologna;16/11/2012;""8"";""3"";""11"";""5"";""83"";""8"";""6"";""11"";""0"";""1022"";""0"";""0"";"""""
"Bologna;17/11/2012;""9"";""8"";""10"";""6"";""85"";""4"";""6"";""9"";""0"";""1019"";""0"";""0"";"""""
"Bologna;18/11/2012;""9"";""8"";""9"";""6"";""84"";""4"";""7"";""11"";""0"";""1016"";""0"";""0"";"""""
"Bologna;19/11/2012;""9"";""8"";""10"";""7"";""87"";""3"";""11"";""17"";""0"";""1016"";""0"";""0"";""pioggia """
"Bologna;20/11/2012;""11"";""9"";""14"";""8"";""86"";""6"";""9"";""15"";""0"";""1017"";""0"";""0"";""pioggia """
"Bologna;21/11/2012;""9"";""5"";""14"";""6"";""87"";""9"";""7"";""13"";""0"";""1020"";""0"";""0"";""nebbia """
"Bologna;22/11/2012;""9"";""5"";""12"";""7"";""88"";""7"";""8"";""15"";""0"";""1023"";""0"";""0"";""pioggia """
"Bologna;23/11/2012;""10"";""8"";""14"";""9"";""89"";""5"";""7"";""15"";""0"";""1023"";""0"";""0"";""pioggia """
"Bologna;24/11/2012;""10"";""7"";""15"";""8"";""89"";""6"";""6"";""11"";""0"";""1024"";""0"";""0"";""nebbia """
"Bologna;25/11/2012;""11"";""7"";""12"";""9"";""91"";""3"";""5"";""9"";""0"";""1022"";""0"";""0"";""nebbia """
"Bologna;26/11/2012;""11"";""9"";""13"";""10"";""96"";""1"";""5"";""11"";""0"";""1017"";""0"";""0"";""nebbia """
"Bologna;27/11/2012;""13"";""9"";""16"";""11"";""89"";""8"";""13"";""24"";""0"";""1007"";""0"";""0"";""pioggia nebbia """
"Bologna;28/11/2012;""12"";""10"";""13"";""11"";""94"";""7"";""14"";""26"";""0"";""994"";""0"";""0"";""pioggia """
"Bologna;29/11/2012;""10"";""6"";""14"";""8"";""86"";""9"";""9"";""28"";""0"";""991"";""0"";""0"";""pioggia """
"Bologna;30/11/2012;""8"";""7"";""9"";""7"";""93"";""8"";""11"";""26"";""52"";""999"";""0"";""0"";""pioggia """
