LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bologna;1/4/2013;""9"";""7"";""12"";""6"";""83"";""10"";""11"";""19"";""0"";""1004"";""0"";""0"";""pioggia """
"Bologna;2/4/2013;""8"";""6"";""10"";""6"";""90"";""8"";""11"";""22"";""41"";""1001"";""0"";""0"";""pioggia """
"Bologna;3/4/2013;""9"";""7"";""13"";""5"";""73"";""10"";""11"";""19"";""0"";""1005"";""0"";""0"";"""""
"Bologna;4/4/2013;""9"";""3"";""13"";""6"";""85"";""8"";""12"";""28"";""0"";""1006"";""0"";""0"";""pioggia """
"Bologna;5/4/2013;""9"";""8"";""10"";""8"";""97"";""5"";""18"";""35"";""57"";""1000"";""0"";""0"";""pioggia """
"Bologna;6/4/2013;""10"";""5"";""16"";""7"";""83"";""9"";""9"";""17"";""0"";""1009"";""0"";""0"";"""""
"Bologna;7/4/2013;""10"";""7"";""14"";""7"";""79"";""9"";""7"";""15"";""0"";""1011"";""0"";""0"";"""""
"Bologna;8/4/2013;""10"";""6"";""12"";""5"";""72"";""10"";""13"";""26"";""0"";""1009"";""0"";""0"";""pioggia """
"Bologna;9/4/2013;""10"";""6"";""14"";""7"";""85"";""9"";""7"";""15"";""0"";""1008"";""0"";""0"";""pioggia """
"Bologna;10/4/2013;""12"";""9"";""16"";""8"";""81"";""6"";""8"";""19"";""0"";""1011"";""0"";""0"";"""""
"Bologna;11/4/2013;""12"";""5"";""19"";""8"";""77"";""8"";""8"";""15"";""0"";""1013"";""0"";""0"";""nebbia """
"Bologna;12/4/2013;""17"";""12"";""22"";""8"";""56"";""10"";""18"";""33"";""48"";""1009"";""0"";""0"";"""""
"Bologna;13/4/2013;""16"";""9"";""22"";""8"";""58"";""10"";""9"";""15"";""0"";""1017"";""0"";""0"";"""""
"Bologna;14/4/2013;""16"";""9"";""22"";""9"";""62"";""0"";""9"";""17"";""0"";""1026"";""0"";""0"";"""""
"Bologna;15/4/2013;""17"";""11"";""23"";""10"";""65"";""10"";""11"";""17"";""0"";""1022"";""0"";""0"";"""""
"Bologna;16/4/2013;""16"";""10"";""23"";""9"";""67"";""8"";""8"";""19"";""0"";""1021"";""0"";""0"";""nebbia """
"Bologna;17/4/2013;""17"";""10"";""24"";""9"";""63"";""0"";""8"";""15"";""0"";""1023"";""0"";""0"";"""""
"Bologna;18/4/2013;""19"";""13"";""27"";""11"";""59"";""0"";""7"";""13"";""0"";""1019"";""0"";""0"";"""""
"Bologna;19/4/2013;""20"";""14"";""26"";""11"";""57"";""0"";""15"";""33"";""0"";""1013"";""0"";""0"";"""""
"Bologna;20/4/2013;""16"";""13"";""20"";""12"";""78"";""8"";""12"";""24"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Bologna;21/4/2013;""14"";""12"";""17"";""12"";""85"";""8"";""9"";""19"";""0"";""1014"";""0"";""0"";""pioggia """
"Bologna;22/4/2013;""12"";""9"";""16"";""9"";""84"";""9"";""9"";""28"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Bologna;23/4/2013;""13"";""8"";""18"";""9"";""78"";""9"";""8"";""15"";""0"";""1021"";""0"";""0"";""pioggia """
"Bologna;24/4/2013;""15"";""9"";""21"";""9"";""72"";""10"";""8"";""15"";""0"";""1028"";""0"";""0"";"""""
"Bologna;25/4/2013;""17"";""11"";""23"";""10"";""65"";""0"";""10"";""15"";""0"";""1025"";""0"";""0"";"""""
"Bologna;26/4/2013;""17"";""13"";""21"";""12"";""71"";""10"";""7"";""15"";""0"";""1017"";""0"";""0"";""pioggia """
"Bologna;27/4/2013;""17"";""16"";""18"";""12"";""73"";""10"";""12"";""37"";""0"";""1006"";""0"";""0"";""pioggia """
"Bologna;28/4/2013;""19"";""14"";""24"";""12"";""68"";""10"";""14"";""26"";""0"";""1011"";""0"";""0"";"""""
"Bologna;29/4/2013;""17"";""14"";""21"";""15"";""85"";""8"";""10"";""19"";""0"";""1017"";""0"";""0"";""pioggia """
"Bologna;30/4/2013;""18"";""15"";""22"";""15"";""85"";""7"";""10"";""19"";""0"";""1018"";""0"";""0"";""pioggia """
