LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bologna;1/1/2013;""3"";""-1"";""9"";""1"";""79"";""7"";""8"";""15"";""0"";""1018"";""0"";""0"";"""""
"Bologna;2/1/2013;""3"";""2"";""4"";""3"";""95"";""2"";""10"";""15"";""0"";""1022"";""0"";""0"";""pioggia nebbia """
"Bologna;3/1/2013;""6"";""3"";""10"";""4"";""89"";""6"";""10"";""15"";""0"";""1034"";""0"";""0"";"""""
"Bologna;4/1/2013;""5"";""1"";""10"";""3"";""87"";""7"";""8"";""15"";""0"";""1029"";""0"";""0"";"""""
"Bologna;5/1/2013;""8"";""3"";""14"";""3"";""76"";""10"";""7"";""15"";""0"";""1021"";""0"";""0"";"""""
"Bologna;6/1/2013;""5"";""0"";""10"";""3"";""89"";""5"";""6"";""15"";""0"";""1020"";""0"";""0"";""nebbia """
"Bologna;7/1/2013;""3"";""-2"";""10"";""3"";""93"";""4"";""6"";""15"";""0"";""1021"";""0"";""0"";""nebbia """
"Bologna;8/1/2013;""4"";""2"";""6"";""4"";""96"";""2"";""9"";""15"";""0"";""1026"";""0"";""0"";""nebbia """
"Bologna;9/1/2013;""5"";""3"";""7"";""4"";""89"";""4"";""7"";""9"";""0"";""1023"";""0"";""0"";""nebbia """
"Bologna;10/1/2013;""5"";""2"";""8"";""4"";""89"";""5"";""6"";""11"";""0"";""1014"";""0"";""0"";"""""
"Bologna;11/1/2013;""4"";""3"";""5"";""4"";""98"";""2"";""7"";""13"";""0"";""1010"";""0"";""0"";""nebbia """
"Bologna;12/1/2013;""4"";""3"";""5"";""3"";""97"";""2"";""5"";""11"";""0"";""1016"";""0"";""0"";""nebbia """
"Bologna;13/1/2013;""3"";""0"";""5"";""3"";""94"";""2"";""8"";""19"";""0"";""1012"";""0"";""0"";""pioggia neve """
"Bologna;14/1/2013;""2"";""0"";""4"";""2"";""95"";""6"";""11"";""19"";""0"";""1009"";""0"";""0"";""pioggia neve """
"Bologna;15/1/2013;""2"";""-1"";""4"";""2"";""96"";""3"";""5"";""15"";""0"";""1007"";""0"";""0"";""pioggia neve nebbia """
"Bologna;16/1/2013;""1"";""0"";""3"";""1"";""97"";""4"";""18"";""26"";""0"";""998"";""0"";""0"";""pioggia neve nebbia """
"Bologna;17/1/2013;""1"";""0"";""1"";""1"";""96"";""4"";""13"";""20"";""0"";""999"";""0"";""0"";""pioggia neve nebbia """
"Bologna;18/1/2013;""3"";""1"";""5"";""0"";""73"";""10"";""13"";""20"";""0"";""1001"";""0"";""0"";"""""
"Bologna;19/1/2013;""1"";""-1"";""4"";""1"";""86"";""5"";""9"";""15"";""0"";""1000"";""0"";""0"";""pioggia neve """
"Bologna;20/1/2013;""2"";""1"";""3"";""1"";""97"";""3"";""10"";""15"";""0"";""998"";""0"";""0"";""pioggia nebbia """
"Bologna;21/1/2013;""3"";""1"";""6"";""2"";""93"";""7"";""11"";""22"";""0"";""995"";""0"";""0"";""pioggia """
"Bologna;22/1/2013;""3"";""0"";""6"";""2"";""93"";""9"";""7"";""15"";""0"";""0"";""0"";""0"";"""""
"Bologna;23/1/2013;""3"";""-2"";""6"";""3"";""93"";""5"";""8"";""15"";""0"";""0"";""0"";""0"";"""""
"Bologna;24/1/2013;""5"";""4"";""6"";""3"";""90"";""6"";""15"";""22"";""0"";""0"";""0"";""0"";""pioggia """
"Bologna;25/1/2013;""4"";""0"";""8"";""3"";""81"";""9"";""10"";""20"";""0"";""1007"";""0"";""0"";""pioggia """
"Bologna;26/1/2013;""2"";""-1"";""6"";""0"";""81"";""10"";""5"";""11"";""0"";""1011"";""0"";""0"";"""""
"Bologna;27/1/2013;""2"";""-3"";""6"";""0"";""79"";""8"";""7"";""13"";""0"";""1014"";""0"";""0"";"""""
"Bologna;28/1/2013;""1"";""0"";""3"";""1"";""93"";""3"";""8"";""15"";""0"";""1015"";""0"";""0"";""pioggia neve nebbia """
"Bologna;29/1/2013;""1"";""-1"";""3"";""1"";""95"";""1"";""10"";""19"";""0"";""1023"";""0"";""0"";""nebbia """
"Bologna;30/1/2013;""2"";""-1"";""4"";""3"";""98"";""1"";""5"";""9"";""0"";""1021"";""0"";""0"";""nebbia """
"Bologna;31/1/2013;""3"";""1"";""5"";""3"";""98"";""1"";""7"";""15"";""0"";""1020"";""0"";""0"";""nebbia """
