LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bologna;1/10/2013;""17"";""12"";""21"";""11"";""71"";""10"";""8"";""15"";""0"";""1008"";""0"";""0"";"""""
"Bologna;2/10/2013;""18"";""13"";""22"";""13"";""72"";""10"";""10"";""22"";""0"";""1015"";""0"";""0"";"""""
"Bologna;3/10/2013;""14"";""9"";""19"";""10"";""74"";""10"";""12"";""26"";""0"";""1024"";""0"";""0"";""nebbia """
"Bologna;4/10/2013;""14"";""12"";""17"";""9"";""73"";""10"";""8"";""13"";""0"";""1026"";""0"";""0"";""pioggia """
"Bologna;5/10/2013;""11"";""10"";""13"";""10"";""92"";""4"";""8"";""32"";""52"";""1022"";""0"";""0"";""pioggia """
"Bologna;6/10/2013;""13"";""12"";""14"";""12"";""95"";""3"";""13"";""17"";""0"";""1020"";""0"";""0"";""pioggia """
"Bologna;7/10/2013;""15"";""14"";""16"";""14"";""97"";""3"";""9"";""15"";""0"";""1021"";""0"";""0"";""pioggia """
"Bologna;8/10/2013;""14"";""13"";""14"";""13"";""95"";""3"";""8"";""13"";""0"";""1022"";""0"";""0"";""pioggia """
"Bologna;9/10/2013;""15"";""14"";""18"";""13"";""90"";""4"";""6"";""9"";""0"";""1019"";""0"";""0"";""nebbia """
"Bologna;10/10/2013;""18"";""14"";""23"";""12"";""69"";""9"";""15"";""28"";""0"";""1008"";""0"";""0"";"""""
"Bologna;11/10/2013;""13"";""8"";""19"";""7"";""67"";""10"";""12"";""30"";""46"";""1010"";""0"";""0"";"""""
"Bologna;12/10/2013;""14"";""11"";""19"";""9"";""73"";""10"";""9"";""15"";""0"";""1016"";""0"";""0"";"""""
"Bologna;13/10/2013;""14"";""8"";""20"";""7"";""68"";""10"";""8"";""19"";""0"";""1021"";""0"";""0"";"""""
"Bologna;14/10/2013;""13"";""11"";""14"";""11"";""86"";""7"";""6"";""13"";""0"";""1021"";""0"";""0"";""pioggia """
"Bologna;15/10/2013;""14"";""11"";""17"";""12"";""87"";""5"";""5"";""11"";""0"";""1016"";""0"";""0"";""nebbia """
"Bologna;16/10/2013;""16"";""13"";""22"";""11"";""74"";""4"";""10"";""22"";""0"";""1009"";""0"";""0"";"""""
"Bologna;17/10/2013;""15"";""10"";""21"";""10"";""72"";""8"";""7"";""19"";""0"";""1014"";""0"";""0"";"""""
"Bologna;18/10/2013;""14"";""10"";""18"";""11"";""85"";""5"";""7"";""15"";""0"";""1017"";""0"";""0"";""nebbia """
"Bologna;19/10/2013;""15"";""13"";""17"";""13"";""89"";""3"";""4"";""7"";""0"";""1022"";""0"";""0"";"""""
"Bologna;20/10/2013;""17"";""15"";""18"";""15"";""89"";""3"";""8"";""20"";""0"";""1023"";""0"";""0"";""pioggia temporale """
"Bologna;21/10/2013;""16"";""15"";""17"";""15"";""95"";""2"";""5"";""9"";""0"";""1023"";""0"";""0"";""pioggia temporale nebbia """
"Bologna;22/10/2013;""16"";""16"";""17"";""15"";""93"";""3"";""5"";""9"";""0"";""1021"";""0"";""0"";""nebbia """
"Bologna;23/10/2013;""19"";""15"";""22"";""15"";""82"";""5"";""13"";""22"";""0"";""1018"";""0"";""0"";""nebbia """
"Bologna;24/10/2013;""19"";""17"";""22"";""16"";""86"";""9"";""9"";""28"";""0"";""1019"";""0"";""0"";""pioggia """
"Bologna;25/10/2013;""18"";""16"";""20"";""16"";""91"";""5"";""5"";""9"";""0"";""1022"";""0"";""0"";""nebbia """
"Bologna;26/10/2013;""18"";""17"";""21"";""16"";""89"";""4"";""6"";""11"";""0"";""1022"";""0"";""0"";"""""
"Bologna;27/10/2013;""19"";""16"";""23"";""16"";""86"";""5"";""9"";""17"";""0"";""1020"";""0"";""0"";""nebbia """
"Bologna;28/10/2013;""17"";""13"";""22"";""16"";""91"";""4"";""6"";""15"";""0"";""1016"";""0"";""0"";""nebbia """
"Bologna;29/10/2013;""20"";""16"";""24"";""15"";""72"";""9"";""12"";""28"";""54"";""1014"";""0"";""0"";"""""
"Bologna;30/10/2013;""16"";""13"";""19"";""15"";""92"";""4"";""7"";""13"";""0"";""1017"";""0"";""0"";""nebbia """
"Bologna;31/10/2013;""15"";""11"";""19"";""11"";""77"";""11"";""7"";""17"";""0"";""1023"";""0"";""0"";"""""
