LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bologna;1/3/2014;""8"";""6"";""12"";""5"";""80"";""12"";""10"";""19"";""0"";""998"";""0"";""0"";""pioggia """
"Bologna;2/3/2014;""7"";""4"";""10"";""5"";""88"";""10"";""11"";""20"";""0"";""999"";""0"";""0"";""pioggia """
"Bologna;3/3/2014;""9"";""4"";""14"";""5"";""75"";""11"";""13"";""22"";""0"";""997"";""0"";""0"";""pioggia """
"Bologna;4/3/2014;""8"";""7"";""9"";""7"";""91"";""8"";""14"";""24"";""0"";""995"";""0"";""0"";""pioggia """
"Bologna;5/3/2014;""10"";""7"";""14"";""6"";""78"";""10"";""9"";""19"";""0"";""1010"";""0"";""0"";""pioggia """
"Bologna;6/3/2014;""10"";""5"";""16"";""5"";""68"";""11"";""8"";""24"";""0"";""1019"";""0"";""0"";""pioggia """
"Bologna;7/3/2014;""11"";""5"";""16"";""4"";""65"";""12"";""8"";""15"";""0"";""1022"";""0"";""0"";"""""
"Bologna;8/3/2014;""10"";""5"";""15"";""3"";""66"";""12"";""9"";""24"";""0"";""1027"";""0"";""0"";"""""
"Bologna;9/3/2014;""9"";""3"";""16"";""3"";""62"";""13"";""8"";""15"";""0"";""1029"";""0"";""0"";"""""
"Bologna;10/3/2014;""9"";""3"";""15"";""3"";""66"";""10"";""10"";""22"";""0"";""1022"";""0"";""0"";"""""
"Bologna;11/3/2014;""8"";""4"";""14"";""3"";""67"";""11"";""8"";""17"";""0"";""1024"";""0"";""0"";"""""
"Bologna;12/3/2014;""9"";""2"";""17"";""2"";""54"";""21"";""9"";""19"";""0"";""1029"";""0"";""0"";"""""
"Bologna;13/3/2014;""11"";""6"";""18"";""2"";""50"";""16"";""10"";""19"";""0"";""1027"";""0"";""0"";"""""
"Bologna;14/3/2014;""12"";""6"";""18"";""3"";""55"";""8"";""9"";""19"";""0"";""1024"";""0"";""0"";"""""
"Bologna;15/3/2014;""13"";""6"";""20"";""3"";""53"";""8"";""10"";""17"";""0"";""1016"";""0"";""0"";"""""
"Bologna;16/3/2014;""12"";""7"";""18"";""8"";""80"";""3"";""7"";""11"";""0"";""1015"";""0"";""0"";"""""
"Bologna;17/3/2014;""13"";""4"";""22"";""7"";""73"";""7"";""6"";""15"";""0"";""1017"";""0"";""0"";""nebbia """
"Bologna;18/3/2014;""11"";""8"";""16"";""10"";""94"";""1"";""6"";""9"";""0"";""1018"";""0"";""0"";""nebbia """
"Bologna;19/3/2014;""14"";""7"";""21"";""8"";""71"";""7"";""7"";""15"";""0"";""1019"";""0"";""0"";"""""
"Bologna;20/3/2014;""13"";""9"";""19"";""10"";""86"";""4"";""9"";""20"";""0"";""1024"";""0"";""0"";""nebbia """
"Bologna;21/3/2014;""14"";""8"";""19"";""10"";""81"";""3"";""7"";""15"";""0"";""1019"";""0"";""0"";"""""
"Bologna;22/3/2014;""14"";""5"";""19"";""8"";""69"";""11"";""11"";""28"";""46"";""1012"";""0"";""0"";""nebbia """
"Bologna;23/3/2014;""13"";""7"";""18"";""6"";""60"";""14"";""18"";""37"";""57"";""1001"";""0"";""0"";""pioggia """
"Bologna;24/3/2014;""8"";""5"";""11"";""3"";""72"";""13"";""15"";""28"";""0"";""1006"";""0"";""0"";""pioggia """
"Bologna;25/3/2014;""8"";""2"";""13"";""3"";""67"";""17"";""13"";""26"";""0"";""1008"";""0"";""0"";"""""
"Bologna;26/3/2014;""8"";""6"";""11"";""6"";""87"";""10"";""8"";""19"";""0"";""1009"";""0"";""0"";""pioggia """
"Bologna;27/3/2014;""11"";""8"";""15"";""6"";""73"";""11"";""12"";""24"";""0"";""1008"";""0"";""0"";""pioggia """
"Bologna;28/3/2014;""13"";""8"";""18"";""6"";""65"";""10"";""10"";""17"";""0"";""1015"";""0"";""0"";"""""
"Bologna;29/3/2014;""13"";""6"";""20"";""5"";""60"";""21"";""11"";""19"";""0"";""1021"";""0"";""0"";"""""
"Bologna;30/3/2014;""14"";""7"";""20"";""5"";""57"";""25"";""9"";""15"";""0"";""1018"";""0"";""0"";"""""
"Bologna;31/3/2014;""16"";""9"";""22"";""6"";""53"";""23"";""12"";""20"";""0"";""1014"";""0"";""0"";"""""
