LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bologna;1/7/2017;""23"";""13"";""28"";""10"";""45"";""19"";""10"";""22"";""0"";""1012"";""0"";""0"";"""""
"Bologna;2/7/2017;""22"";""14"";""29"";""12"";""52"";""22"";""11"";""21"";""0"";""1015"";""0"";""0"";"""""
"Bologna;3/7/2017;""26"";""19"";""33"";""11"";""40"";""19"";""13"";""24"";""0"";""1018"";""0"";""0"";"""""
"Bologna;4/7/2017;""25"";""17"";""32"";""14"";""53"";""19"";""10"";""21"";""0"";""1019"";""0"";""0"";"""""
"Bologna;5/7/2017;""26"";""19"";""34"";""15"";""52"";""20"";""9"";""18"";""0"";""1018"";""0"";""0"";"""""
"Bologna;6/7/2017;""28"";""20"";""35"";""14"";""43"";""19"";""10"";""17"";""0"";""1018"";""0"";""0"";"""""
"Bologna;7/7/2017;""30"";""22"";""36"";""12"";""35"";""21"";""11"";""17"";""0"";""1017"";""0"";""0"";"""""
"Bologna;8/7/2017;""29"";""22"";""37"";""16"";""44"";""20"";""9"";""15"";""0"";""1015"";""0"";""0"";"""""
"Bologna;9/7/2017;""29"";""23"";""35"";""18"";""50"";""21"";""12"";""22"";""0"";""1014"";""0"";""0"";"""""
"Bologna;10/7/2017;""30"";""25"";""35"";""13"";""35"";""20"";""14"";""26"";""0"";""1011"";""0"";""0"";"""""
"Bologna;11/7/2017;""26"";""20"";""34"";""17"";""59"";""20"";""8"";""18"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Bologna;12/7/2017;""26"";""20"";""32"";""18"";""62"";""19"";""8"";""15"";""0"";""1013"";""0"";""0"";"""""
"Bologna;13/7/2017;""28"";""24"";""33"";""19"";""57"";""21"";""13"";""22"";""0"";""1012"";""0"";""0"";"""""
"Bologna;14/7/2017;""25"";""21"";""28"";""17"";""64"";""20"";""11"";""31"";""0"";""1013"";""0"";""0"";""pioggia """
"Bologna;15/7/2017;""25"";""18"";""30"";""14"";""54"";""20"";""10"";""22"";""0"";""1015"";""0"";""0"";"""""
"Bologna;16/7/2017;""23"";""17"";""28"";""10"";""47"";""22"";""11"";""21"";""0"";""1021"";""0"";""0"";"""""
"Bologna;17/7/2017;""23"";""16"";""30"";""9"";""41"";""21"";""10"";""15"";""0"";""1021"";""0"";""0"";"""""
"Bologna;18/7/2017;""26"";""17"";""32"";""10"";""38"";""20"";""12"";""17"";""0"";""1019"";""0"";""0"";"""""
"Bologna;19/7/2017;""28"";""19"";""37"";""12"";""40"";""20"";""10"";""21"";""0"";""1017"";""0"";""0"";"""""
"Bologna;20/7/2017;""28"";""22"";""33"";""12"";""38"";""20"";""10"";""17"";""0"";""1013"";""0"";""0"";"""""
"Bologna;21/7/2017;""27"";""21"";""34"";""16"";""50"";""21"";""12"";""22"";""0"";""1013"";""0"";""0"";"""""
"Bologna;22/7/2017;""29"";""23"";""35"";""16"";""46"";""20"";""11"";""18"";""0"";""1014"";""0"";""0"";"""""
"Bologna;23/7/2017;""29"";""22"";""35"";""16"";""46"";""20"";""10"";""18"";""0"";""1014"";""0"";""0"";"""""
"Bologna;24/7/2017;""27"";""22"";""34"";""16"";""51"";""22"";""12"";""30"";""0"";""1005"";""0"";""0"";""pioggia """
"Bologna;25/7/2017;""25"";""18"";""31"";""12"";""50"";""21"";""12"";""26"";""0"";""1004"";""0"";""0"";"""""
"Bologna;26/7/2017;""24"";""15"";""31"";""9"";""44"";""21"";""13"";""26"";""0"";""1005"";""0"";""0"";"""""
"Bologna;27/7/2017;""25"";""17"";""33"";""11"";""44"";""21"";""10"";""21"";""0"";""1009"";""0"";""0"";"""""
"Bologna;28/7/2017;""27"";""18"";""33"";""13"";""42"";""21"";""11"";""21"";""0"";""1011"";""0"";""0"";"""""
"Bologna;29/7/2017;""27"";""21"";""33"";""17"";""55"";""20"";""10"";""18"";""0"";""1015"";""0"";""0"";"""""
"Bologna;30/7/2017;""27"";""21"";""34"";""18"";""61"";""20"";""11"";""22"";""0"";""1015"";""0"";""0"";"""""
"Bologna;31/7/2017;""28"";""22"";""35"";""19"";""59"";""19"";""10"";""21"";""0"";""1016"";""0"";""0"";"""""
