LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bologna;1/9/2017;""26"";""20"";""32"";""14"";""51"";""19"";""15"";""31"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Bologna;2/9/2017;""18"";""14"";""25"";""12"";""71"";""20"";""12"";""30"";""0"";""1008"";""0"";""0"";""pioggia temporale """
"Bologna;3/9/2017;""19"";""13"";""25"";""9"";""56"";""21"";""13"";""26"";""0"";""1011"";""0"";""0"";""pioggia """
"Bologna;4/9/2017;""20"";""13"";""27"";""9"";""48"";""19"";""8"";""13"";""0"";""1015"";""0"";""0"";"""""
"Bologna;5/9/2017;""22"";""16"";""29"";""11"";""51"";""20"";""9"";""18"";""0"";""1018"";""0"";""0"";"""""
"Bologna;6/9/2017;""23"";""17"";""29"";""13"";""54"";""19"";""11"";""22"";""0"";""1016"";""0"";""0"";"""""
"Bologna;7/9/2017;""23"";""17"";""29"";""15"";""62"";""19"";""11"";""22"";""0"";""1011"";""0"";""0"";""pioggia temporale """
"Bologna;8/9/2017;""20"";""16"";""25"";""15"";""74"";""20"";""9"";""18"";""0"";""1012"";""0"";""0"";"""""
"Bologna;9/9/2017;""22"";""15"";""29"";""14"";""65"";""18"";""12"";""31"";""0"";""1005"";""0"";""0"";""pioggia temporale """
"Bologna;10/9/2017;""19"";""17"";""21"";""17"";""89"";""16"";""15"";""26"";""0"";""1002"";""0"";""0"";""pioggia temporale """
"Bologna;11/9/2017;""18"";""17"";""21"";""16"";""88"";""9"";""12"";""18"";""0"";""1002"";""0"";""0"";""pioggia """
"Bologna;12/9/2017;""18"";""14"";""23"";""14"";""77"";""20"";""12"";""30"";""0"";""1006"";""0"";""0"";"""""
"Bologna;13/9/2017;""18"";""12"";""25"";""13"";""71"";""19"";""6"";""13"";""0"";""1017"";""0"";""0"";"""""
"Bologna;14/9/2017;""21"";""14"";""29"";""13"";""62"";""22"";""13"";""31"";""0"";""1012"";""0"";""0"";"""""
"Bologna;15/9/2017;""19"";""15"";""22"";""14"";""77"";""18"";""8"";""17"";""0"";""1011"";""0"";""0"";""pioggia """
"Bologna;16/9/2017;""16"";""15"";""19"";""14"";""88"";""10"";""6"";""11"";""0"";""1010"";""0"";""0"";""pioggia """
"Bologna;17/9/2017;""18"";""12"";""25"";""9"";""56"";""20"";""13"";""31"";""0"";""1011"";""0"";""0"";"""""
"Bologna;18/9/2017;""16"";""12"";""20"";""11"";""75"";""18"";""6"";""11"";""0"";""1014"";""0"";""0"";""pioggia """
"Bologna;19/9/2017;""14"";""12"";""18"";""10"";""80"";""12"";""11"";""24"";""0"";""1012"";""0"";""0"";""pioggia """
"Bologna;20/9/2017;""16"";""12"";""23"";""7"";""56"";""21"";""12"";""21"";""0"";""1015"";""0"";""0"";""pioggia """
"Bologna;21/9/2017;""16"";""10"";""23"";""8"";""60"";""20"";""9"";""17"";""0"";""1018"";""0"";""0"";"""""
"Bologna;22/9/2017;""18"";""11"";""24"";""9"";""59"";""20"";""9"";""17"";""0"";""1019"";""0"";""0"";"""""
"Bologna;23/9/2017;""18"";""13"";""24"";""11"";""66"";""21"";""8"";""13"";""0"";""1020"";""0"";""0"";"""""
"Bologna;24/9/2017;""16"";""14"";""19"";""13"";""78"";""20"";""9"";""15"";""0"";""1018"";""0"";""0"";""pioggia temporale """
"Bologna;25/9/2017;""16"";""11"";""22"";""12"";""77"";""21"";""8"";""18"";""0"";""1019"";""0"";""0"";"""""
"Bologna;26/9/2017;""16"";""11"";""21"";""11"";""76"";""21"";""7"";""11"";""0"";""1021"";""0"";""0"";"""""
"Bologna;27/9/2017;""18"";""12"";""23"";""12"";""70"";""18"";""8"";""13"";""0"";""1023"";""0"";""0"";"""""
"Bologna;28/9/2017;""17"";""13"";""24"";""11"";""69"";""19"";""7"";""13"";""0"";""1025"";""0"";""0"";"""""
"Bologna;29/9/2017;""17"";""12"";""23"";""10"";""68"";""19"";""7"";""11"";""0"";""1024"";""0"";""0"";"""""
"Bologna;30/9/2017;""17"";""11"";""22"";""10"";""65"";""18"";""8"";""15"";""0"";""1020"";""0"";""0"";"""""
