LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bologna;1/5/2018;""15"";""12"";""19"";""8"";""64"";""18"";""7"";""17"";""0"";""1012"";""0"";""0"";""pioggia """
"Bologna;2/5/2018;""14"";""12"";""17"";""13"";""92"";""12"";""10"";""21"";""0"";""1009"";""0"";""0"";""pioggia """
"Bologna;3/5/2018;""15"";""12"";""18"";""13"";""88"";""14"";""10"";""17"";""0"";""1005"";""0"";""0"";""pioggia """
"Bologna;4/5/2018;""18"";""15"";""22"";""14"";""81"";""15"";""14"";""31"";""0"";""1009"";""0"";""0"";""pioggia """
"Bologna;5/5/2018;""18"";""14"";""23"";""15"";""82"";""19"";""10"";""18"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Bologna;6/5/2018;""21"";""16"";""26"";""15"";""73"";""21"";""9"";""17"";""0"";""1016"";""0"";""0"";"""""
"Bologna;7/5/2018;""20"";""14"";""25"";""15"";""72"";""19"";""8"";""15"";""0"";""1014"";""0"";""0"";""pioggia """
"Bologna;8/5/2018;""20"";""15"";""25"";""14"";""71"";""20"";""9"";""18"";""0"";""1008"";""0"";""0"";""pioggia temporale """
"Bologna;9/5/2018;""18"";""15"";""20"";""14"";""81"";""17"";""8"";""17"";""0"";""1007"";""0"";""0"";"""""
"Bologna;10/5/2018;""18"";""14"";""23"";""14"";""78"";""17"";""9"";""17"";""0"";""1010"";""0"";""0"";""pioggia """
"Bologna;11/5/2018;""20"";""15"";""26"";""14"";""70"";""22"";""9"";""17"";""0"";""1014"";""0"";""0"";""pioggia """
"Bologna;12/5/2018;""19"";""15"";""26"";""14"";""73"";""21"";""9"";""21"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Bologna;13/5/2018;""20"";""13"";""26"";""11"";""59"";""19"";""13"";""30"";""0"";""1010"";""0"";""0"";"""""
"Bologna;14/5/2018;""16"";""14"";""20"";""11"";""70"";""21"";""9"";""17"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Bologna;15/5/2018;""15"";""10"";""20"";""8"";""63"";""20"";""10"";""18"";""0"";""1010"";""0"";""0"";"""""
"Bologna;16/5/2018;""16"";""10"";""23"";""10"";""70"";""19"";""8"";""21"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Bologna;17/5/2018;""16"";""11"";""22"";""11"";""74"";""20"";""11"";""22"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Bologna;18/5/2018;""18"";""12"";""25"";""11"";""67"";""19"";""7"";""13"";""0"";""1016"";""0"";""0"";"""""
"Bologna;19/5/2018;""20"";""12"";""25"";""12"";""63"";""20"";""8"";""13"";""0"";""1016"";""0"";""0"";"""""
"Bologna;20/5/2018;""19"";""13"";""26"";""13"";""67"";""21"";""10"";""24"";""0"";""1016"";""0"";""0"";"""""
"Bologna;21/5/2018;""19"";""16"";""25"";""14"";""72"";""20"";""10"";""21"";""0"";""1014"";""0"";""0"";"""""
"Bologna;22/5/2018;""18"";""15"";""21"";""16"";""87"";""14"";""9"";""15"";""0"";""1013"";""0"";""0"";""pioggia """
"Bologna;23/5/2018;""19"";""15"";""23"";""16"";""83"";""12"";""8"";""13"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Bologna;24/5/2018;""21"";""15"";""27"";""15"";""70"";""19"";""9"";""17"";""0"";""1017"";""0"";""0"";"""""
"Bologna;25/5/2018;""23"";""16"";""28"";""17"";""68"";""21"";""7"";""13"";""0"";""1017"";""0"";""0"";"""""
"Bologna;26/5/2018;""24"";""17"";""29"";""17"";""67"";""20"";""9"";""17"";""0"";""1018"";""0"";""0"";"""""
"Bologna;27/5/2018;""24"";""19"";""30"";""17"";""67"";""19"";""11"";""18"";""0"";""1018"";""0"";""0"";"""""
"Bologna;28/5/2018;""23"";""18"";""28"";""18"";""77"";""16"";""8"";""18"";""0"";""1018"";""0"";""0"";""pioggia """
"Bologna;29/5/2018;""22"";""19"";""28"";""18"";""80"";""14"";""9"";""24"";""0"";""1017"";""0"";""0"";""pioggia temporale """
"Bologna;30/5/2018;""23"";""18"";""27"";""19"";""81"";""15"";""6"";""15"";""0"";""1016"";""0"";""0"";""pioggia """
"Bologna;31/5/2018;""23"";""19"";""28"";""18"";""75"";""17"";""9"";""28"";""0"";""1016"";""0"";""0"";"""""
