LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bologna;1/2/2019;""1"";""1"";""2"";""1"";""97"";""2"";""10"";""17"";""0"";""999"";""0"";""0"";""pioggia neve nebbia """
"Bologna;2/2/2019;""3"";""1"";""5"";""2"";""94"";""10"";""9"";""17"";""0"";""997"";""0"";""0"";""pioggia """
"Bologna;3/2/2019;""6"";""2"";""8"";""4"";""87"";""16"";""8"";""17"";""0"";""1004"";""0"";""0"";""pioggia """
"Bologna;4/2/2019;""6"";""5"";""9"";""5"";""90"";""9"";""7"";""11"";""0"";""1022"";""0"";""0"";""pioggia nebbia """
Bologna;5/2/2019;;;;;;;;;;;;;
"Bologna;6/2/2019;""6"";""2"";""11"";""0"";""64"";""23"";""8"";""15"";""0"";""1024"";""0"";""0"";"""""
"Bologna;7/2/2019;""5"";""0"";""11"";""1"";""65"";""20"";""8"";""17"";""0"";""1020"";""0"";""0"";"""""
"Bologna;8/2/2019;""6"";""1"";""12"";""1"";""66"";""17"";""8"";""15"";""0"";""1020"";""0"";""0"";"""""
"Bologna;9/2/2019;""6"";""0"";""12"";""2"";""68"";""15"";""7"";""17"";""0"";""1020"";""0"";""0"";"""""
"Bologna;10/2/2019;""8"";""4"";""12"";""5"";""82"";""6"";""6"";""15"";""0"";""1014"";""0"";""0"";"""""
"Bologna;11/2/2019;""9"";""2"";""13"";""4"";""54"";""15"";""20"";""41"";""0"";""1011"";""0"";""0"";""pioggia nebbia """
"Bologna;12/2/2019;""8"";""3"";""15"";""0"";""32"";""20"";""14"";""24"";""0"";""1024"";""0"";""0"";"""""
"Bologna;13/2/2019;""5"";""-3"";""13"";""0"";""53"";""20"";""5"";""13"";""0"";""1035"";""0"";""0"";"""""
"Bologna;14/2/2019;""6"";""0"";""14"";""1"";""58"";""21"";""9"";""17"";""0"";""1035"";""0"";""0"";"""""
"Bologna;15/2/2019;""7"";""1"";""14"";""1"";""62"";""17"";""8"";""13"";""0"";""1032"";""0"";""0"";"""""
"Bologna;16/2/2019;""7"";""1"";""15"";""2"";""64"";""16"";""8"";""18"";""0"";""1031"";""0"";""0"";"""""
"Bologna;17/2/2019;""8"";""2"";""16"";""2"";""60"";""12"";""9"";""17"";""0"";""1027"";""0"";""0"";"""""
"Bologna;18/2/2019;""10"";""4"";""16"";""2"";""61"";""21"";""10"";""17"";""0"";""1024"";""0"";""0"";"""""
"Bologna;19/2/2019;""9"";""3"";""14"";""2"";""65"";""20"";""9"";""15"";""0"";""1022"";""0"";""0"";"""""
"Bologna;20/2/2019;""5"";""-2"";""12"";""4"";""84"";""4"";""4"";""8"";""0"";""1025"";""0"";""0"";""nebbia """
"Bologna;21/2/2019;""8"";""3"";""15"";""3"";""74"";""7"";""6"";""11"";""0"";""1027"";""0"";""0"";"""""
"Bologna;22/2/2019;""10"";""3"";""18"";""3"";""66"";""16"";""7"";""15"";""0"";""1024"";""0"";""0"";"""""
"Bologna;23/2/2019;""6"";""0"";""9"";""3"";""43"";""19"";""19"";""33"";""0"";""1033"";""0"";""0"";"""""
"Bologna;24/2/2019;""3"";""-2"";""9"";""0"";""48"";""22"";""7"";""11"";""0"";""1036"";""0"";""0"";"""""
"Bologna;25/2/2019;""8"";""1"";""16"";""0"";""42"";""21"";""9"";""17"";""0"";""1033"";""0"";""0"";"""""
"Bologna;26/2/2019;""11"";""3"";""19"";""2"";""51"";""19"";""8"";""15"";""0"";""1028"";""0"";""0"";"""""
"Bologna;27/2/2019;""13"";""6"";""22"";""2"";""44"";""21"";""10"";""17"";""0"";""1024"";""0"";""0"";"""""
"Bologna;28/2/2019;""11"";""4"";""18"";""4"";""54"";""21"";""10"";""21"";""0"";""1018"";""0"";""0"";"""""
