LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Bologna;1/12/2020;""4"";""1"";""6"";""2"";""88"";""17"";""6"";""17"";""0"";""1016"";""0"";""0"";""pioggia """
"Bologna;2/12/2020;""2"";""0"";""5"";""2"";""98"";""2"";""15"";""24"";""0"";""1011"";""0"";""0"";""pioggia neve """
"Bologna;3/12/2020;""3"";""1"";""5"";""2"";""94"";""16"";""7"";""17"";""0"";""1008"";""0"";""0"";""pioggia neve nebbia """
"Bologna;4/12/2020;""7"";""2"";""14"";""5"";""86"";""13"";""15"";""28"";""0"";""999"";""0"";""0"";""pioggia """
"Bologna;5/12/2020;""7"";""5"";""14"";""6"";""94"";""7"";""10"";""18"";""0"";""999"";""0"";""0"";""pioggia neve temporale """
"Bologna;6/12/2020;""5"";""2"";""9"";""5"";""98"";""8"";""10"";""17"";""0"";""998"";""0"";""0"";""pioggia nebbia """
"Bologna;7/12/2020;""6"";""1"";""10"";""3"";""84"";""16"";""10"";""26"";""0"";""1003"";""0"";""0"";""pioggia nebbia """
"Bologna;8/12/2020;""5"";""4"";""6"";""5"";""95"";""8"";""11"";""17"";""0"";""1001"";""0"";""0"";""pioggia """
"Bologna;9/12/2020;""6"";""5"";""7"";""5"";""95"";""8"";""11"";""18"";""0"";""1001"";""0"";""0"";""pioggia """
"Bologna;10/12/2020;""6"";""4"";""8"";""5"";""94"";""7"";""6"";""9"";""0"";""1005"";""0"";""0"";""pioggia """
"Bologna;11/12/2020;""7"";""5"";""8"";""6"";""94"";""4"";""6"";""11"";""0"";""1005"";""0"";""0"";""pioggia nebbia """
"Bologna;12/12/2020;""6"";""5"";""6"";""5"";""96"";""3"";""8"";""11"";""0"";""1002"";""0"";""0"";""pioggia nebbia """
"Bologna;13/12/2020;""5"";""1"";""10"";""3"";""89"";""19"";""8"";""15"";""0"";""1010"";""0"";""0"";"""""
"Bologna;14/12/2020;""3"";""-1"";""9"";""3"";""92"";""9"";""5"";""9"";""0"";""1018"";""0"";""0"";""nebbia """
"Bologna;15/12/2020;""5"";""-1"";""9"";""4"";""89"";""17"";""7"";""15"";""0"";""1020"";""0"";""0"";"""""
"Bologna;16/12/2020;""7"";""4"";""10"";""5"";""88"";""13"";""5"";""11"";""0"";""1023"";""0"";""0"";""pioggia nebbia """
"Bologna;17/12/2020;""8"";""7"";""9"";""7"";""91"";""8"";""3"";""8"";""0"";""1026"";""0"";""0"";""pioggia """
"Bologna;18/12/2020;""8"";""8"";""10"";""8"";""93"";""3"";""5"";""8"";""0"";""1028"";""0"";""0"";""pioggia """
"Bologna;19/12/2020;""8"";""7"";""10"";""7"";""92"";""4"";""4"";""8"";""0"";""1026"";""0"";""0"";""pioggia """
"Bologna;20/12/2020;""8"";""7"";""9"";""7"";""94"";""3"";""4"";""8"";""0"";""1025"";""0"";""0"";""pioggia nebbia """
"Bologna;21/12/2020;""8"";""7"";""10"";""7"";""94"";""5"";""5"";""8"";""0"";""1026"";""0"";""0"";"""""
"Bologna;22/12/2020;""9"";""7"";""13"";""8"";""89"";""6"";""6"";""11"";""0"";""1025"";""0"";""0"";"""""
"Bologna;23/12/2020;""9"";""6"";""11"";""8"";""92"";""5"";""5"";""9"";""0"";""1024"";""0"";""0"";""nebbia """
"Bologna;24/12/2020;""9"";""7"";""9"";""9"";""100"";""1"";""6"";""11"";""0"";""1013"";""0"";""0"";""nebbia """
"Bologna;25/12/2020;""8"";""6"";""13"";""7"";""92"";""9"";""10"";""26"";""0"";""1008"";""0"";""0"";""pioggia nebbia """
"Bologna;26/12/2020;""5"";""0"";""8"";""3"";""88"";""19"";""10"";""21"";""0"";""1016"";""0"";""0"";""pioggia """
"Bologna;27/12/2020;""1"";""-2"";""5"";""0"";""79"";""20"";""6"";""13"";""0"";""1010"";""0"";""0"";"""""
"Bologna;28/12/2020;""3"";""-1"";""10"";""3"";""85"";""18"";""14"";""31"";""0"";""990"";""0"";""0"";""pioggia """
"Bologna;29/12/2020;""5"";""-2"";""14"";""3"";""85"";""13"";""11"";""26"";""0"";""997"";""0"";""0"";""pioggia """
"Bologna;30/12/2020;""3"";""2"";""5"";""2"";""94"";""4"";""10"";""17"";""0"";""1005"";""0"";""0"";""pioggia """
"Bologna;31/12/2020;""5"";""1"";""9"";""2"";""83"";""18"";""5"";""11"";""0"";""1010"";""0"";""0"";""pioggia """
