"DATA";"TMEDIA";"TMIN";"TMAX";"UMID"
"2010-01-01";"5";"3";"7";"97"
"2010-01-02";"5";"2";"8";"92"
"2010-01-03";"2";"-2";"6";"62"
"2010-01-04";"0";"-1";"1";"94"
"2010-01-05";"0";"-1";"0";"98"
"2010-01-06";"1";"-3";"7";"91"
"2010-01-07";"0";"-3";"2";"98"
"2010-01-08";"2";"1";"3";"99"
"2010-01-09";"5";"3";"8";"92"
"2010-01-10";"4";"0";"9";"84"
"2010-01-11";"3";"0";"7";"88"
"2010-01-12";"4";"1";"6";"87"
"2010-01-13";"3";"2";"4";"95"
"2010-01-14";"4";"1";"6";"92"
"2010-01-15";"4";"1";"6";"97"
"2010-01-16";"2";"-1";"6";"91"
"2010-01-17";"2";"1";"4";"87"
"2010-01-18";"2";"-2";"6";"82"
"2010-01-19";"-2";"-4";"-1";"98"
"2010-01-20";"-2";"-2";"-1";"99"
"2010-01-21";"-1";"-1";"-1";"100"
"2010-01-22";"-1";"-2";"1";"98"
"2010-01-23";"0";"-3";"4";"90"
"2010-01-24";"1";"-2";"3";"81"
"2010-01-25";"1";"0";"1";"82"
"2010-01-26";"0";"-1";"1";"90"
"2010-01-27";"0";"-2";"4";"83"
"2010-01-28";"-2";"-5";"3";"75"
"2010-01-29";"-2";"-6";"2";"81"
"2010-01-30";"0";"-1";"3";"88"
"2010-01-31";"-1";"-4";"1";"93"
"2010-02-01";"-2";"-6";"2";"69"
"2010-02-02";"-1";"-8";"5";"59"
"2010-02-03";"1";"-5";"6";"65"
"2010-02-04";"1";"-4";"4";"78"
"2010-02-05";"2";"1";"3";"91"
"2010-02-06";"4";"2";"6";"92"
"2010-02-07";"5";"1";"9";"84"
"2010-02-08";"2";"-2";"6";"82"
"2010-02-09";"0";"-1";"2";"93"
"2010-02-10";"0";"-1";"1";"95"
"2010-02-11";"0";"-1";"1";"98"
"2010-02-12";"0";"-1";"2";"95"
"2010-02-13";"2";"-1";"8";"77"
"2010-02-14";"1";"-3";"3";"86"
"2010-02-15";"1";"-1";"3";"94"
"2010-02-16";"3";"1";"4";"92"
"2010-02-17";"5";"3";"8";"91"
"2010-02-18";"7";"4";"12";"89"
"2010-02-19";"8";"3";"13";"95"
"2010-02-20";"8";"4";"12";"89"
"2010-02-21";"6";"1";"12";"83"
"2010-02-22";"6";"5";"8";"94"
"2010-02-23";"7";"6";"8";"97"
"2010-02-24";"8";"4";"11";"86"
"2010-02-26";"10";"5";"15";"85"
"2010-02-27";"10";"4";"16";"52"
"2010-02-28";"8";"7";"10";"85"
"2010-03-01";"9";"4";"13";"77"
"2010-03-02";"10";"6";"16";"77"
"2010-03-03";"7";"4";"9";"96"
"2010-03-04";"6";"5";"8";"91"
"2010-03-05";"4";"2";"6";"88"
"2010-03-06";"5";"-1";"9";"67"
"2010-03-07";"3";"1";"5";"80"
"2010-03-08";"1";"-3";"5";"70"
"2010-03-09";"1";"0";"3";"82"
"2010-03-10";"0";"0";"1";"99"
"2010-03-11";"1";"-1";"3";"90"
"2010-03-12";"2";"-1";"8";"81"
"2010-03-13";"4";"-3";"12";"76"
"2010-03-14";"5";"0";"12";"71"
"2010-03-15";"6";"0";"13";"72"
"2010-03-16";"9";"3";"16";"50"
"2010-03-17";"9";"3";"15";"60"
"2010-03-18";"11";"4";"16";"59"
"2010-03-19";"11";"3";"16";"64"
"2010-03-20";"12";"7";"15";"73"
"2010-03-21";"12";"10";"14";"85"
"2010-03-22";"11";"10";"12";"96"
"2010-03-23";"13";"10";"16";"90"
"2010-03-24";"12";"8";"17";"84"
"2010-03-25";"12";"5";"20";"85"
"2010-03-26";"15";"9";"20";"70"
"2010-03-27";"14";"9";"19";"54"
"2010-03-28";"15";"8";"20";"53"
"2010-03-29";"15";"7";"19";"55"
"2010-03-30";"14";"11";"19";"65"
"2010-03-31";"13";"8";"18";"61"
"2010-04-01";"12";"8";"18";"60"
"2010-04-02";"10";"5";"15";"65"
"2010-04-03";"12";"5";"18";"64"
"2010-04-04";"12";"10";"16";"68"
"2010-04-05";"11";"8";"16";"70"
"2010-04-06";"12";"6";"18";"62"
"2010-04-07";"11";"4";"18";"70"
"2010-04-08";"12";"5";"19";"67"
"2010-04-09";"13";"5";"21";"61"
"2010-04-10";"16";"10";"23";"54"
"2010-04-11";"10";"5";"13";"69"
"2010-04-12";"8";"3";"14";"71"
