LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/1/2010;""13"";""10"";""15"";""8"";""70"";""10"";""24"";""33"";""71"";""1002"";""0"";""0"";""pioggia temporale """
"Cagliari;2/1/2010;""12"";""10"";""16"";""5"";""61"";""10"";""14"";""21"";""31"";""1013"";""0"";""0"";""pioggia """
"Cagliari;3/1/2010;""9"";""5"";""14"";""2"";""63"";""12"";""5"";""10"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;4/1/2010;""9"";""4"";""15"";""7"";""83"";""9"";""5"";""8"";""0"";""1012"";""0"";""0"";"""""
"Cagliari;5/1/2010;""12"";""8"";""17"";""10"";""87"";""8"";""5"";""10"";""0"";""1001"";""0"";""0"";""pioggia """
"Cagliari;6/1/2010;""12"";""9"";""13"";""9"";""82"";""10"";""7"";""13"";""0"";""1002"";""0"";""0"";""pioggia """
"Cagliari;7/1/2010;""11"";""6"";""15"";""8"";""80"";""10"";""12"";""22"";""0"";""1005"";""0"";""0"";""pioggia nebbia """
"Cagliari;8/1/2010;""13"";""8"";""16"";""10"";""81"";""10"";""8"";""17"";""0"";""998"";""0"";""0"";""pioggia """
"Cagliari;9/1/2010;""8"";""4"";""12"";""5"";""81"";""10"";""9"";""16"";""27"";""1001"";""0"";""0"";""pioggia """
"Cagliari;10/1/2010;""6"";""3"";""9"";""3"";""86"";""10"";""6"";""15"";""29"";""1012"";""0"";""0"";""pioggia """
"Cagliari;11/1/2010;""7"";""4"";""9"";""5"";""91"";""7"";""5"";""9"";""0"";""1013"";""0"";""0"";""pioggia nebbia """
"Cagliari;12/1/2010;""8"";""4"";""12"";""4"";""80"";""8"";""6"";""12"";""0"";""1015"";""0"";""0"";""nebbia """
"Cagliari;13/1/2010;""11"";""7"";""13"";""8"";""86"";""9"";""13"";""24"";""36"";""1004"";""0"";""0"";""pioggia """
"Cagliari;14/1/2010;""10"";""5"";""13"";""7"";""86"";""9"";""9"";""18"";""0"";""1007"";""0"";""0"";""pioggia """
"Cagliari;15/1/2010;""9"";""7"";""13"";""7"";""85"";""8"";""7"";""12"";""0"";""1008"";""0"";""0"";""pioggia nebbia """
"Cagliari;16/1/2010;""9"";""5"";""14"";""6"";""82"";""10"";""7"";""14"";""0"";""1021"";""0"";""0"";"""""
"Cagliari;17/1/2010;""9"";""5"";""13"";""8"";""91"";""7"";""4"";""14"";""0"";""1021"";""0"";""0"";""pioggia """
"Cagliari;18/1/2010;""10"";""6"";""15"";""7"";""79"";""10"";""6"";""10"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;19/1/2010;""9"";""3"";""14"";""6"";""84"";""10"";""4"";""7"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;20/1/2010;""11"";""8"";""12"";""9"";""90"";""7"";""5"";""20"";""0"";""1014"";""0"";""0"";""pioggia """
"Cagliari;21/1/2010;""11"";""7"";""14"";""7"";""74"";""10"";""14"";""23"";""30"";""1015"";""0"";""0"";""pioggia """
"Cagliari;22/1/2010;""9"";""5"";""14"";""6"";""83"";""10"";""5"";""12"";""32"";""1019"";""0"";""0"";""pioggia """
"Cagliari;23/1/2010;""8"";""3"";""13"";""4"";""80"";""8"";""7"";""15"";""0"";""1020"";""0"";""0"";""nebbia """
"Cagliari;24/1/2010;""10"";""4"";""13"";""5"";""69"";""11"";""8"";""14"";""0"";""1021"";""0"";""0"";""pioggia """
"Cagliari;25/1/2010;""11"";""9"";""15"";""10"";""89"";""9"";""6"";""12"";""0"";""1018"";""0"";""0"";""pioggia """
"Cagliari;26/1/2010;""13"";""10"";""15"";""11"";""86"";""8"";""11"";""18"";""0"";""1015"";""0"";""0"";""pioggia """
"Cagliari;27/1/2010;""11"";""7"";""14"";""9"";""86"";""9"";""9"";""13"";""0"";""1010"";""0"";""0"";""pioggia """
"Cagliari;28/1/2010;""9"";""6"";""13"";""5"";""74"";""10"";""13"";""21"";""36"";""1009"";""0"";""0"";""pioggia """
"Cagliari;29/1/2010;""10"";""9"";""13"";""7"";""81"";""10"";""11"";""22"";""0"";""1001"";""0"";""0"";""pioggia """
"Cagliari;30/1/2010;""9"";""8"";""13"";""5"";""76"";""10"";""9"";""21"";""0"";""998"";""0"";""0"";""pioggia """
"Cagliari;31/1/2010;""9"";""7"";""11"";""4"";""73"";""10"";""10"";""18"";""0"";""1004"";""0"";""0"";""pioggia temporale """
