LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/4/2011;""14"";""8"";""19"";""9"";""73"";""11"";""8"";""13"";""0"";""1023"";""0"";""0"";"""""
"Cagliari;2/4/2011;""14"";""8"";""21"";""9"";""71"";""9"";""8"";""13"";""0"";""1021"";""0"";""0"";""nebbia """
"Cagliari;3/4/2011;""15"";""8"";""21"";""8"";""64"";""13"";""7"";""13"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;4/4/2011;""16"";""9"";""26"";""7"";""60"";""20"";""9"";""18"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;5/4/2011;""17"";""13"";""22"";""9"";""60"";""15"";""13"";""24"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;6/4/2011;""15"";""8"";""19"";""7"";""60"";""10"";""9"";""16"";""0"";""1024"";""0"";""0"";""nebbia """
"Cagliari;7/4/2011;""15"";""9"";""23"";""9"";""67"";""14"";""10"";""16"";""0"";""1025"";""0"";""0"";"""""
"Cagliari;8/4/2011;""17"";""10"";""25"";""6"";""52"";""12"";""13"";""22"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;9/4/2011;""18"";""9"";""27"";""5"";""45"";""19"";""11"";""16"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;10/4/2011;""17"";""12"";""23"";""11"";""69"";""9"";""9"";""15"";""0"";""1014"";""0"";""0"";""nebbia """
"Cagliari;11/4/2011;""16"";""14"";""19"";""13"";""82"";""6"";""9"";""16"";""0"";""1017"";""0"";""0"";""nebbia """
"Cagliari;12/4/2011;""17"";""13"";""23"";""13"";""76"";""8"";""10"";""17"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;13/4/2011;""16"";""12"";""19"";""7"";""54"";""11"";""16"";""25"";""35"";""1015"";""0"";""0"";"""""
"Cagliari;14/4/2011;""13"";""7"";""17"";""7"";""69"";""11"";""8"";""15"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;15/4/2011;""14"";""9"";""21"";""6"";""58"";""11"";""10"";""16"";""0"";""1008"";""0"";""0"";"""""
"Cagliari;16/4/2011;""12"";""8"";""18"";""6"";""67"";""11"";""10"";""17"";""0"";""1013"";""0"";""0"";""pioggia """
"Cagliari;17/4/2011;""13"";""6"";""19"";""6"";""66"";""12"";""10"";""21"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;18/4/2011;""13"";""6"";""19"";""6"";""65"";""11"";""8"";""14"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;19/4/2011;""14"";""6"";""19"";""6"";""59"";""12"";""10"";""23"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;20/4/2011;""16"";""13"";""20"";""7"";""54"";""11"";""11"";""20"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;21/4/2011;""16"";""15"";""17"";""10"";""68"";""10"";""23"";""29"";""43"";""1016"";""0"";""0"";""pioggia """
"Cagliari;22/4/2011;""15"";""14"";""19"";""12"";""80"";""6"";""16"";""28"";""0"";""1010"";""0"";""0"";""pioggia """
"Cagliari;23/4/2011;""16"";""15"";""17"";""14"";""86"";""5"";""11"";""18"";""0"";""1011"";""0"";""0"";""pioggia nebbia """
"Cagliari;24/4/2011;""17"";""15"";""19"";""11"";""68"";""9"";""14"";""20"";""0"";""1013"";""0"";""0"";""pioggia """
"Cagliari;25/4/2011;""16"";""14"";""17"";""8"";""62"";""9"";""11"";""17"";""0"";""1007"";""0"";""0"";""pioggia """
"Cagliari;26/4/2011;""15"";""13"";""18"";""12"";""81"";""10"";""7"";""13"";""0"";""1007"";""0"";""0"";""pioggia """
"Cagliari;27/4/2011;""16"";""11"";""22"";""11"";""74"";""8"";""9"";""18"";""0"";""1009"";""0"";""0"";""nebbia """
"Cagliari;28/4/2011;""16"";""10"";""23"";""10"";""71"";""9"";""8"";""14"";""0"";""1010"";""0"";""0"";"""""
"Cagliari;29/4/2011;""16"";""11"";""20"";""12"";""74"";""9"";""11"";""22"";""0"";""1006"";""0"";""0"";""pioggia """
"Cagliari;30/4/2011;""17"";""16"";""19"";""12"";""74"";""8"";""13"";""30"";""46"";""997"";""0"";""0"";""pioggia temporale """
