LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/12/2011;""13"";""7"";""20"";""10"";""80"";""8"";""10"";""13"";""0"";""1028"";""0"";""0"";""nebbia """
"Cagliari;2/12/2011;""13"";""8"";""19"";""10"";""81"";""7"";""10"";""20"";""0"";""1023"";""0"";""0"";""nebbia """
"Cagliari;3/12/2011;""13"";""8"";""20"";""9"";""77"";""8"";""9"";""15"";""0"";""1020"";""0"";""0"";""nebbia """
"Cagliari;4/12/2011;""15"";""11"";""18"";""10"";""75"";""10"";""13"";""24"";""0"";""1020"";""0"";""0"";""pioggia """
"Cagliari;5/12/2011;""16"";""15"";""18"";""11"";""71"";""10"";""20"";""32"";""48"";""1017"";""0"";""0"";""pioggia """
"Cagliari;6/12/2011;""15"";""14"";""18"";""9"";""66"";""10"";""17"";""35"";""0"";""1018"";""0"";""0"";""pioggia """
"Cagliari;7/12/2011;""15"";""13"";""19"";""8"";""60"";""11"";""20"";""39"";""57"";""1023"";""0"";""0"";"""""
"Cagliari;8/12/2011;""15"";""11"";""19"";""9"";""65"";""11"";""28"";""41"";""59"";""1024"";""0"";""0"";"""""
"Cagliari;9/12/2011;""13"";""8"";""19"";""9"";""77"";""11"";""10"";""17"";""0"";""1024"";""0"";""0"";""nebbia """
"Cagliari;10/12/2011;""11"";""7"";""16"";""9"";""87"";""8"";""7"";""13"";""0"";""1020"";""0"";""0"";""nebbia """
"Cagliari;11/12/2011;""13"";""10"";""18"";""11"";""84"";""7"";""6"";""13"";""0"";""1019"";""0"";""0"";""nebbia """
"Cagliari;12/12/2011;""14"";""11"";""18"";""10"";""81"";""10"";""10"";""22"";""0"";""1018"";""0"";""0"";""pioggia """
"Cagliari;13/12/2011;""13"";""9"";""17"";""8"";""71"";""10"";""12"";""22"";""0"";""1021"";""0"";""0"";"""""
"Cagliari;14/12/2011;""15"";""11"";""19"";""11"";""77"";""10"";""12"";""26"";""0"";""1021"";""0"";""0"";"""""
"Cagliari;15/12/2011;""15"";""10"";""18"";""11"";""79"";""10"";""14"";""26"";""0"";""1022"";""0"";""0"";""pioggia """
"Cagliari;16/12/2011;""14"";""8"";""18"";""9"";""70"";""11"";""18"";""44"";""67"";""1016"";""0"";""0"";""pioggia """
"Cagliari;17/12/2011;""13"";""9"";""16"";""5"";""58"";""11"";""26"";""39"";""63"";""1010"";""0"";""0"";""pioggia """
"Cagliari;18/12/2011;""9"";""8"";""13"";""3"";""64"";""10"";""16"";""37"";""57"";""1011"";""0"";""0"";""pioggia """
"Cagliari;19/12/2011;""7"";""5"";""10"";""2"";""72"";""10"";""20"";""37"";""57"";""1016"";""0"";""0"";""pioggia """
"Cagliari;20/12/2011;""7"";""3"";""12"";""4"";""79"";""9"";""9"";""37"";""0"";""1018"";""0"";""0"";""pioggia """
"Cagliari;21/12/2011;""13"";""9"";""14"";""4"";""58"";""11"";""20"";""28"";""0"";""1015"";""0"";""0"";"""""
Cagliari;22/12/2011;;;;;;;;;;;;;
"Cagliari;23/12/2011;""11"";""3"";""16"";""4"";""65"";""16"";""15"";""20"";""0"";""1022"";""0"";""0"";"""""
"Cagliari;24/12/2011;""11"";""5"";""15"";""5"";""71"";""10"";""27"";""54"";""78"";""1021"";""0"";""0"";"""""
"Cagliari;25/12/2011;""9"";""6"";""15"";""4"";""64"";""11"";""17"";""28"";""0"";""1023"";""0"";""0"";"""""
"Cagliari;26/12/2011;""5"";""3"";""7"";""2"";""81"";""10"";""14"";""17"";""0"";""1029"";""0"";""0"";"""""
Cagliari;27/12/2011;;;;;;;;;;;;;
"Cagliari;28/12/2011;""11"";""5"";""15"";""5"";""67"";""10"";""12"";""24"";""0"";""1027"";""0"";""0"";"""""
"Cagliari;29/12/2011;""8"";""4"";""13"";""4"";""76"";""9"";""17"";""39"";""50"";""1021"";""0"";""0"";"""""
"Cagliari;30/12/2011;""11"";""6"";""13"";""6"";""75"";""10"";""32"";""65"";""100"";""1017"";""0"";""0"";""pioggia """
"Cagliari;31/12/2011;""13"";""11"";""14"";""10"";""81"";""8"";""24"";""41"";""63"";""1019"";""0"";""0"";""pioggia """
