LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/2/2012;""9"";""5"";""12"";""4"";""59"";""10"";""25"";""44"";""63"";""1011"";""0"";""0"";""pioggia temporale """
Cagliari;2/2/2012;;;;;;;;;;;;;
"Cagliari;3/2/2012;""6"";""4"";""7"";""3"";""83"";""8"";""21"";""32"";""0"";""1005"";""0"";""0"";""pioggia temporale """
"Cagliari;4/2/2012;""6"";""3"";""9"";""1"";""63"";""10"";""16"";""35"";""0"";""1014"";""0"";""0"";""pioggia """
"Cagliari;5/2/2012;""4"";""0"";""10"";""1"";""68"";""10"";""13"";""19"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;6/2/2012;""3"";""0"";""8"";""0"";""64"";""10"";""22"";""39"";""57"";""1012"";""0"";""0"";"""""
"Cagliari;7/2/2012;""4"";""-3"";""8"";""1"";""71"";""10"";""14"";""26"";""0"";""1006"";""0"";""0"";"""""
"Cagliari;8/2/2012;""5"";""2"";""8"";""3"";""82"";""9"";""13"";""20"";""0"";""1012"";""0"";""0"";""pioggia """
Cagliari;9/2/2012;;;;;;;;;;;;;
"Cagliari;10/2/2012;""8"";""4"";""11"";""3"";""73"";""10"";""21"";""41"";""61"";""1012"";""0"";""0"";""pioggia """
"Cagliari;11/2/2012;""3"";""1"";""6"";""1"";""79"";""10"";""12"";""41"";""63"";""1014"";""0"";""0"";""pioggia neve """
"Cagliari;12/2/2012;""3"";""-2"";""8"";""2"";""74"";""10"";""14"";""33"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;13/2/2012;""4"";""3"";""10"";""1"";""73"";""9"";""13"";""26"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;14/2/2012;""5"";""0"";""10"";""2"";""73"";""10"";""11"";""15"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;15/2/2012;""6"";""0"";""11"";""2"";""73"";""10"";""23"";""43"";""63"";""1016"";""0"";""0"";""pioggia """
"Cagliari;16/2/2012;""10"";""6"";""15"";""4"";""69"";""10"";""21"";""37"";""0"";""1015"";""0"";""0"";""pioggia """
"Cagliari;17/2/2012;""8"";""2"";""14"";""5"";""73"";""10"";""10"";""17"";""0"";""1022"";""0"";""0"";"""""
"Cagliari;18/2/2012;""8"";""3"";""14"";""4"";""74"";""10"";""7"";""17"";""0"";""1022"";""0"";""0"";"""""
"Cagliari;19/2/2012;""8"";""2"";""14"";""4"";""75"";""9"";""12"";""17"";""0"";""1020"";""0"";""0"";""nebbia """
"Cagliari;20/2/2012;""8"";""4"";""15"";""3"";""65"";""10"";""14"";""26"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;21/2/2012;""7"";""0"";""14"";""4"";""66"";""10"";""10"";""19"";""0"";""1021"";""0"";""0"";"""""
"Cagliari;22/2/2012;""10"";""7"";""14"";""5"";""71"";""10"";""22"";""30"";""48"";""1016"";""0"";""0"";""pioggia """
"Cagliari;23/2/2012;""12"";""8"";""17"";""5"";""63"";""10"";""14"";""19"";""0"";""1021"";""0"";""0"";"""""
"Cagliari;24/2/2012;""10"";""4"";""18"";""5"";""70"";""10"";""14"";""20"";""0"";""1026"";""0"";""0"";"""""
"Cagliari;25/2/2012;""11"";""5"";""18"";""5"";""71"";""10"";""17"";""22"";""0"";""1022"";""0"";""0"";""nebbia """
"Cagliari;26/2/2012;""11"";""8"";""15"";""7"";""75"";""10"";""16"";""24"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;27/2/2012;""11"";""4"";""18"";""5"";""64"";""8"";""12"";""28"";""0"";""1020"";""0"";""0"";""nebbia """
"Cagliari;28/2/2012;""9"";""2"";""15"";""7"";""68"";""10"";""10"";""22"";""0"";""1023"";""0"";""0"";"""""
"Cagliari;29/2/2012;""10"";""3"";""18"";""6"";""76"";""8"";""15"";""24"";""0"";""1022"";""0"";""0"";"""""
