LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/6/2012;""23"";""17"";""28"";""15"";""61"";""10"";""14"";""20"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;2/6/2012;""22"";""16"";""27"";""17"";""73"";""12"";""13"";""24"";""0"";""1015"";""0"";""0"";"""""
"Cagliari;3/6/2012;""22"";""17"";""24"";""16"";""69"";""11"";""18"";""33"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;4/6/2012;""23"";""20"";""28"";""15"";""62"";""10"";""19"";""33"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;5/6/2012;""22"";""17"";""26"";""8"";""43"";""11"";""26"";""39"";""52"";""1014"";""0"";""0"";"""""
"Cagliari;6/6/2012;""21"";""15"";""27"";""13"";""61"";""12"";""15"";""28"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;7/6/2012;""22"";""19"";""25"";""16"";""70"";""12"";""21"";""33"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;8/6/2012;""24"";""21"";""28"";""15"";""57"";""10"";""21"";""30"";""0"";""1010"";""0"";""0"";"""""
"Cagliari;9/6/2012;""25"";""20"";""31"";""15"";""57"";""10"";""25"";""41"";""61"";""1012"";""0"";""0"";""pioggia """
"Cagliari;10/6/2012;""23"";""18"";""30"";""11"";""47"";""12"";""19"";""28"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;11/6/2012;""23"";""18"";""28"";""14"";""56"";""11"";""14"";""26"";""0"";""1010"";""0"";""0"";"""""
"Cagliari;12/6/2012;""24"";""20"";""30"";""15"";""59"";""12"";""19"";""39"";""0"";""1008"";""0"";""0"";"""""
"Cagliari;13/6/2012;""21"";""15"";""27"";""7"";""44"";""13"";""18"";""35"";""48"";""1016"";""0"";""0"";"""""
"Cagliari;14/6/2012;""21"";""16"";""27"";""11"";""54"";""13"";""17"";""32"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;15/6/2012;""24"";""19"";""28"";""12"";""48"";""15"";""16"";""26"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;16/6/2012;""23"";""17"";""29"";""11"";""49"";""11"";""15"";""28"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;17/6/2012;""23"";""18"";""28"";""13"";""55"";""21"";""14"";""26"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;18/6/2012;""24"";""17"";""29"";""11"";""50"";""20"";""12"";""24"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;19/6/2012;""24"";""19"";""31"";""14"";""53"";""14"";""13"";""22"";""0"";""1015"";""0"";""0"";"""""
"Cagliari;20/6/2012;""26"";""22"";""31"";""15"";""51"";""13"";""16"";""33"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;21/6/2012;""28"";""21"";""35"";""16"";""51"";""12"";""20"";""30"";""0"";""1012"";""0"";""0"";"""""
"Cagliari;22/6/2012;""28"";""20"";""36"";""13"";""45"";""14"";""23"";""37"";""0"";""1015"";""0"";""0"";"""""
"Cagliari;23/6/2012;""29"";""20"";""37"";""14"";""45"";""17"";""19"";""30"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;24/6/2012;""27"";""20"";""34"";""13"";""45"";""15"";""16"";""28"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;25/6/2012;""28"";""21"";""33"";""15"";""48"";""12"";""28"";""41"";""56"";""1015"";""0"";""0"";"""""
"Cagliari;26/6/2012;""27"";""22"";""33"";""16"";""54"";""14"";""25"";""37"";""50"";""1015"";""0"";""0"";"""""
"Cagliari;27/6/2012;""26"";""21"";""31"";""18"";""63"";""13"";""14"";""30"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;28/6/2012;""26"";""21"";""31"";""17"";""61"";""19"";""14"";""26"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;29/6/2012;""26"";""22"";""30"";""20"";""72"";""11"";""15"";""26"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;30/6/2012;""26"";""24"";""30"";""21"";""75"";""11"";""17"";""30"";""0"";""1015"";""0"";""0"";"""""
