LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/11/2013;""18"";""17"";""20"";""16"";""89"";""9"";""12"";""24"";""0"";""1018"";""0"";""0"";""pioggia """
"Cagliari;2/11/2013;""18"";""14"";""23"";""16"";""85"";""10"";""7"";""15"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;3/11/2013;""18"";""12"";""24"";""15"";""83"";""10"";""7"";""17"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;4/11/2013;""19"";""14"";""25"";""15"";""80"";""10"";""11"";""33"";""44"";""1010"";""0"";""0"";""pioggia temporale """
"Cagliari;5/11/2013;""18"";""15"";""21"";""13"";""75"";""10"";""28"";""48"";""78"";""1003"";""0"";""0"";""pioggia """
"Cagliari;6/11/2013;""21"";""20"";""24"";""15"";""69"";""10"";""38"";""54"";""82"";""1010"";""0"";""0"";"""""
"Cagliari;7/11/2013;""20"";""16"";""25"";""16"";""79"";""10"";""19"";""28"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;8/11/2013;""17"";""12"";""22"";""16"";""90"";""9"";""8"";""19"";""0"";""1018"";""0"";""0"";""nebbia """
"Cagliari;9/11/2013;""19"";""15"";""24"";""16"";""83"";""10"";""11"";""22"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;10/11/2013;""17"";""14"";""21"";""13"";""77"";""10"";""19"";""43"";""76"";""1015"";""0"";""0"";""pioggia """
"Cagliari;11/11/2013;""15"";""12"";""18"";""7"";""60"";""10"";""33"";""56"";""87"";""1006"";""0"";""0"";""pioggia temporale """
"Cagliari;12/11/2013;""14"";""13"";""17"";""11"";""79"";""10"";""21"";""32"";""0"";""1009"";""0"";""0"";""pioggia """
"Cagliari;13/11/2013;""15"";""11"";""21"";""12"";""81"";""10"";""11"";""19"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;14/11/2013;""16"";""11"";""21"";""13"";""83"";""10"";""15"";""35"";""0"";""1015"";""0"";""0"";"""""
"Cagliari;15/11/2013;""14"";""9"";""18"";""8"";""69"";""0"";""19"";""33"";""54"";""1013"";""0"";""0"";"""""
"Cagliari;16/11/2013;""12"";""7"";""19"";""9"";""79"";""10"";""10"";""17"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;17/11/2013;""14"";""8"";""20"";""12"";""87"";""10"";""15"";""30"";""0"";""1017"";""0"";""0"";""pioggia """
"Cagliari;18/11/2013;""18"";""13"";""20"";""15"";""84"";""9"";""33"";""61"";""91"";""1005"";""0"";""0"";""pioggia temporale """
"Cagliari;19/11/2013;""13"";""10"";""17"";""11"";""86"";""8"";""17"";""35"";""50"";""1000"";""0"";""0"";""pioggia temporale """
"Cagliari;20/11/2013;""13"";""9"";""15"";""10"";""82"";""10"";""14"";""28"";""0"";""1008"";""0"";""0"";""pioggia """
"Cagliari;21/11/2013;""11"";""6"";""15"";""7"";""77"";""10"";""11"";""33"";""54"";""1006"";""0"";""0"";""pioggia """
"Cagliari;22/11/2013;""9"";""7"";""12"";""7"";""87"";""10"";""10"";""28"";""43"";""1000"";""0"";""0"";""pioggia """
"Cagliari;23/11/2013;""9"";""6"";""14"";""6"";""80"";""10"";""14"";""43"";""0"";""1002"";""0"";""0"";""pioggia """
"Cagliari;24/11/2013;""9"";""6"";""13"";""7"";""88"";""10"";""10"";""19"";""0"";""1003"";""0"";""0"";""pioggia """
"Cagliari;25/11/2013;""10"";""5"";""16"";""6"";""81"";""10"";""14"";""20"";""0"";""1010"";""0"";""0"";"""""
"Cagliari;26/11/2013;""8"";""3"";""13"";""3"";""65"";""10"";""13"";""19"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;27/11/2013;""6"";""0"";""11"";""2"";""69"";""10"";""10"";""17"";""0"";""1021"";""0"";""0"";"""""
"Cagliari;28/11/2013;""8"";""4"";""12"";""3"";""73"";""10"";""8"";""17"";""0"";""1023"";""0"";""0"";"""""
"Cagliari;29/11/2013;""6"";""1"";""13"";""4"";""83"";""10"";""10"";""15"";""0"";""1022"";""0"";""0"";"""""
"Cagliari;30/11/2013;""8"";""2"";""14"";""4"";""81"";""10"";""11"";""17"";""0"";""1013"";""0"";""0"";"""""
