LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/7/2014;""22"";""16"";""27"";""15"";""67"";""0"";""16"";""30"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;2/7/2014;""24"";""18"";""30"";""18"";""72"";""10"";""17"";""33"";""50"";""1017"";""0"";""0"";"""""
"Cagliari;3/7/2014;""26"";""22"";""33"";""19"";""69"";""10"";""17"";""32"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;4/7/2014;""26"";""24"";""28"";""20"";""70"";""9"";""19"";""28"";""0"";""1015"";""0"";""0"";"""""
"Cagliari;5/7/2014;""26"";""21"";""33"";""18"";""63"";""10"";""20"";""28"";""32"";""1015"";""0"";""0"";"""""
"Cagliari;6/7/2014;""24"";""20"";""29"";""19"";""74"";""10"";""15"";""26"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;7/7/2014;""26"";""22"";""32"";""20"";""74"";""10"";""14"";""46"";""69"";""1014"";""0"";""0"";""pioggia """
"Cagliari;8/7/2014;""25"";""21"";""29"";""16"";""61"";""10"";""23"";""35"";""56"";""1015"";""0"";""0"";"""""
"Cagliari;9/7/2014;""24"";""18"";""29"";""13"";""55"";""10"";""20"";""32"";""44"";""1014"";""0"";""0"";"""""
"Cagliari;10/7/2014;""22"";""18"";""26"";""12"";""54"";""10"";""27"";""43"";""67"";""1011"";""0"";""0"";"""""
"Cagliari;11/7/2014;""22"";""21"";""25"";""15"";""65"";""10"";""26"";""39"";""56"";""1012"";""0"";""0"";"""""
"Cagliari;12/7/2014;""24"";""18"";""29"";""14"";""60"";""10"";""22"";""35"";""54"";""1014"";""0"";""0"";"""""
"Cagliari;13/7/2014;""24"";""18"";""29"";""15"";""61"";""10"";""17"";""30"";""48"";""1015"";""0"";""0"";"""""
"Cagliari;14/7/2014;""23"";""18"";""30"";""16"";""69"";""10"";""17"";""33"";""0"";""1016"";""0"";""0"";""pioggia """
"Cagliari;15/7/2014;""24"";""18"";""32"";""17"";""68"";""10"";""14"";""26"";""41"";""1016"";""0"";""0"";"""""
"Cagliari;16/7/2014;""24"";""18"";""29"";""17"";""67"";""10"";""14"";""26"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;17/7/2014;""26"";""19"";""32"";""17"";""62"";""10"";""13"";""28"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;18/7/2014;""27"";""19"";""32"";""17"";""59"";""0"";""14"";""24"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;19/7/2014;""26"";""20"";""31"";""18"";""64"";""0"";""14"";""26"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;20/7/2014;""27"";""24"";""30"";""20"";""70"";""10"";""16"";""30"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;21/7/2014;""26"";""22"";""30"";""17"";""63"";""10"";""23"";""37"";""52"";""1014"";""0"";""0"";""pioggia """
"Cagliari;22/7/2014;""25"";""23"";""27"";""17"";""61"";""10"";""26"";""37"";""56"";""1011"";""0"";""0"";"""""
"Cagliari;23/7/2014;""26"";""21"";""31"";""18"";""65"";""10"";""18"";""28"";""33"";""1011"";""0"";""0"";"""""
"Cagliari;24/7/2014;""26"";""20"";""33"";""18"";""66"";""0"";""14"";""20"";""0"";""1011"";""0"";""0"";"""""
"Cagliari;25/7/2014;""26"";""21"";""30"";""19"";""70"";""10"";""17"";""33"";""0"";""1011"";""0"";""0"";"""""
"Cagliari;26/7/2014;""28"";""22"";""36"";""18"";""58"";""10"";""17"";""35"";""54"";""1009"";""0"";""0"";"""""
"Cagliari;27/7/2014;""26"";""20"";""32"";""17"";""61"";""10"";""24"";""37"";""57"";""1013"";""0"";""0"";"""""
"Cagliari;28/7/2014;""27"";""20"";""34"";""18"";""61"";""10"";""17"";""30"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;29/7/2014;""25"";""20"";""30"";""19"";""74"";""10"";""17"";""39"";""63"";""1008"";""0"";""0"";"""""
"Cagliari;30/7/2014;""24"";""20"";""28"";""16"";""64"";""10"";""22"";""39"";""59"";""1011"";""0"";""0"";""pioggia """
"Cagliari;31/7/2014;""26"";""22"";""31"";""17"";""59"";""10"";""25"";""39"";""67"";""1012"";""0"";""0"";"""""
