LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/8/2015;""28"";""23"";""34"";""20"";""66"";""10"";""11"";""28"";""0"";""1012"";""0"";""0"";""pioggia """
"Cagliari;2/8/2015;""29"";""24"";""36"";""21"";""63"";""10"";""15"";""24"";""30"";""1013"";""0"";""0"";"""""
"Cagliari;3/8/2015;""26"";""21"";""31"";""20"";""68"";""10"";""16"";""24"";""0"";""1015"";""0"";""0"";"""""
"Cagliari;4/8/2015;""27"";""20"";""32"";""19"";""64"";""0"";""14"";""28"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;5/8/2015;""27"";""21"";""33"";""20"";""66"";""0"";""13"";""24"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;6/8/2015;""28"";""22"";""32"";""21"";""70"";""10"";""12"";""26"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;7/8/2015;""29"";""23"";""35"";""20"";""61"";""10"";""13"";""24"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;8/8/2015;""29"";""24"";""34"";""23"";""70"";""10"";""11"";""28"";""0"";""1037"";""0"";""0"";"""""
"Cagliari;9/8/2015;""29"";""24"";""36"";""20"";""62"";""0"";""17"";""30"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;10/8/2015;""27"";""23"";""31"";""17"";""57"";""10"";""23"";""33"";""52"";""1013"";""0"";""0"";"""""
"Cagliari;11/8/2015;""25"";""20"";""31"";""19"";""70"";""10"";""18"";""30"";""41"";""1012"";""0"";""0"";""pioggia """
"Cagliari;12/8/2015;""27"";""22"";""34"";""19"";""67"";""10"";""14"";""30"";""0"";""1015"";""0"";""0"";"""""
"Cagliari;13/8/2015;""28"";""22"";""33"";""20"";""65"";""10"";""12"";""20"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;14/8/2015;""28"";""22"";""34"";""19"";""61"";""10"";""12"";""24"";""0"";""1011"";""0"";""0"";"""""
"Cagliari;15/8/2015;""26"";""23"";""30"";""19"";""68"";""10"";""18"";""33"";""52"";""1011"";""0"";""0"";"""""
"Cagliari;16/8/2015;""24"";""20"";""29"";""16"";""62"";""10"";""17"";""35"";""54"";""1012"";""0"";""0"";""pioggia """
"Cagliari;17/8/2015;""25"";""18"";""30"";""16"";""60"";""10"";""13"";""28"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;18/8/2015;""25"";""19"";""30"";""19"";""70"";""10"";""14"";""22"";""0"";""1012"";""0"";""0"";"""""
"Cagliari;19/8/2015;""26"";""22"";""32"";""16"";""58"";""10"";""22"";""35"";""48"";""1014"";""0"";""0"";"""""
"Cagliari;20/8/2015;""24"";""18"";""31"";""14"";""56"";""10"";""19"";""35"";""43"";""1019"";""0"";""0"";"""""
"Cagliari;21/8/2015;""24"";""18"";""29"";""17"";""65"";""0"";""12"";""26"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;22/8/2015;""25"";""19"";""30"";""19"";""71"";""10"";""15"";""26"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;23/8/2015;""26"";""23"";""28"";""22"";""80"";""10"";""18"";""28"";""0"";""1012"";""0"";""0"";""pioggia """
Cagliari;24/8/2015;;;;;;;;;;;;;
"Cagliari;25/8/2015;""27"";""22"";""33"";""17"";""59"";""10"";""17"";""32"";""39"";""1016"";""0"";""0"";"""""
"Cagliari;26/8/2015;""25"";""19"";""30"";""17"";""60"";""10"";""16"";""26"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;27/8/2015;""25"";""20"";""29"";""20"";""74"";""10"";""13"";""24"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;28/8/2015;""26"";""21"";""30"";""21"";""75"";""10"";""14"";""30"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;29/8/2015;""27"";""23"";""30"";""22"";""75"";""10"";""15"";""32"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;30/8/2015;""27"";""22"";""31"";""21"";""69"";""0"";""16"";""26"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;31/8/2015;""26"";""20"";""32"";""20"";""74"";""0"";""14"";""28"";""0"";""1017"";""0"";""0"";"""""
