LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/5/2015;""16"";""9"";""21"";""11"";""74"";""0"";""12"";""26"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;2/5/2015;""20"";""11"";""29"";""12"";""62"";""0"";""13"";""19"";""22"";""1015"";""0"";""0"";"""""
"Cagliari;3/5/2015;""21"";""14"";""26"";""13"";""65"";""0"";""12"";""22"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;4/5/2015;""20"";""14"";""24"";""15"";""76"";""0"";""14"";""30"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;5/5/2015;""23"";""18"";""31"";""17"";""71"";""0"";""11"";""19"";""0"";""1011"";""0"";""0"";"""""
"Cagliari;6/5/2015;""22"";""18"";""27"";""16"";""71"";""0"";""13"";""20"";""32"";""1014"";""0"";""0"";"""""
"Cagliari;7/5/2015;""22"";""17"";""30"";""12"";""59"";""0"";""21"";""32"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;8/5/2015;""19"";""11"";""24"";""11"";""63"";""0"";""12"";""22"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;9/5/2015;""20"";""15"";""25"";""13"";""65"";""10"";""27"";""41"";""59"";""1018"";""0"";""0"";"""""
"Cagliari;10/5/2015;""21"";""14"";""29"";""13"";""65"";""0"";""15"";""22"";""0"";""1021"";""0"";""0"";"""""
"Cagliari;11/5/2015;""21"";""12"";""27"";""11"";""60"";""0"";""12"";""20"";""0"";""1023"";""0"";""0"";"""""
"Cagliari;12/5/2015;""20"";""13"";""28"";""13"";""65"";""0"";""13"";""26"";""0"";""1023"";""0"";""0"";"""""
"Cagliari;13/5/2015;""22"";""13"";""30"";""12"";""58"";""10"";""12"";""24"";""28"";""1023"";""0"";""0"";""nebbia """
"Cagliari;14/5/2015;""24"";""14"";""33"";""8"";""41"";""0"";""12"";""22"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;15/5/2015;""19"";""15"";""23"";""11"";""59"";""10"";""24"";""44"";""70"";""1009"";""0"";""0"";"""""
"Cagliari;16/5/2015;""16"";""13"";""20"";""11"";""71"";""10"";""10"";""22"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Cagliari;17/5/2015;""18"";""10"";""27"";""11"";""69"";""10"";""15"";""33"";""46"";""1014"";""0"";""0"";""pioggia """
"Cagliari;18/5/2015;""22"";""15"";""30"";""13"";""62"";""10"";""15"";""30"";""0"";""1012"";""0"";""0"";"""""
"Cagliari;19/5/2015;""20"";""13"";""29"";""13"";""67"";""0"";""13"";""26"";""0"";""1010"";""0"";""0"";"""""
"Cagliari;20/5/2015;""18"";""15"";""22"";""13"";""70"";""10"";""21"";""39"";""0"";""0"";""0"";""0"";""pioggia """
"Cagliari;21/5/2015;""16"";""12"";""20"";""8"";""59"";""10"";""23"";""37"";""57"";""1017"";""0"";""0"";"""""
"Cagliari;22/5/2015;""17"";""12"";""22"";""9"";""61"";""10"";""21"";""35"";""56"";""1015"";""0"";""0"";""pioggia """
"Cagliari;23/5/2015;""17"";""12"";""22"";""10"";""63"";""10"";""20"";""39"";""61"";""1014"";""0"";""0"";"""""
"Cagliari;24/5/2015;""19"";""13"";""25"";""11"";""64"";""10"";""14"";""22"";""35"";""1014"";""0"";""0"";"""""
"Cagliari;25/5/2015;""17"";""11"";""22"";""13"";""78"";""10"";""14"";""26"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;26/5/2015;""18"";""13"";""23"";""12"";""71"";""10"";""19"";""35"";""52"";""1011"";""0"";""0"";"""""
"Cagliari;27/5/2015;""20"";""15"";""26"";""13"";""66"";""10"";""15"";""28"";""39"";""1013"";""0"";""0"";"""""
"Cagliari;28/5/2015;""19"";""14"";""25"";""13"";""70"";""10"";""13"";""30"";""39"";""1018"";""0"";""0"";"""""
"Cagliari;29/5/2015;""19"";""11"";""25"";""12"";""69"";""0"";""13"";""26"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;30/5/2015;""19"";""14"";""23"";""11"";""63"";""10"";""9"";""20"";""0"";""1016"";""0"";""0"";""pioggia """
"Cagliari;31/5/2015;""19"";""13"";""24"";""13"";""69"";""0"";""13"";""22"";""0"";""1018"";""0"";""0"";"""""
