LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/10/2017;""20"";""15"";""25"";""15"";""72"";""19"";""8"";""15"";""0"";""1019"";""0"";""0"";""pioggia temporale """
"Cagliari;2/10/2017;""21"";""17"";""25"";""15"";""71"";""20"";""11"";""24"";""0"";""1020"";""0"";""0"";""pioggia """
"Cagliari;3/10/2017;""20"";""15"";""26"";""15"";""74"";""19"";""11"";""17"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;4/10/2017;""22"";""16"";""26"";""16"";""72"";""20"";""11"";""18"";""0"";""1022"";""0"";""0"";"""""
"Cagliari;5/10/2017;""21"";""16"";""28"";""16"";""71"";""21"";""12"";""24"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;6/10/2017;""21"";""17"";""27"";""13"";""63"";""19"";""28"";""48"";""0"";""1012"";""0"";""0"";"""""
"Cagliari;7/10/2017;""20"";""14"";""25"";""8"";""49"";""21"";""14"";""28"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;8/10/2017;""18"";""11"";""26"";""9"";""56"";""20"";""12"";""30"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;9/10/2017;""20"";""14"";""26"";""12"";""64"";""20"";""13"";""31"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;10/10/2017;""20"";""14"";""26"";""12"";""64"";""21"";""14"";""28"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;11/10/2017;""20"";""13"";""25"";""14"";""72"";""21"";""10"";""21"";""0"";""1023"";""0"";""0"";"""""
"Cagliari;12/10/2017;""19"";""13"";""25"";""14"";""74"";""20"";""10"";""17"";""0"";""1025"";""0"";""0"";"""""
"Cagliari;13/10/2017;""19"";""12"";""25"";""14"";""76"";""22"";""10"";""17"";""0"";""1026"";""0"";""0"";"""""
"Cagliari;14/10/2017;""20"";""14"";""25"";""15"";""75"";""20"";""9"";""18"";""0"";""1027"";""0"";""0"";"""""
"Cagliari;15/10/2017;""19"";""13"";""24"";""14"";""75"";""19"";""9"";""15"";""0"";""1028"";""0"";""0"";"""""
"Cagliari;16/10/2017;""18"";""11"";""24"";""15"";""81"";""21"";""10"";""18"";""0"";""1027"";""0"";""0"";"""""
"Cagliari;17/10/2017;""18"";""11"";""23"";""14"";""80"";""21"";""11"";""21"";""0"";""1024"";""0"";""0"";"""""
"Cagliari;18/10/2017;""18"";""12"";""24"";""15"";""83"";""15"";""12"";""24"";""0"";""1019"";""0"";""0"";""nebbia """
"Cagliari;19/10/2017;""21"";""17"";""25"";""17"";""75"";""21"";""18"";""31"";""0"";""1015"";""0"";""0"";"""""
"Cagliari;20/10/2017;""23"";""19"";""26"";""18"";""76"";""21"";""16"";""26"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Cagliari;21/10/2017;""20"";""14"";""27"";""16"";""79"";""19"";""9"";""17"";""0"";""1021"";""0"";""0"";"""""
"Cagliari;22/10/2017;""19"";""15"";""23"";""13"";""71"";""21"";""19"";""33"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;23/10/2017;""18"";""14"";""20"";""8"";""53"";""20"";""31"";""44"";""0"";""1017"";""0"";""0"";""pioggia """
"Cagliari;24/10/2017;""17"";""10"";""24"";""8"";""60"";""18"";""14"";""18"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;25/10/2017;""17"";""8"";""26"";""8"";""58"";""18"";""11"";""18"";""0"";""1023"";""0"";""0"";"""""
"Cagliari;26/10/2017;""16"";""8"";""25"";""9"";""67"";""18"";""10"";""15"";""0"";""1026"";""0"";""0"";"""""
"Cagliari;27/10/2017;""18"";""11"";""26"";""12"";""66"";""21"";""21"";""41"";""0"";""1021"";""0"";""0"";"""""
"Cagliari;28/10/2017;""19"";""13"";""26"";""12"";""68"";""18"";""14"";""37"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;29/10/2017;""18"";""13"";""22"";""9"";""58"";""22"";""22"";""39"";""0"";""1015"";""0"";""0"";"""""
"Cagliari;30/10/2017;""18"";""14"";""22"";""10"";""60"";""21"";""17"";""33"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;31/10/2017;""16"";""10"";""21"";""11"";""74"";""21"";""6"";""11"";""0"";""1018"";""0"";""0"";"""""
