LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/9/2017;""29"";""23"";""35"";""19"";""59"";""20"";""13"";""24"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;2/9/2017;""25"";""21"";""28"";""12"";""46"";""20"";""28"";""39"";""0"";""1015"";""0"";""0"";"""""
"Cagliari;3/9/2017;""24"";""21"";""28"";""13"";""50"";""21"";""23"";""37"";""0"";""1015"";""0"";""0"";"""""
"Cagliari;4/9/2017;""24"";""19"";""30"";""16"";""63"";""19"";""9"";""21"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;5/9/2017;""24"";""18"";""29"";""18"";""69"";""20"";""12"";""21"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;6/9/2017;""25"";""18"";""32"";""17"";""64"";""19"";""17"";""26"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;7/9/2017;""24"";""20"";""30"";""16"";""62"";""19"";""19"";""35"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;8/9/2017;""23"";""18"";""28"";""14"";""58"";""19"";""19"";""31"";""0"";""1013"";""0"";""0"";"""""
"Cagliari;9/9/2017;""23"";""17"";""27"";""17"";""71"";""20"";""14"";""28"";""0"";""1009"";""0"";""0"";"""""
"Cagliari;10/9/2017;""21"";""17"";""24"";""17"";""78"";""19"";""17"";""30"";""0"";""1002"";""0"";""0"";""pioggia temporale """
"Cagliari;11/9/2017;""22"";""17"";""27"";""14"";""61"";""20"";""24"";""44"";""0"";""1007"";""0"";""0"";""pioggia """
"Cagliari;12/9/2017;""24"";""19"";""29"";""14"";""56"";""18"";""14"";""26"";""0"";""1014"";""0"";""0"";"""""
"Cagliari;13/9/2017;""22"";""16"";""27"";""13"";""61"";""20"";""19"";""35"";""0"";""1021"";""0"";""0"";"""""
"Cagliari;14/9/2017;""22"";""16"";""28"";""16"";""70"";""20"";""12"";""21"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;15/9/2017;""22"";""17"";""28"";""17"";""75"";""19"";""12"";""24"";""0"";""1012"";""0"";""0"";""pioggia """
"Cagliari;16/9/2017;""23"";""19"";""31"";""16"";""65"";""20"";""15"";""28"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Cagliari;17/9/2017;""21"";""17"";""27"";""11"";""54"";""20"";""20"";""33"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;18/9/2017;""20"";""12"";""27"";""10"";""56"";""19"";""12"";""18"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;19/9/2017;""20"";""17"";""24"";""11"";""57"";""20"";""21"";""35"";""0"";""1016"";""0"";""0"";"""""
"Cagliari;20/9/2017;""20"";""16"";""24"";""9"";""51"";""20"";""21"";""31"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;21/9/2017;""19"";""12"";""27"";""10"";""58"";""20"";""13"";""24"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;22/9/2017;""20"";""13"";""25"";""12"";""64"";""21"";""13"";""24"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;23/9/2017;""21"";""15"";""27"";""16"";""73"";""21"";""10"";""24"";""0"";""1020"";""0"";""0"";""pioggia temporale """
"Cagliari;24/9/2017;""22"";""16"";""28"";""15"";""69"";""20"";""14"";""28"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;25/9/2017;""22"";""17"";""29"";""16"";""68"";""21"";""12"";""24"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;26/9/2017;""21"";""18"";""27"";""16"";""72"";""20"";""13"";""26"";""0"";""1017"";""0"";""0"";""pioggia temporale """
"Cagliari;27/9/2017;""20"";""13"";""26"";""13"";""68"";""19"";""12"";""22"";""0"";""1020"";""0"";""0"";""pioggia """
"Cagliari;28/9/2017;""20"";""14"";""26"";""15"";""71"";""19"";""12"";""26"";""0"";""1023"";""0"";""0"";"""""
"Cagliari;29/9/2017;""21"";""15"";""26"";""15"";""69"";""20"";""12"";""22"";""0"";""1021"";""0"";""0"";"""""
"Cagliari;30/9/2017;""20"";""14"";""25"";""14"";""70"";""21"";""11"";""22"";""0"";""1019"";""0"";""0"";"""""
