LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Cagliari;1/3/2019;""13"";""9"";""17"";""8"";""72"";""20"";""24"";""46"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;2/3/2019;""14"";""10"";""20"";""8"";""66"";""21"";""18"";""30"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;3/3/2019;""15"";""13"";""19"";""8"";""61"";""21"";""21"";""28"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;4/3/2019;""15"";""5"";""20"";""7"";""60"";""19"";""8"";""15"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;5/3/2019;""13"";""7"";""20"";""9"";""76"";""20"";""11"";""17"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;6/3/2019;""13"";""7"";""17"";""10"";""83"";""19"";""11"";""24"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;7/3/2019;""15"";""9"";""21"";""11"";""80"";""17"";""12"";""24"";""0"";""1015"";""0"";""0"";""nebbia """
"Cagliari;8/3/2019;""14"";""11"";""20"";""9"";""72"";""19"";""15"";""26"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;9/3/2019;""13"";""8"";""20"";""8"";""73"";""20"";""16"";""30"";""0"";""1028"";""0"";""0"";""nebbia """
"Cagliari;10/3/2019;""15"";""8"";""21"";""8"";""66"";""19"";""19"";""33"";""0"";""1026"";""0"";""0"";"""""
"Cagliari;11/3/2019;""14"";""11"";""16"";""7"";""64"";""20"";""31"";""50"";""0"";""1022"";""0"";""0"";"""""
"Cagliari;12/3/2019;""12"";""6"";""17"";""2"";""47"";""19"";""20"";""39"";""0"";""1025"";""0"";""0"";"""""
"Cagliari;13/3/2019;""11"";""4"";""18"";""6"";""72"";""21"";""14"";""33"";""0"";""1019"";""0"";""0"";""pioggia """
"Cagliari;14/3/2019;""12"";""9"";""15"";""5"";""63"";""19"";""34"";""46"";""0"";""1019"";""0"";""0"";""pioggia """
"Cagliari;15/3/2019;""15"";""13"";""18"";""8"";""63"";""20"";""36"";""48"";""0"";""1019"";""0"";""0"";"""""
"Cagliari;16/3/2019;""15"";""10"";""20"";""8"";""66"";""21"";""28"";""41"";""0"";""1020"";""0"";""0"";"""""
"Cagliari;17/3/2019;""11"";""4"";""16"";""9"";""83"";""20"";""11"";""21"";""0"";""1017"";""0"";""0"";"""""
"Cagliari;18/3/2019;""12"";""8"";""18"";""6"";""69"";""16"";""25"";""42"";""0"";""1016"";""0"";""0"";""nebbia """
"Cagliari;19/3/2019;""11"";""6"";""17"";""5"";""65"";""19"";""10"";""21"";""0"";""1018"";""0"";""0"";"""""
"Cagliari;20/3/2019;""13"";""8"";""16"";""6"";""68"";""20"";""11"";""18"";""0"";""1020"";""0"";""0"";""pioggia """
"Cagliari;21/3/2019;""15"";""11"";""18"";""7"";""60"";""20"";""17"";""31"";""0"";""1020"";""0"";""0"";""pioggia """
"Cagliari;22/3/2019;""15"";""12"";""17"";""9"";""68"";""20"";""16"";""24"";""0"";""1022"";""0"";""0"";""pioggia """
"Cagliari;23/3/2019;""14"";""7"";""21"";""8"";""68"";""19"";""12"";""22"";""0"";""1022"";""0"";""0"";"""""
"Cagliari;24/3/2019;""14"";""6"";""20"";""8"";""71"";""17"";""13"";""18"";""0"";""1022"";""0"";""0"";"""""
"Cagliari;25/3/2019;""14"";""6"";""21"";""6"";""66"";""19"";""17"";""26"";""0"";""1017"";""0"";""0"";""nebbia """
"Cagliari;26/3/2019;""13"";""10"";""17"";""6"";""65"";""22"";""20"";""31"";""0"";""1011"";""0"";""0"";""pioggia """
"Cagliari;27/3/2019;""13"";""8"";""19"";""6"";""66"";""18"";""15"";""26"";""0"";""1017"";""0"";""0"";""pioggia """
"Cagliari;28/3/2019;""12"";""7"";""18"";""6"";""67"";""21"";""15"";""24"";""0"";""1023"";""0"";""0"";"""""
"Cagliari;29/3/2019;""12"";""5"";""17"";""6"";""70"";""19"";""10"";""18"";""0"";""1026"";""0"";""0"";"""""
"Cagliari;30/3/2019;""12"";""4"";""17"";""7"";""76"";""18"";""12"";""21"";""0"";""1024"";""0"";""0"";"""""
"Cagliari;31/3/2019;""12"";""4"";""17"";""6"";""67"";""18"";""13"";""22"";""0"";""1018"";""0"";""0"";"""""
