"DATA";"TMEDIA";"TMIN";"TMAX";"UMID"
"2010-01-01";"13";"10";"15";"70"
"2010-01-02";"12";"10";"16";"61"
"2010-01-03";"9";"5";"14";"63"
"2010-01-04";"9";"4";"15";"83"
"2010-01-05";"12";"8";"17";"87"
"2010-01-06";"12";"9";"13";"82"
"2010-01-07";"11";"6";"15";"80"
"2010-01-08";"13";"8";"16";"81"
"2010-01-09";"8";"4";"12";"81"
"2010-01-10";"6";"3";"9";"86"
"2010-01-11";"7";"4";"9";"91"
"2010-01-12";"8";"4";"12";"80"
"2010-01-13";"11";"7";"13";"86"
"2010-01-14";"10";"5";"13";"86"
"2010-01-15";"9";"7";"13";"85"
"2010-01-16";"9";"5";"14";"82"
"2010-01-17";"9";"5";"13";"91"
"2010-01-18";"10";"6";"15";"79"
"2010-01-19";"9";"3";"14";"84"
"2010-01-20";"11";"8";"12";"90"
"2010-01-21";"11";"7";"14";"74"
"2010-01-22";"9";"5";"14";"83"
"2010-01-23";"8";"3";"13";"80"
"2010-01-24";"10";"4";"13";"69"
"2010-01-25";"11";"9";"15";"89"
"2010-01-26";"13";"10";"15";"86"
"2010-01-27";"11";"7";"14";"86"
"2010-01-28";"9";"6";"13";"74"
"2010-01-29";"10";"9";"13";"81"
"2010-01-30";"9";"8";"13";"76"
"2010-01-31";"9";"7";"11";"73"
"2010-02-01";"5";"1";"10";"71"
"2010-02-02";"8";"3";"12";"56"
"2010-02-03";"7";"2";"14";"72"
"2010-02-04";"9";"1";"16";"78"
"2010-02-05";"13";"8";"17";"75"
"2010-02-06";"12";"9";"16";"68"
"2010-02-07";"11";"8";"15";"74"
"2010-02-08";"9";"3";"14";"78"
"2010-02-09";"12";"11";"15";"87"
"2010-02-10";"9";"6";"11";"79"
"2010-02-11";"7";"2";"12";"58"
"2010-02-12";"4";"1";"7";"84"
"2010-02-13";"5";"1";"10";"77"
"2010-02-14";"8";"4";"12";"71"
"2010-02-15";"8";"3";"12";"77"
"2010-02-16";"12";"10";"13";"90"
"2010-02-17";"12";"6";"16";"82"
"2010-02-18";"15";"13";"19";"66"
"2010-02-19";"15";"11";"19";"72"
"2010-02-20";"11";"9";"13";"70"
"2010-02-21";"11";"5";"15";"72"
"2010-02-22";"15";"12";"19";"79"
"2010-02-23";"16";"13";"19";"73"
"2010-02-24";"15";"12";"18";"67"
"2010-02-25";"14";"9";"19";"71"
"2010-02-26";"15";"10";"20";"64"
"2010-02-27";"12";"7";"16";"72"
"2010-02-28";"16";"13";"22";"73"
"2010-03-01";"15";"12";"19";"71"
"2010-03-02";"13";"9";"17";"73"
"2010-03-03";"16";"13";"17";"57"
"2010-03-04";"14";"10";"15";"68"
"2010-03-05";"12";"9";"16";"65"
"2010-03-06";"9";"7";"12";"60"
"2010-03-07";"9";"7";"12";"66"
"2010-03-08";"10";"9";"13";"72"
"2010-03-09";"10";"7";"13";"73"
"2010-03-10";"8";"5";"12";"65"
"2010-03-11";"7";"4";"12";"66"
"2010-03-12";"8";"4";"13";"65"
"2010-03-13";"10";"7";"15";"61"
"2010-03-14";"9";"2";"16";"65"
"2010-03-15";"9";"4";"13";"66"
"2010-03-16";"12";"8";"16";"62"
"2010-03-17";"10";"3";"19";"70"
"2010-03-18";"11";"5";"16";"77"
"2010-03-19";"12";"5";"18";"79"
"2010-03-20";"14";"9";"18";"84"
"2010-03-21";"14";"9";"18";"84"
"2010-03-22";"16";"13";"20";"76"
"2010-03-23";"14";"11";"17";"86"
"2010-03-24";"15";"13";"17";"76"
"2010-03-25";"15";"14";"19";"82"
"2010-03-26";"16";"12";"21";"80"
"2010-03-27";"15";"10";"19";"63"
"2010-03-28";"15";"11";"20";"56"
"2010-03-29";"13";"8";"18";"73"
"2010-03-30";"16";"12";"22";"65"
"2010-03-31";"15";"10";"21";"65"
"2010-04-01";"14";"9";"19";"69"
"2010-04-02";"13";"8";"19";"62"
"2010-04-03";"12";"4";"18";"65"
"2010-04-04";"16";"12";"20";"73"
"2010-04-05";"13";"10";"17";"57"
"2010-04-06";"12";"7";"15";"71"
"2010-04-07";"15";"12";"19";"58"
"2010-04-08";"16";"14";"18";"81"
"2010-04-09";"14";"13";"17";"74"
"2010-04-10";"14";"9";"20";"66"
"2010-04-11";"14";"8";"20";"65"
"2010-04-12";"13";"8";"17";"70"
"2010-04-13";"14";"8";"18";"71"
"2010-04-14";"13";"8";"17";"78"
"2010-04-15";"16";"12";"20";"73"
"2010-04-16";"16";"14";"20";"69"
"2010-04-17";"15";"10";"20";"70"
"2010-04-18";"15";"11";"19";"70"
"2010-04-19";"16";"10";"21";"59"
"2010-04-20";"16";"10";"23";"65"
"2010-04-21";"15";"10";"21";"78"
"2010-04-22";"16";"11";"19";"79"
"2010-04-23";"17";"15";"18";"85"
"2010-04-24";"18";"15";"22";"74"
"2010-04-25";"17";"14";"22";"82"
"2010-04-26";"17";"12";"22";"72"
"2010-04-27";"18";"13";"25";"68"
"2010-04-28";"17";"11";"22";"72"
"2010-04-29";"18";"13";"22";"72"
"2010-04-30";"18";"14";"22";"72"
"2010-05-01";"19";"17";"21";"73"
"2010-05-02";"19";"17";"22";"71"
"2010-05-03";"17";"13";"21";"78"
"2010-05-04";"17";"13";"18";"71"
"2010-05-05";"14";"11";"18";"68"
"2010-05-06";"15";"12";"19";"62"
"2010-05-07";"13";"10";"17";"67"
"2010-05-08";"15";"11";"20";"74"
"2010-05-09";"17";"11";"20";"73"
"2010-05-10";"20";"16";"28";"68"
"2010-05-11";"21";"17";"25";"60"
"2010-05-12";"16";"14";"21";"83"
"2010-05-13";"19";"15";"23";"62"
"2010-05-14";"15";"12";"18";"81"
"2010-05-15";"15";"12";"19";"59"
"2010-05-16";"16";"14";"19";"48"
"2010-05-17";"16";"0";"20";"52"
"2010-05-18";"16";"12";"20";"59"
"2010-05-19";"17";"13";"22";"53"
"2010-05-20";"16";"13";"23";"62"
"2010-05-21";"16";"10";"25";"63"
"2010-05-22";"17";"11";"24";"68"
"2010-05-23";"17";"12";"22";"68"
"2010-05-24";"2";"0";"23";"51"
"2010-05-25";"20";"14";"25";"64"
"2010-05-26";"20";"15";"24";"63"
"2010-05-27";"21";"15";"26";"71"
"2010-05-28";"20";"18";"27";"73"
"2010-05-29";"19";"18";"22";"82"
"2010-05-30";"21";"17";"25";"66"
"2010-05-31";"21";"19";"24";"54"
"2010-06-01";"20";"16";"24";"52"
"2010-06-02";"20";"16";"24";"60"
"2010-06-03";"20";"16";"26";"62"
"2010-06-04";"21";"15";"27";"61"
"2010-06-05";"20";"15";"25";"69"
"2010-06-06";"21";"15";"25";"69"
"2010-06-07";"21";"16";"27";"63"
"2010-06-08";"21";"15";"26";"68"
"2010-06-09";"25";"21";"28";"53"
"2010-06-10";"23";"21";"25";"69"
"2010-06-11";"22";"20";"25";"79"
"2010-06-12";"23";"18";"28";"63"
"2010-06-13";"23";"20";"26";"67"
"2010-06-14";"22";"19";"25";"65"
"2010-06-15";"21";"18";"24";"78"
"2010-06-16";"22";"18";"26";"68"
"2010-06-17";"23";"19";"27";"65"
"2010-06-18";"22";"18";"28";"56"
"2010-06-19";"21";"17";"26";"63"
"2010-06-20";"18";"15";"20";"73"
"2010-06-21";"18";"15";"22";"56"
"2010-06-22";"19";"14";"23";"57"
"2010-06-23";"20";"14";"26";"62"
"2010-06-24";"21";"15";"27";"56"
"2010-06-25";"21";"15";"25";"65"
"2010-06-26";"21";"15";"26";"61"
"2010-06-27";"23";"16";"26";"57"
"2010-06-28";"24";"17";"29";"55"
"2010-06-29";"25";"18";"31";"58"
"2010-06-30";"25";"15";"30";"61"
"2010-07-01";"24";"20";"30";"65"
"2010-07-02";"24";"20";"28";"70"
"2010-07-03";"25";"19";"31";"54"
"2010-07-04";"28";"21";"36";"48"
"2010-07-05";"26";"21";"33";"63"
"2010-07-06";"26";"21";"31";"64"
"2010-07-07";"26";"21";"31";"59"
"2010-07-08";"24";"20";"28";"68"
"2010-07-09";"25";"21";"29";"63"
"2010-07-10";"26";"21";"30";"62"
"2010-07-11";"27";"22";"31";"64"
"2010-07-12";"26";"21";"31";"68"
"2010-07-13";"26";"21";"29";"70"
"2010-07-14";"27";"24";"30";"73"
"2010-07-15";"28";"22";"37";"69"
"2010-07-16";"27";"21";"32";"74"
"2010-07-17";"29";"22";"36";"52"
"2010-07-18";"28";"22";"35";"54"
"2010-07-19";"26";"19";"32";"63"
"2010-07-20";"27";"23";"31";"64"
"2010-07-21";"26";"21";"30";"69"
"2010-07-22";"27";"24";"32";"66"
"2010-07-23";"28";"22";"33";"63"
"2010-07-24";"25";"22";"29";"50"
"2010-07-25";"24";"20";"28";"52"
"2010-07-26";"24";"19";"30";"63"
"2010-07-27";"24";"20";"30";"57"
"2010-07-28";"24";"19";"29";"64"
"2010-07-29";"26";"19";"34";"54"
"2010-07-30";"25";"21";"29";"52"
"2010-07-31";"24";"18";"29";"56"
"2010-08-01";"24";"17";"29";"56"
"2010-08-02";"24";"18";"28";"68"
"2010-08-03";"26";"20";"33";"51"
"2010-08-04";"25";"20";"31";"53"
"2010-08-05";"24";"19";"30";"55"
"2010-08-06";"23";"19";"28";"43"
"2010-08-07";"23";"16";"31";"47"
"2010-08-08";"22";"15";"27";"64"
"2010-08-09";"24";"18";"32";"53"
"2010-08-10";"26";"20";"32";"44"
"2010-08-11";"27";"21";"35";"50"
"2010-08-12";"26";"19";"35";"59"
"2010-08-13";"25";"21";"30";"61"
"2010-08-14";"26";"21";"31";"61"
"2010-08-15";"23";"18";"29";"66"
