LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Catanzaro;1/9/2010;""21"";""13"";""27"";""8"";""44"";""24"";""9"";""16"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;2/9/2010;""21"";""12"";""29"";""12"";""55"";""15"";""7"";""13"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;3/9/2010;""23"";""20"";""26"";""20"";""80"";""10"";""7"";""14"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Catanzaro;4/9/2010;""22"";""19"";""27"";""17"";""72"";""10"";""9"";""22"";""0"";""1013"";""0"";""0"";""pioggia """
"Catanzaro;5/9/2010;""22"";""15"";""27"";""18"";""76"";""10"";""8"";""15"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;6/9/2010;""23"";""18"";""27"";""18"";""72"";""13"";""7"";""16"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;7/9/2010;""23"";""14"";""30"";""16"";""64"";""15"";""15"";""100"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;8/9/2010;""25"";""22"";""30"";""19"";""68"";""11"";""8"";""14"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;9/9/2010;""23"";""19"";""26"";""18"";""73"";""10"";""6"";""15"";""0"";""1015"";""0"";""0"";""pioggia """
"Catanzaro;10/9/2010;""20"";""16"";""23"";""16"";""79"";""10"";""8"";""21"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Catanzaro;11/9/2010;""19"";""14"";""23"";""16"";""80"";""10"";""4"";""9"";""0"";""1011"";""0"";""0"";""pioggia """
"Catanzaro;12/9/2010;""22"";""17"";""26"";""17"";""74"";""11"";""7"";""15"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;13/9/2010;""21"";""15"";""27"";""17"";""75"";""11"";""7"";""14"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;14/9/2010;""22"";""16"";""26"";""16"";""70"";""11"";""12"";""22"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;15/9/2010;""23"";""18"";""28"";""15"";""58"";""10"";""9"";""14"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;16/9/2010;""21"";""16"";""26"";""16"";""73"";""10"";""8"";""16"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;17/9/2010;""21"";""15"";""26"";""17"";""74"";""11"";""8"";""16"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;18/9/2010;""20"";""13"";""27"";""14"";""67"";""16"";""6"";""12"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;19/9/2010;""23"";""16"";""29"";""17"";""71"";""11"";""9"";""15"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;20/9/2010;""22"";""17"";""26"";""16"";""65"";""11"";""8"";""14"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;21/9/2010;""21"";""15"";""26"";""15"";""69"";""11"";""7"";""23"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;22/9/2010;""23"";""16"";""27"";""15"";""63"";""11"";""8"";""14"";""0"";""1017"";""0"";""0"";""temporale """
"Catanzaro;23/9/2010;""22"";""18"";""26"";""17"";""72"";""10"";""7"";""13"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Catanzaro;24/9/2010;""21"";""14"";""26"";""15"";""68"";""10"";""12"";""18"";""0"";""1009"";""0"";""0"";""pioggia """
"Catanzaro;25/9/2010;""21"";""18"";""23"";""18"";""85"";""8"";""14"";""25"";""37"";""1000"";""0"";""0"";""pioggia """
"Catanzaro;26/9/2010;""21"";""18"";""23"";""15"";""65"";""10"";""14"";""21"";""0"";""1007"";""0"";""0"";""pioggia """
"Catanzaro;27/9/2010;""21"";""17"";""26"";""14"";""64"";""10"";""4"";""7"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;28/9/2010;""20"";""15"";""24"";""16"";""77"";""10"";""6"";""12"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;29/9/2010;""19"";""14"";""24"";""14"";""69"";""11"";""8"";""20"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;30/9/2010;""18"";""13"";""24"";""13"";""70"";""13"";""6"";""12"";""0"";""1017"";""0"";""0"";""pioggia """
