LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Catanzaro;1/4/2011;""15"";""12"";""18"";""12"";""79"";""10"";""7"";""13"";""0"";""1019"";""0"";""0"";"""""
"Catanzaro;2/4/2011;""15"";""12"";""18"";""12"";""80"";""10"";""7"";""16"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;3/4/2011;""14"";""9"";""19"";""11"";""81"";""10"";""7"";""16"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;4/4/2011;""16"";""13"";""19"";""12"";""77"";""10"";""7"";""15"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;5/4/2011;""16"";""13"";""19"";""11"";""70"";""10"";""7"";""14"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;6/4/2011;""15"";""12"";""19"";""8"";""63"";""12"";""8"";""21"";""0"";""1018"";""0"";""0"";""pioggia """
"Catanzaro;7/4/2011;""13"";""6"";""19"";""8"";""71"";""14"";""8"";""16"";""0"";""1021"";""0"";""0"";"""""
"Catanzaro;8/4/2011;""15"";""11"";""19"";""11"";""77"";""11"";""7"";""15"";""0"";""1019"";""0"";""0"";"""""
"Catanzaro;9/4/2011;""15"";""11"";""19"";""11"";""74"";""12"";""9"";""16"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;10/4/2011;""16"";""12"";""19"";""12"";""78"";""11"";""5"";""12"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;11/4/2011;""15"";""11"";""19"";""11"";""79"";""10"";""7"";""16"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;12/4/2011;""14"";""8"";""19"";""11"";""80"";""11"";""7"";""15"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;13/4/2011;""14"";""7"";""18"";""10"";""76"";""11"";""10"";""21"";""0"";""1011"";""0"";""0"";"""""
"Catanzaro;14/4/2011;""12"";""5"";""16"";""3"";""49"";""12"";""8"";""14"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;15/4/2011;""10"";""8"";""13"";""7"";""80"";""10"";""15"";""24"";""0"";""1011"";""0"";""0"";""pioggia """
"Catanzaro;16/4/2011;""12"";""10"";""15"";""8"";""75"";""11"";""15"";""22"";""0"";""1011"";""0"";""0"";""pioggia """
"Catanzaro;17/4/2011;""13"";""10"";""16"";""10"";""79"";""10"";""6"";""15"";""0"";""1014"";""0"";""0"";""pioggia """
"Catanzaro;18/4/2011;""14"";""10"";""18"";""10"";""74"";""10"";""8"";""18"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;19/4/2011;""14"";""9"";""18"";""10"";""76"";""10"";""6"";""13"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;20/4/2011;""13"";""6"";""18"";""9"";""80"";""9"";""6"";""15"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;21/4/2011;""14"";""7"";""22"";""7"";""62"";""9"";""7"";""14"";""0"";""1019"";""0"";""0"";"""""
"Catanzaro;22/4/2011;""15"";""8"";""22"";""7"";""58"";""11"";""8"";""14"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;23/4/2011;""15"";""8"";""22"";""7"";""60"";""14"";""11"";""17"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;24/4/2011;""16"";""10"";""22"";""9"";""62"";""15"";""11"";""23"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;25/4/2011;""15"";""12"";""19"";""11"";""75"";""9"";""21"";""32"";""36"";""1011"";""0"";""0"";""pioggia temporale """
"Catanzaro;26/4/2011;""16"";""13"";""18"";""11"";""75"";""11"";""24"";""28"";""40"";""1005"";""0"";""0"";"""""
"Catanzaro;27/4/2011;""17"";""15"";""20"";""13"";""81"";""10"";""14"";""22"";""0"";""1005"";""0"";""0"";"""""
"Catanzaro;28/4/2011;""16"";""13"";""19"";""14"";""89"";""10"";""8"";""15"";""0"";""1009"";""0"";""0"";""pioggia """
"Catanzaro;29/4/2011;""16"";""13"";""19"";""13"";""81"";""10"";""6"";""12"";""0"";""1009"";""0"";""0"";"""""
"Catanzaro;30/4/2011;""16"";""12"";""17"";""13"";""82"";""10"";""21"";""31"";""40"";""1004"";""0"";""0"";""pioggia temporale """
