LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Catanzaro;1/3/2011;""12"";""6"";""14"";""10"";""88"";""8"";""9"";""23"";""21"";""1010"";""0"";""0"";""pioggia temporale """
"Catanzaro;2/3/2011;""11"";""7"";""17"";""6"";""72"";""10"";""8"";""15"";""0"";""1016"";""0"";""0"";""pioggia temporale """
"Catanzaro;3/3/2011;""12"";""5"";""17"";""6"";""70"";""11"";""8"";""13"";""0"";""1022"";""0"";""0"";"""""
"Catanzaro;4/3/2011;""13"";""10"";""16"";""9"";""75"";""10"";""21"";""35"";""46"";""1019"";""0"";""0"";""pioggia """
"Catanzaro;5/3/2011;""13"";""12"";""16"";""11"";""85"";""8"";""20"";""27"";""30"";""1012"";""0"";""0"";""pioggia """
"Catanzaro;6/3/2011;""13"";""12"";""14"";""9"";""77"";""11"";""18"";""23"";""0"";""1014"";""0"";""0"";""pioggia """
"Catanzaro;7/3/2011;""11"";""5"";""15"";""4"";""49"";""11"";""12"";""22"";""0"";""1019"";""0"";""0"";"""""
"Catanzaro;8/3/2011;""6"";""1"";""12"";""0"";""40"";""15"";""9"";""16"";""0"";""1026"";""0"";""0"";"""""
"Catanzaro;9/3/2011;""6"";""-2"";""12"";""0"";""55"";""12"";""9"";""15"";""0"";""1025"";""0"";""0"";"""""
"Catanzaro;10/3/2011;""7"";""1"";""14"";""2"";""62"";""12"";""7"";""18"";""0"";""1024"";""0"";""0"";"""""
"Catanzaro;11/3/2011;""8"";""1"";""14"";""4"";""70"";""11"";""6"";""13"";""0"";""1024"";""0"";""0"";"""""
"Catanzaro;12/3/2011;""11"";""3"";""16"";""4"";""61"";""11"";""18"";""28"";""36"";""1023"";""0"";""0"";"""""
"Catanzaro;13/3/2011;""14"";""13"";""15"";""10"";""77"";""10"";""21"";""27"";""36"";""1019"";""0"";""0"";""pioggia """
"Catanzaro;14/3/2011;""16"";""13"";""18"";""12"";""75"";""10"";""23"";""28"";""37"";""1020"";""0"";""0"";"""""
"Catanzaro;15/3/2011;""16"";""14"";""19"";""12"";""73"";""10"";""24"";""27"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;16/3/2011;""16"";""15"";""19"";""13"";""80"";""9"";""28"";""35"";""46"";""1011"";""0"";""0"";""pioggia temporale """
"Catanzaro;17/3/2011;""15"";""9"";""18"";""9"";""70"";""11"";""7"";""14"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;18/3/2011;""13"";""10"";""15"";""11"";""86"";""9"";""7"";""17"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Catanzaro;19/3/2011;""14"";""12"";""16"";""11"";""83"";""10"";""6"";""14"";""0"";""1015"";""0"";""0"";""pioggia """
"Catanzaro;20/3/2011;""12"";""11"";""14"";""10"";""85"";""10"";""4"";""9"";""0"";""1016"";""0"";""0"";""pioggia """
"Catanzaro;21/3/2011;""12"";""10"";""14"";""8"";""74"";""10"";""5"";""8"";""0"";""1021"";""0"";""0"";""pioggia """
"Catanzaro;22/3/2011;""12"";""8"";""17"";""8"";""72"";""11"";""4"";""9"";""0"";""1027"";""0"";""0"";""pioggia temporale """
"Catanzaro;23/3/2011;""12"";""6"";""16"";""5"";""65"";""11"";""9"";""20"";""0"";""1029"";""0"";""0"";"""""
"Catanzaro;24/3/2011;""10"";""4"";""16"";""6"";""75"";""10"";""6"";""14"";""0"";""1031"";""0"";""0"";"""""
"Catanzaro;25/3/2011;""12"";""6"";""16"";""9"";""82"";""10"";""7"";""14"";""0"";""1027"";""0"";""0"";"""""
"Catanzaro;26/3/2011;""13"";""9"";""16"";""10"";""77"";""10"";""10"";""15"";""0"";""1020"";""0"";""0"";"""""
"Catanzaro;27/3/2011;""13"";""7"";""17"";""10"";""79"";""11"";""7"";""15"";""0"";""1019"";""0"";""0"";"""""
"Catanzaro;28/3/2011;""15"";""8"";""22"";""10"";""73"";""11"";""5"";""12"";""0"";""1016"";""0"";""0"";""pioggia """
"Catanzaro;29/3/2011;""15"";""12"";""17"";""12"";""81"";""11"";""9"";""18"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Catanzaro;30/3/2011;""14"";""10"";""17"";""11"";""83"";""10"";""7"";""13"";""0"";""1017"";""0"";""0"";""pioggia """
"Catanzaro;31/3/2011;""14"";""9"";""17"";""11"";""80"";""11"";""8"";""18"";""0"";""1018"";""0"";""0"";""pioggia """
