LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Catanzaro;1/7/2014;""23"";""17"";""26"";""16"";""64"";""13"";""11"";""22"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;2/7/2014;""23"";""15"";""28"";""16"";""64"";""30"";""12"";""22"";""0"";""1019"";""0"";""0"";"""""
"Catanzaro;3/7/2014;""23"";""17"";""27"";""18"";""75"";""30"";""13"";""30"";""0"";""1022"";""0"";""0"";"""""
"Catanzaro;4/7/2014;""25"";""18"";""30"";""17"";""62"";""30"";""10"";""17"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;5/7/2014;""25"";""19"";""29"";""20"";""73"";""19"";""17"";""33"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;6/7/2014;""25"";""21"";""27"";""20"";""73"";""14"";""14"";""19"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;7/7/2014;""24"";""17"";""29"";""19"";""73"";""23"";""9"";""19"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;8/7/2014;""26"";""20"";""30"";""19"";""63"";""19"";""20"";""32"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;9/7/2014;""25"";""22"";""27"";""17"";""60"";""15"";""23"";""35"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;10/7/2014;""23"";""18"";""27"";""17"";""64"";""14"";""19"";""30"";""0"";""1010"";""0"";""0"";""pioggia """
"Catanzaro;11/7/2014;""23"";""20"";""25"";""16"";""61"";""14"";""19"";""30"";""0"";""1009"";""0"";""0"";"""""
"Catanzaro;12/7/2014;""24"";""17"";""27"";""17"";""66"";""11"";""17"";""26"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;13/7/2014;""23"";""16"";""27"";""17"";""68"";""10"";""15"";""26"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;14/7/2014;""24"";""21"";""26"";""17"";""65"";""10"";""15"";""24"";""0"";""1015"";""0"";""0"";""temporale """
"Catanzaro;15/7/2014;""22"";""18"";""26"";""19"";""82"";""9"";""13"";""24"";""65"";""1014"";""0"";""0"";""pioggia temporale """
"Catanzaro;16/7/2014;""24"";""21"";""27"";""20"";""76"";""10"";""14"";""24"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;17/7/2014;""25"";""23"";""28"";""22"";""78"";""10"";""15"";""24"";""0"";""1016"";""0"";""0"";""temporale """
"Catanzaro;18/7/2014;""25"";""22"";""28"";""21"";""79"";""11"";""13"";""24"";""30"";""1016"";""0"";""0"";""temporale """
"Catanzaro;19/7/2014;""26"";""24"";""28"";""22"";""78"";""11"";""15"";""26"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;20/7/2014;""26"";""23"";""28"";""21"";""75"";""13"";""11"";""26"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;21/7/2014;""25"";""20"";""29"";""22"";""81"";""13"";""14"";""30"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Catanzaro;22/7/2014;""24"";""19"";""27"";""20"";""77"";""9"";""17"";""30"";""50"";""1009"";""0"";""0"";""pioggia temporale """
"Catanzaro;23/7/2014;""23"";""19"";""26"";""19"";""80"";""10"";""14"";""28"";""0"";""1009"";""0"";""0"";""pioggia """
"Catanzaro;24/7/2014;""24"";""19"";""27"";""19"";""73"";""10"";""14"";""26"";""0"";""1012"";""0"";""0"";"""""
"Catanzaro;25/7/2014;""25"";""21"";""28"";""20"";""76"";""11"";""14"";""30"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;26/7/2014;""26"";""19"";""32"";""19"";""69"";""11"";""24"";""43"";""0"";""1012"";""0"";""0"";"""""
"Catanzaro;27/7/2014;""26"";""21"";""28"";""21"";""76"";""10"";""15"";""26"";""0"";""1012"";""0"";""0"";"""""
"Catanzaro;28/7/2014;""26"";""22"";""28"";""20"";""71"";""10"";""16"";""26"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;29/7/2014;""27"";""19"";""33"";""19"";""63"";""15"";""12"";""30"";""0"";""1011"";""0"";""0"";"""""
"Catanzaro;30/7/2014;""26"";""23"";""29"";""20"";""68"";""12"";""19"";""30"";""0"";""1009"";""0"";""0"";"""""
"Catanzaro;31/7/2014;""24"";""22"";""26"";""19"";""69"";""11"";""18"";""30"";""48"";""1010"";""0"";""0"";""pioggia """
