LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Catanzaro;1/12/2015;""16"";""13"";""18"";""11"";""72"";""10"";""16"";""26"";""0"";""1027"";""0"";""0"";"""""
"Catanzaro;2/12/2015;""14"";""8"";""18"";""10"";""77"";""10"";""10"";""19"";""0"";""1029"";""0"";""0"";"""""
"Catanzaro;3/12/2015;""11"";""6"";""18"";""9"";""88"";""9"";""8"";""17"";""0"";""1031"";""0"";""0"";"""""
"Catanzaro;4/12/2015;""11"";""7"";""18"";""10"";""88"";""9"";""9"";""13"";""0"";""1033"";""0"";""0"";"""""
"Catanzaro;5/12/2015;""12"";""7"";""19"";""9"";""85"";""10"";""12"";""15"";""0"";""1034"";""0"";""0"";"""""
"Catanzaro;6/12/2015;""11"";""7"";""18"";""9"";""84"";""10"";""9"";""17"";""0"";""1035"";""0"";""0"";"""""
"Catanzaro;7/12/2015;""11"";""6"";""19"";""8"";""82"";""9"";""10"";""15"";""0"";""1035"";""0"";""0"";"""""
"Catanzaro;8/12/2015;""11"";""6"";""17"";""9"";""89"";""9"";""10"";""19"";""0"";""1033"";""0"";""0"";"""""
"Catanzaro;9/12/2015;""12"";""7"";""17"";""10"";""88"";""9"";""8"";""17"";""0"";""1031"";""0"";""0"";""pioggia """
"Catanzaro;10/12/2015;""13"";""10"";""17"";""11"";""91"";""9"";""8"";""20"";""0"";""1028"";""0"";""0"";""pioggia temporale """
"Catanzaro;11/12/2015;""11"";""6"";""16"";""6"";""74"";""10"";""11"";""24"";""0"";""1028"";""0"";""0"";"""""
"Catanzaro;12/12/2015;""12"";""5"";""16"";""7"";""69"";""10"";""11"";""20"";""0"";""1028"";""0"";""0"";"""""
"Catanzaro;13/12/2015;""12"";""6"";""16"";""7"";""69"";""10"";""11"";""15"";""0"";""1026"";""0"";""0"";"""""
"Catanzaro;14/12/2015;""10"";""5"";""16"";""8"";""84"";""10"";""11"";""19"";""0"";""1024"";""0"";""0"";"""""
"Catanzaro;15/12/2015;""10"";""4"";""16"";""7"";""82"";""10"";""10"";""20"";""0"";""1027"";""0"";""0"";"""""
"Catanzaro;16/12/2015;""9"";""4"";""16"";""6"";""84"";""10"";""9"";""17"";""0"";""1027"";""0"";""0"";"""""
"Catanzaro;17/12/2015;""9"";""4"";""17"";""4"";""68"";""10"";""9"";""17"";""0"";""1027"";""0"";""0"";"""""
"Catanzaro;18/12/2015;""7"";""2"";""14"";""4"";""77"";""13"";""12"";""20"";""0"";""1029"";""0"";""0"";"""""
"Catanzaro;19/12/2015;""9"";""2"";""16"";""7"";""82"";""10"";""10"";""19"";""0"";""1028"";""0"";""0"";"""""
"Catanzaro;20/12/2015;""12"";""6"";""17"";""8"";""80"";""10"";""12"";""22"";""0"";""1028"";""0"";""0"";""pioggia """
"Catanzaro;21/12/2015;""11"";""5"";""18"";""8"";""81"";""11"";""11"";""22"";""0"";""1033"";""0"";""0"";"""""
"Catanzaro;22/12/2015;""11"";""5"";""17"";""9"";""85"";""10"";""11"";""22"";""0"";""1035"";""0"";""0"";"""""
"Catanzaro;23/12/2015;""11"";""6"";""18"";""9"";""86"";""10"";""9"";""20"";""0"";""1034"";""0"";""0"";"""""
"Catanzaro;24/12/2015;""11"";""6"";""16"";""9"";""87"";""10"";""10"";""22"";""0"";""1034"";""0"";""0"";"""""
"Catanzaro;25/12/2015;""10"";""5"";""16"";""8"";""88"";""10"";""8"";""15"";""0"";""1034"";""0"";""0"";"""""
"Catanzaro;26/12/2015;""11"";""6"";""18"";""8"";""84"";""9"";""12"";""100"";""0"";""1032"";""0"";""0"";"""""
"Catanzaro;27/12/2015;""10"";""5"";""15"";""7"";""84"";""10"";""10"";""15"";""0"";""1032"";""0"";""0"";"""""
"Catanzaro;28/12/2015;""11"";""4"";""16"";""8"";""85"";""10"";""10"";""19"";""0"";""1032"";""0"";""0"";"""""
"Catanzaro;29/12/2015;""15"";""14"";""16"";""10"";""70"";""10"";""18"";""28"";""0"";""1028"";""0"";""0"";"""""
"Catanzaro;30/12/2015;""14"";""11"";""15"";""7"";""61"";""10"";""15"";""20"";""0"";""1024"";""0"";""0"";"""""
"Catanzaro;31/12/2015;""9"";""2"";""14"";""2"";""60"";""10"";""16"";""26"";""44"";""1025"";""0"";""0"";"""""
