LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Catanzaro;1/1/2015;""8"";""2"";""11"";""0"";""50"";""10"";""20"";""26"";""52"";""1021"";""0"";""0"";"""""
"Catanzaro;2/1/2015;""6"";""-2"";""12"";""2"";""58"";""10"";""11"";""20"";""0"";""1029"";""0"";""0"";"""""
"Catanzaro;3/1/2015;""13"";""7"";""15"";""8"";""72"";""11"";""16"";""24"";""0"";""1029"";""0"";""0"";""pioggia """
"Catanzaro;4/1/2015;""15"";""10"";""16"";""10"";""75"";""11"";""24"";""41"";""0"";""1019"";""0"";""0"";""pioggia """
"Catanzaro;5/1/2015;""9"";""5"";""13"";""0"";""34"";""11"";""15"";""28"";""46"";""1023"";""0"";""0"";"""""
"Catanzaro;6/1/2015;""10"";""1"";""15"";""1"";""40"";""12"";""19"";""32"";""52"";""1023"";""0"";""0"";"""""
"Catanzaro;7/1/2015;""5"";""-2"";""13"";""1"";""57"";""14"";""12"";""22"";""0"";""1030"";""0"";""0"";"""""
"Catanzaro;8/1/2015;""9"";""3"";""14"";""6"";""76"";""11"";""10"";""15"";""0"";""1034"";""0"";""0"";"""""
"Catanzaro;9/1/2015;""12"";""8"";""16"";""8"";""76"";""10"";""18"";""30"";""0"";""1033"";""0"";""0"";"""""
"Catanzaro;10/1/2015;""14"";""13"";""15"";""10"";""70"";""10"";""25"";""35"";""0"";""1026"";""0"";""0"";"""""
"Catanzaro;11/1/2015;""15"";""14"";""16"";""12"";""81"";""10"";""18"";""28"";""0"";""1020"";""0"";""0"";"""""
"Catanzaro;12/1/2015;""12"";""2"";""16"";""9"";""43"";""13"";""16"";""26"";""0"";""1027"";""0"";""0"";""pioggia """
"Catanzaro;13/1/2015;""8"";""0"";""14"";""5"";""74"";""14"";""13"";""24"";""0"";""1030"";""0"";""0"";"""""
"Catanzaro;14/1/2015;""10"";""3"";""15"";""7"";""80"";""11"";""12"";""26"";""0"";""1024"";""0"";""0"";"""""
"Catanzaro;15/1/2015;""13"";""10"";""16"";""9"";""74"";""10"";""15"";""26"";""0"";""1024"";""0"";""0"";"""""
"Catanzaro;16/1/2015;""12"";""5"";""18"";""8"";""74"";""12"";""16"";""28"";""0"";""1022"";""0"";""0"";""nebbia """
"Catanzaro;17/1/2015;""14"";""7"";""21"";""9"";""69"";""13"";""19"";""30"";""0"";""1021"";""0"";""0"";"""""
"Catanzaro;18/1/2015;""15"";""14"";""16"";""12"";""85"";""10"";""22"";""39"";""0"";""1017"";""0"";""0"";""pioggia """
"Catanzaro;19/1/2015;""12"";""7"";""15"";""9"";""82"";""10"";""12"";""28"";""48"";""1013"";""0"";""0"";""pioggia temporale """
"Catanzaro;20/1/2015;""13"";""10"";""15"";""9"";""77"";""10"";""15"";""26"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Catanzaro;21/1/2015;""11"";""7"";""16"";""9"";""87"";""10"";""6"";""15"";""0"";""1012"";""0"";""0"";""pioggia """
"Catanzaro;22/1/2015;""11"";""7"";""16"";""8"";""81"";""9"";""21"";""39"";""59"";""1007"";""0"";""0"";""pioggia temporale """
"Catanzaro;23/1/2015;""10"";""5"";""14"";""6"";""76"";""10"";""9"";""17"";""0"";""1001"";""0"";""0"";"""""
"Catanzaro;24/1/2015;""9"";""3"";""15"";""6"";""79"";""10"";""13"";""100"";""0"";""1003"";""0"";""0"";"""""
"Catanzaro;25/1/2015;""9"";""5"";""11"";""7"";""87"";""10"";""13"";""20"";""0"";""1010"";""0"";""0"";""pioggia """
"Catanzaro;26/1/2015;""9"";""6"";""12"";""5"";""76"";""10"";""11"";""15"";""0"";""1015"";""0"";""0"";""pioggia """
"Catanzaro;27/1/2015;""8"";""1"";""13"";""3"";""73"";""10"";""13"";""28"";""0"";""1013"";""0"";""0"";""pioggia """
"Catanzaro;28/1/2015;""6"";""5"";""7"";""5"";""90"";""9"";""10"";""17"";""0"";""1009"";""0"";""0"";""pioggia """
"Catanzaro;29/1/2015;""10"";""5"";""13"";""4"";""66"";""10"";""18"";""32"";""0"";""1008"";""0"";""0"";"""""
"Catanzaro;30/1/2015;""12"";""9"";""15"";""8"";""71"";""9"";""18"";""54"";""78"";""995"";""0"";""0"";""pioggia temporale """
"Catanzaro;31/1/2015;""11"";""10"";""13"";""8"";""82"";""9"";""17"";""37"";""0"";""991"";""0"";""0"";""pioggia """
