LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Catanzaro;1/10/2015;""21"";""18"";""24"";""15"";""66"";""10"";""24"";""35"";""0"";""1020"";""0"";""0"";"""""
"Catanzaro;2/10/2015;""22"";""20"";""32"";""17"";""74"";""10"";""21"";""35"";""0"";""1021"";""0"";""0"";""pioggia """
"Catanzaro;3/10/2015;""21"";""16"";""26"";""18"";""81"";""10"";""10"";""19"";""0"";""1023"";""0"";""0"";"""""
"Catanzaro;4/10/2015;""20"";""15"";""25"";""16"";""81"";""10"";""10"";""20"";""0"";""1023"";""0"";""0"";"""""
"Catanzaro;5/10/2015;""20"";""14"";""25"";""15"";""74"";""10"";""9"";""17"";""0"";""1019"";""0"";""0"";"""""
"Catanzaro;6/10/2015;""22"";""18"";""25"";""18"";""79"";""10"";""10"";""24"";""0"";""1014"";""0"";""0"";""pioggia """
"Catanzaro;7/10/2015;""21"";""17"";""26"";""19"";""85"";""9"";""20"";""35"";""0"";""1010"";""0"";""0"";""pioggia """
"Catanzaro;8/10/2015;""22"";""16"";""24"";""17"";""75"";""10"";""14"";""22"";""0"";""1014"";""0"";""0"";""pioggia """
"Catanzaro;9/10/2015;""20"";""14"";""25"";""16"";""77"";""10"";""20"";""33"";""0"";""1015"";""0"";""0"";""pioggia """
"Catanzaro;10/10/2015;""21"";""17"";""26"";""18"";""84"";""10"";""22"";""41"";""54"";""1006"";""0"";""0"";""pioggia temporale """
"Catanzaro;11/10/2015;""21"";""18"";""22"";""16"";""76"";""9"";""32"";""39"";""67"";""1006"";""0"";""0"";""pioggia """
"Catanzaro;12/10/2015;""20"";""14"";""23"";""15"";""71"";""10"";""17"";""32"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;13/10/2015;""19"";""12"";""27"";""14"";""72"";""19"";""11"";""20"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;14/10/2015;""23"";""19"";""27"";""18"";""77"";""28"";""26"";""35"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;15/10/2015;""21"";""19"";""22"";""18"";""82"";""14"";""19"";""37"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Catanzaro;16/10/2015;""20"";""15"";""23"";""17"";""81"";""11"";""13"";""32"";""0"";""1016"";""0"";""0"";""pioggia """
"Catanzaro;17/10/2015;""17"";""12"";""22"";""13"";""79"";""10"";""10"";""19"";""0"";""1019"";""0"";""0"";"""""
"Catanzaro;18/10/2015;""18"";""10"";""25"";""12"";""70"";""10"";""11"";""20"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;19/10/2015;""19"";""15"";""25"";""15"";""74"";""10"";""8"";""19"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;20/10/2015;""20"";""14"";""24"";""15"";""75"";""10"";""13"";""24"";""0"";""1011"";""0"";""0"";"""""
"Catanzaro;21/10/2015;""19"";""17"";""22"";""15"";""76"";""10"";""29"";""39"";""46"";""1008"";""0"";""0"";""pioggia """
"Catanzaro;22/10/2015;""16"";""14"";""17"";""14"";""89"";""9"";""17"";""30"";""0"";""1003"";""0"";""0"";""pioggia """
"Catanzaro;23/10/2015;""15"";""12"";""20"";""10"";""70"";""10"";""11"";""24"";""0"";""1009"";""0"";""0"";""pioggia """
"Catanzaro;24/10/2015;""15"";""9"";""21"";""10"";""73"";""10"";""9"";""15"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;25/10/2015;""14"";""8"";""21"";""11"";""82"";""10"";""10"";""15"";""0"";""1022"";""0"";""0"";"""""
"Catanzaro;26/10/2015;""15"";""10"";""21"";""12"";""84"";""10"";""9"";""17"";""0"";""1021"";""0"";""0"";"""""
"Catanzaro;27/10/2015;""16"";""10"";""23"";""12"";""74"";""10"";""16"";""26"";""0"";""1020"";""0"";""0"";"""""
"Catanzaro;28/10/2015;""18"";""15"";""22"";""15"";""81"";""10"";""17"";""32"";""44"";""1019"";""0"";""0"";"""""
"Catanzaro;29/10/2015;""17"";""12"";""23"";""15"";""89"";""9"";""7"";""17"";""37"";""1016"";""0"";""0"";""pioggia temporale """
"Catanzaro;30/10/2015;""16"";""13"";""20"";""13"";""83"";""10"";""8"";""20"";""0"";""1016"";""0"";""0"";""pioggia """
"Catanzaro;31/10/2015;""17"";""16"";""18"";""14"";""83"";""7"";""40"";""56"";""83"";""1018"";""0"";""0"";""pioggia """
