LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Catanzaro;1/6/2017;""20"";""13"";""24"";""16"";""78"";""20"";""11"";""21"";""0"";""1021"";""0"";""0"";"""""
"Catanzaro;2/6/2017;""21"";""15"";""24"";""17"";""79"";""20"";""12"";""28"";""0"";""1019"";""0"";""0"";"""""
"Catanzaro;3/6/2017;""21"";""15"";""24"";""16"";""76"";""21"";""13"";""28"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;4/6/2017;""21"";""14"";""25"";""17"";""80"";""21"";""11"";""21"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;5/6/2017;""22"";""16"";""28"";""16"";""69"";""20"";""7"";""18"";""0"";""1012"";""0"";""0"";"""""
"Catanzaro;6/6/2017;""21"";""16"";""24"";""17"";""78"";""22"";""7"";""11"";""0"";""1012"";""0"";""0"";""pioggia """
"Catanzaro;7/6/2017;""22"";""19"";""25"";""17"";""72"";""21"";""18"";""31"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;8/6/2017;""22"";""17"";""24"";""16"";""70"";""21"";""14"";""21"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;9/6/2017;""22"";""14"";""27"";""15"";""68"";""22"";""10"";""18"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;10/6/2017;""21"";""13"";""25"";""15"";""72"";""19"";""11"";""21"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;11/6/2017;""21"";""15"";""25"";""17"";""78"";""18"";""10"";""21"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;12/6/2017;""21"";""13"";""26"";""15"";""70"";""22"";""12"";""21"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;13/6/2017;""22"";""14"";""26"";""17"";""75"";""20"";""14"";""26"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;14/6/2017;""23"";""17"";""27"";""18"";""74"";""22"";""11"";""24"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;15/6/2017;""23"";""18"";""27"";""19"";""76"";""19"";""13"";""26"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;16/6/2017;""24"";""19"";""27"";""20"";""78"";""22"";""10"";""21"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;17/6/2017;""24"";""21"";""27"";""19"";""72"";""20"";""12"";""22"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;18/6/2017;""26"";""23"";""30"";""10"";""40"";""19"";""18"";""33"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;19/6/2017;""22"";""15"";""27"";""13"";""57"";""19"";""15"";""28"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;20/6/2017;""22"";""15"";""26"";""18"";""78"";""22"";""13"";""24"";""0"";""1020"";""0"";""0"";"""""
"Catanzaro;21/6/2017;""23"";""18"";""26"";""19"";""74"";""18"";""14"";""26"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;22/6/2017;""24"";""23"";""27"";""19"";""74"";""20"";""11"";""21"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;23/6/2017;""25"";""21"";""27"";""20"";""75"";""19"";""13"";""24"";""0"";""1019"";""0"";""0"";"""""
"Catanzaro;24/6/2017;""25"";""23"";""28"";""20"";""75"";""22"";""15"";""24"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;25/6/2017;""24"";""20"";""28"";""20"";""79"";""21"";""12"";""26"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;26/6/2017;""25"";""22"";""28"";""21"";""76"";""20"";""14"";""24"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;27/6/2017;""29"";""19"";""36"";""16"";""52"";""20"";""10"";""22"";""0"";""1012"";""0"";""0"";"""""
"Catanzaro;28/6/2017;""28"";""18"";""38"";""15"";""50"";""18"";""9"";""24"";""0"";""1010"";""0"";""0"";"""""
"Catanzaro;29/6/2017;""27"";""22"";""30"";""21"";""70"";""22"";""13"";""26"";""0"";""1010"";""0"";""0"";"""""
"Catanzaro;30/6/2017;""29"";""18"";""38"";""17"";""57"";""18"";""16"";""33"";""0"";""1011"";""0"";""0"";"""""
