LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Catanzaro;1/8/2018;""27"";""25"";""30"";""24"";""80"";""22"";""11"";""22"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;2/8/2018;""27"";""24"";""30"";""24"";""81"";""18"";""11"";""26"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;3/8/2018;""27"";""23"";""30"";""22"";""72"";""18"";""16"";""100"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Catanzaro;4/8/2018;""25"";""21"";""30"";""21"";""77"";""21"";""11"";""30"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Catanzaro;5/8/2018;""27"";""21"";""33"";""20"";""69"";""20"";""13"";""24"";""0"";""1014"";""0"";""0"";""pioggia """
"Catanzaro;6/8/2018;""26"";""20"";""31"";""21"";""75"";""18"";""11"";""22"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;7/8/2018;""27"";""20"";""33"";""21"";""72"";""20"";""10"";""21"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;8/8/2018;""27"";""20"";""33"";""20"";""67"";""19"";""10"";""22"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;9/8/2018;""26"";""20"";""30"";""22"";""77"";""19"";""11"";""22"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;10/8/2018;""26"";""21"";""31"";""22"";""77"";""20"";""13"";""26"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;11/8/2018;""28"";""24"";""30"";""23"";""75"";""18"";""13"";""28"";""0"";""1018"";""0"";""0"";""pioggia temporale """
"Catanzaro;12/8/2018;""27"";""24"";""30"";""23"";""77"";""19"";""9"";""21"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;13/8/2018;""26"";""21"";""30"";""22"";""77"";""21"";""11"";""26"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;14/8/2018;""27"";""23"";""31"";""21"";""70"";""21"";""13"";""26"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;15/8/2018;""24"";""20"";""27"";""19"";""76"";""21"";""12"";""39"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Catanzaro;16/8/2018;""24"";""18"";""28"";""19"";""77"";""21"";""11"";""22"";""0"";""1012"";""0"";""0"";""pioggia """
"Catanzaro;17/8/2018;""24"";""19"";""28"";""20"";""77"";""18"";""11"";""21"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;18/8/2018;""24"";""20"";""29"";""20"";""80"";""18"";""10"";""24"";""0"";""1015"";""0"";""0"";""pioggia temporale """
"Catanzaro;19/8/2018;""25"";""20"";""29"";""21"";""79"";""17"";""10"";""21"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Catanzaro;20/8/2018;""23"";""20"";""29"";""20"";""83"";""18"";""8"";""26"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Catanzaro;21/8/2018;""23"";""18"";""29"";""19"";""79"";""22"";""10"";""22"";""0"";""1012"";""0"";""0"";""pioggia temporale """
"Catanzaro;22/8/2018;""24"";""20"";""30"";""18"";""71"";""20"";""13"";""35"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Catanzaro;23/8/2018;""23"";""18"";""29"";""18"";""72"";""21"";""13"";""28"";""0"";""1012"";""0"";""0"";"""""
"Catanzaro;24/8/2018;""22"";""19"";""29"";""20"";""87"";""20"";""10"";""26"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Catanzaro;25/8/2018;""23"";""20"";""26"";""22"";""95"";""18"";""8"";""18"";""0"";""1010"";""0"";""0"";""pioggia temporale """
"Catanzaro;26/8/2018;""25"";""21"";""28"";""20"";""76"";""19"";""14"";""24"";""0"";""1010"";""0"";""0"";"""""
"Catanzaro;27/8/2018;""23"";""19"";""27"";""18"";""71"";""18"";""13"";""26"";""0"";""1010"";""0"";""0"";""pioggia """
"Catanzaro;28/8/2018;""22"";""16"";""27"";""17"";""74"";""19"";""12"";""24"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;29/8/2018;""24"";""19"";""27"";""20"";""78"";""20"";""10"";""21"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;30/8/2018;""25"";""20"";""28"";""20"";""77"";""19"";""9"";""21"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;31/8/2018;""24"";""19"";""28"";""20"";""77"";""21"";""13"";""28"";""0"";""1017"";""0"";""0"";"""""
