LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Catanzaro;1/5/2018;""19"";""11"";""25"";""14"";""71"";""19"";""16"";""35"";""0"";""1012"";""0"";""0"";"""""
"Catanzaro;2/5/2018;""20"";""17"";""23"";""13"";""65"";""19"";""37"";""52"";""0"";""1003"";""0"";""0"";"""""
"Catanzaro;3/5/2018;""17"";""15"";""22"";""13"";""80"";""17"";""23"";""39"";""0"";""998"";""0"";""0"";""pioggia """
"Catanzaro;4/5/2018;""17"";""14"";""21"";""13"";""81"";""18"";""12"";""24"";""0"";""1008"";""0"";""0"";""pioggia """
"Catanzaro;5/5/2018;""17"";""15"";""20"";""14"";""79"";""21"";""16"";""28"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;6/5/2018;""17"";""13"";""19"";""14"";""81"";""19"";""17"";""28"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;7/5/2018;""17"";""16"";""19"";""15"";""89"";""18"";""14"";""21"";""0"";""1014"";""0"";""0"";""pioggia """
"Catanzaro;8/5/2018;""17"";""16"";""19"";""15"";""89"";""14"";""12"";""22"";""0"";""1009"";""0"";""0"";""pioggia """
"Catanzaro;9/5/2018;""18"";""15"";""20"";""15"";""83"";""21"";""13"";""26"";""0"";""1007"";""0"";""0"";"""""
"Catanzaro;10/5/2018;""19"";""17"";""21"";""15"";""79"";""22"";""17"";""28"";""0"";""1010"";""0"";""0"";"""""
"Catanzaro;11/5/2018;""19"";""17"";""21"";""16"";""84"";""17"";""19"";""30"";""0"";""1016"";""0"";""0"";""pioggia """
"Catanzaro;12/5/2018;""19"";""18"";""21"";""16"";""85"";""15"";""14"";""24"";""0"";""1016"";""0"";""0"";""pioggia """
"Catanzaro;13/5/2018;""18"";""13"";""22"";""14"";""80"";""16"";""11"";""22"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;14/5/2018;""18"";""13"";""21"";""14"";""76"";""17"";""15"";""30"";""0"";""1014"";""0"";""0"";""pioggia """
"Catanzaro;15/5/2018;""16"";""14"";""19"";""11"";""70"";""21"";""10"";""17"";""0"";""1016"";""0"";""0"";""pioggia """
"Catanzaro;16/5/2018;""16"";""9"";""20"";""11"";""74"";""19"";""11"";""26"";""0"";""1016"";""0"";""0"";"""""
"Catanzaro;17/5/2018;""17"";""9"";""24"";""11"";""66"";""20"";""12"";""24"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;18/5/2018;""19"";""16"";""24"";""14"";""75"";""20"";""13"";""24"";""0"";""1013"";""0"";""0"";""pioggia """
"Catanzaro;19/5/2018;""19"";""15"";""22"";""15"";""81"";""19"";""9"";""21"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;20/5/2018;""22"";""13"";""28"";""11"";""53"";""21"";""20"";""30"";""0"";""1012"";""0"";""0"";"""""
"Catanzaro;21/5/2018;""22"";""17"";""27"";""15"";""65"";""20"";""11"";""24"";""0"";""1012"";""0"";""0"";""pioggia """
"Catanzaro;22/5/2018;""23"";""14"";""29"";""13"";""57"";""20"";""18"";""33"";""0"";""1013"";""0"";""0"";"""""
"Catanzaro;23/5/2018;""20"";""17"";""22"";""16"";""78"";""20"";""17"";""30"";""0"";""1015"";""0"";""0"";""pioggia """
"Catanzaro;24/5/2018;""20"";""18"";""22"";""18"";""88"";""14"";""21"";""31"";""0"";""1016"";""0"";""0"";""pioggia """
"Catanzaro;25/5/2018;""20"";""18"";""23"";""17"";""83"";""17"";""13"";""22"";""0"";""1016"";""0"";""0"";""pioggia """
"Catanzaro;26/5/2018;""20"";""17"";""24"";""18"";""85"";""19"";""7"";""17"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;27/5/2018;""21"";""17"";""26"";""19"";""86"";""14"";""8"";""17"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;28/5/2018;""21"";""15"";""26"";""18"";""84"";""18"";""8"";""17"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;29/5/2018;""25"";""17"";""31"";""14"";""55"";""19"";""18"";""30"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;30/5/2018;""25"";""18"";""31"";""14"";""53"";""21"";""16"";""26"";""0"";""1014"";""0"";""0"";"""""
"Catanzaro;31/5/2018;""22"";""18"";""25"";""19"";""82"";""15"";""12"";""22"";""0"";""1016"";""0"";""0"";"""""
