LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Catanzaro;1/2/2019;""12"";""7"";""19"";""8"";""74"";""23"";""17"";""31"";""0"";""1011"";""0"";""0"";"""""
"Catanzaro;2/2/2019;""15"";""12"";""17"";""11"";""81"";""16"";""33"";""46"";""0"";""1006"";""0"";""0"";"""""
"Catanzaro;3/2/2019;""13"";""8"";""15"";""8"";""74"";""18"";""13"";""22"";""0"";""1008"";""0"";""0"";""pioggia """
"Catanzaro;4/2/2019;""11"";""7"";""14"";""7"";""78"";""16"";""14"";""26"";""0"";""1011"";""0"";""0"";""pioggia temporale """
Catanzaro;5/2/2019;;;;;;;;;;;;;
"Catanzaro;6/2/2019;""13"";""12"";""14"";""4"";""53"";""19"";""10"";""18"";""0"";""1015"";""0"";""0"";"""""
"Catanzaro;7/2/2019;""10"";""5"";""15"";""5"";""73"";""19"";""9"";""15"";""0"";""1017"";""0"";""0"";"""""
"Catanzaro;8/2/2019;""9"";""3"";""14"";""6"";""82"";""21"";""11"";""24"";""0"";""1019"";""0"";""0"";"""""
"Catanzaro;9/2/2019;""10"";""3"";""14"";""7"";""83"";""21"";""13"";""26"";""0"";""1022"";""0"";""0"";"""""
"Catanzaro;10/2/2019;""10"";""5"";""14"";""7"";""83"";""22"";""11"";""24"";""0"";""1023"";""0"";""0"";"""""
"Catanzaro;11/2/2019;""10"";""3"";""15"";""6"";""79"";""14"";""31"";""48"";""0"";""1014"";""0"";""0"";""pioggia """
"Catanzaro;12/2/2019;""9"";""3"";""13"";""2"";""51"";""20"";""13"";""24"";""0"";""1018"";""0"";""0"";"""""
"Catanzaro;13/2/2019;""9"";""7"";""19"";""0"";""33"";""19"";""18"";""28"";""0"";""1026"";""0"";""0"";"""""
"Catanzaro;14/2/2019;""9"";""3"";""13"";""4"";""52"";""20"";""18"";""35"";""0"";""1028"";""0"";""0"";"""""
"Catanzaro;15/2/2019;""9"";""3"";""15"";""2"";""60"";""20"";""11"";""35"";""0"";""1025"";""0"";""0"";"""""
"Catanzaro;16/2/2019;""7"";""1"";""13"";""1"";""67"";""21"";""8"";""15"";""0"";""1028"";""0"";""0"";"""""
"Catanzaro;17/2/2019;""7"";""0"";""14"";""6"";""81"";""21"";""12"";""22"";""0"";""1029"";""0"";""0"";"""""
"Catanzaro;18/2/2019;""8"";""2"";""14"";""4"";""78"";""21"";""10"";""21"";""0"";""1026"";""0"";""0"";"""""
"Catanzaro;19/2/2019;""8"";""4"";""13"";""5"";""79"";""16"";""12"";""24"";""0"";""1024"";""0"";""0"";"""""
"Catanzaro;20/2/2019;""9"";""3"";""14"";""5"";""79"";""17"";""10"";""18"";""0"";""1024"";""0"";""0"";"""""
"Catanzaro;21/2/2019;""11"";""8"";""14"";""6"";""69"";""20"";""12"";""22"";""0"";""1027"";""0"";""0"";"""""
"Catanzaro;22/2/2019;""12"";""9"";""14"";""7"";""75"";""15"";""15"";""30"";""0"";""1022"";""0"";""0"";"""""
"Catanzaro;23/2/2019;""9"";""6"";""11"";""6"";""51"";""20"";""18"";""35"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Catanzaro;24/2/2019;""9"";""7"";""13"";""0"";""42"";""19"";""26"";""33"";""0"";""1020"";""0"";""0"";"""""
"Catanzaro;25/2/2019;""7"";""1"";""13"";""1"";""52"";""20"";""14"";""24"";""0"";""1023"";""0"";""0"";"""""
"Catanzaro;26/2/2019;""7"";""-1"";""13"";""3"";""68"";""19"";""16"";""31"";""0"";""1025"";""0"";""0"";"""""
"Catanzaro;27/2/2019;""12"";""7"";""18"";""6"";""59"";""21"";""14"";""30"";""0"";""1020"";""0"";""0"";"""""
"Catanzaro;28/2/2019;""9"";""1"";""14"";""4"";""66"";""19"";""17"";""28"";""0"";""1023"";""0"";""0"";"""""
