LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Firenze;1/6/2010;""19"";""10"";""27"";""9"";""56"";""15"";""6"";""15"";""0"";""1008"";""0"";""0"";"""""
"Firenze;2/6/2010;""18"";""15"";""22"";""14"";""79"";""11"";""4"";""10"";""0"";""1006"";""0"";""0"";""pioggia temporale """
"Firenze;3/6/2010;""18"";""14"";""23"";""13"";""76"";""10"";""5"";""23"";""37"";""1009"";""0"";""0"";""pioggia temporale """
"Firenze;4/6/2010;""21"";""14"";""28"";""12"";""57"";""13"";""4"";""9"";""0"";""1014"";""0"";""0"";"""""
"Firenze;5/6/2010;""22"";""13"";""30"";""14"";""61"";""11"";""5"";""12"";""0"";""1018"";""0"";""0"";"""""
"Firenze;6/6/2010;""23"";""15"";""29"";""15"";""64"";""14"";""6"";""13"";""0"";""1016"";""0"";""0"";"""""
"Firenze;7/6/2010;""22"";""14"";""28"";""14"";""64"";""14"";""7"";""14"";""0"";""1014"";""0"";""0"";"""""
"Firenze;8/6/2010;""23"";""16"";""29"";""16"";""65"";""11"";""5"";""10"";""0"";""1012"";""0"";""0"";"""""
"Firenze;9/6/2010;""24"";""16"";""32"";""15"";""58"";""13"";""4"";""12"";""0"";""1012"";""0"";""0"";"""""
"Firenze;10/6/2010;""25"";""17"";""32"";""15"";""57"";""14"";""4"";""10"";""0"";""1012"";""0"";""0"";"""""
"Firenze;11/6/2010;""25"";""17"";""33"";""15"";""54"";""14"";""5"";""14"";""0"";""1012"";""0"";""0"";"""""
"Firenze;12/6/2010;""24"";""18"";""30"";""16"";""60"";""10"";""6"";""13"";""0"";""1012"";""0"";""0"";"""""
"Firenze;13/6/2010;""23"";""19"";""28"";""17"";""71"";""11"";""8"";""17"";""25"";""1012"";""0"";""0"";""pioggia """
"Firenze;14/6/2010;""22"";""15"";""28"";""15"";""65"";""13"";""5"";""12"";""0"";""1013"";""0"";""0"";"""""
"Firenze;15/6/2010;""22"";""19"";""28"";""17"";""76"";""11"";""5"";""10"";""0"";""1013"";""0"";""0"";""pioggia temporale """
"Firenze;16/6/2010;""21"";""17"";""24"";""17"";""82"";""10"";""6"";""14"";""21"";""1012"";""0"";""0"";""pioggia temporale """
"Firenze;17/6/2010;""19"";""15"";""23"";""17"";""88"";""10"";""3"";""17"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Firenze;18/6/2010;""20"";""16"";""25"";""15"";""75"";""12"";""8"";""16"";""0"";""1011"";""0"";""0"";"""""
"Firenze;19/6/2010;""18"";""16"";""22"";""16"";""86"";""9"";""5"";""10"";""0"";""1004"";""0"";""0"";""pioggia temporale """
"Firenze;20/6/2010;""17"";""15"";""21"";""14"";""84"";""10"";""6"";""9"";""0"";""1000"";""0"";""0"";""pioggia temporale """
"Firenze;21/6/2010;""17"";""14"";""21"";""12"";""72"";""12"";""7"";""17"";""21"";""1007"";""0"";""0"";"""""
"Firenze;22/6/2010;""19"";""12"";""27"";""12"";""68"";""14"";""7"";""100"";""0"";""1013"";""0"";""0"";"""""
"Firenze;23/6/2010;""20"";""15"";""27"";""14"";""69"";""12"";""4"";""12"";""0"";""1016"";""0"";""0"";"""""
"Firenze;24/6/2010;""22"";""14"";""28"";""14"";""66"";""11"";""5"";""13"";""0"";""1015"";""0"";""0"";"""""
"Firenze;25/6/2010;""22"";""16"";""28"";""15"";""67"";""10"";""5"";""12"";""0"";""1014"";""0"";""0"";"""""
"Firenze;26/6/2010;""22"";""15"";""30"";""16"";""71"";""10"";""4"";""13"";""0"";""1013"";""0"";""0"";""pioggia """
"Firenze;27/6/2010;""25"";""16"";""30"";""16"";""59"";""10"";""4"";""9"";""0"";""1015"";""0"";""0"";"""""
"Firenze;28/6/2010;""25"";""17"";""32"";""16"";""61"";""11"";""4"";""10"";""0"";""1016"";""0"";""0"";"""""
"Firenze;29/6/2010;""25"";""18"";""32"";""17"";""63"";""11"";""4"";""10"";""0"";""1016"";""0"";""0"";"""""
"Firenze;30/6/2010;""26"";""18"";""33"";""17"";""60"";""10"";""4"";""12"";""0"";""1015"";""0"";""0"";"""""
