LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Firenze;1/7/2011;""23"";""18"";""30"";""19"";""76"";""9"";""4"";""22"";""38"";""1011"";""0"";""0"";""pioggia temporale """
"Firenze;2/7/2011;""22"";""17"";""25"";""14"";""62"";""12"";""6"";""15"";""0"";""1010"";""0"";""0"";"""""
"Firenze;3/7/2011;""22"";""14"";""29"";""13"";""62"";""14"";""6"";""14"";""0"";""1011"";""0"";""0"";"""""
"Firenze;4/7/2011;""24"";""18"";""29"";""17"";""69"";""10"";""5"";""13"";""0"";""1013"";""0"";""0"";""pioggia """
"Firenze;5/7/2011;""24"";""20"";""28"";""18"";""69"";""10"";""4"";""10"";""0"";""1011"";""0"";""0"";""pioggia """
"Firenze;6/7/2011;""24"";""20"";""31"";""18"";""67"";""10"";""5"";""14"";""0"";""1012"";""0"";""0"";"""""
"Firenze;7/7/2011;""25"";""18"";""33"";""16"";""60"";""12"";""5"";""15"";""0"";""1013"";""0"";""0"";"""""
"Firenze;8/7/2011;""26"";""19"";""34"";""16"";""55"";""16"";""6"";""14"";""0"";""1014"";""0"";""0"";"""""
"Firenze;9/7/2011;""27"";""19"";""34"";""17"";""54"";""18"";""5"";""15"";""0"";""1017"";""0"";""0"";"""""
"Firenze;10/7/2011;""28"";""21"";""35"";""18"";""60"";""18"";""5"";""12"";""0"";""1016"";""0"";""0"";"""""
"Firenze;11/7/2011;""28"";""21"";""36"";""17"";""55"";""15"";""5"";""14"";""20"";""1014"";""0"";""0"";"""""
"Firenze;12/7/2011;""30"";""21"";""38"";""17"";""50"";""12"";""4"";""10"";""0"";""1013"";""0"";""0"";"""""
"Firenze;13/7/2011;""30"";""22"";""37"";""16"";""46"";""12"";""6"";""16"";""0"";""1009"";""0"";""0"";"""""
"Firenze;14/7/2011;""27"";""23"";""32"";""18"";""56"";""11"";""8"";""14"";""20"";""1010"";""0"";""0"";"""""
"Firenze;15/7/2011;""24"";""19"";""29"";""15"";""57"";""11"";""8"";""14"";""0"";""1015"";""0"";""0"";"""""
"Firenze;16/7/2011;""23"";""17"";""28"";""15"";""62"";""10"";""7"";""15"";""0"";""1015"";""0"";""0"";"""""
"Firenze;17/7/2011;""25"";""19"";""32"";""16"";""59"";""11"";""7"";""14"";""25"";""1009"";""0"";""0"";"""""
"Firenze;18/7/2011;""23"";""19"";""26"";""14"";""58"";""11"";""11"";""18"";""29"";""1007"";""0"";""0"";""pioggia temporale """
"Firenze;19/7/2011;""21"";""16"";""26"";""13"";""63"";""11"";""5"";""12"";""0"";""1006"";""0"";""0"";""pioggia temporale """
"Firenze;20/7/2011;""20"";""16"";""25"";""14"";""68"";""11"";""10"";""23"";""32"";""1006"";""0"";""0"";""temporale """
"Firenze;21/7/2011;""21"";""16"";""25"";""15"";""73"";""11"";""7"";""16"";""0"";""1008"";""0"";""0"";"""""
"Firenze;22/7/2011;""23"";""17"";""28"";""13"";""58"";""12"";""11"";""22"";""0"";""1009"";""0"";""0"";"""""
"Firenze;23/7/2011;""21"";""16"";""28"";""13"";""61"";""14"";""12"";""26"";""43"";""1008"";""0"";""0"";""pioggia """
"Firenze;24/7/2011;""20"";""17"";""24"";""13"";""66"";""11"";""9"";""22"";""0"";""1005"";""0"";""0"";""pioggia temporale """
"Firenze;25/7/2011;""20"";""12"";""26"";""11"";""60"";""13"";""7"";""19"";""0"";""1007"";""0"";""0"";""pioggia """
"Firenze;26/7/2011;""22"";""15"";""28"";""12"";""58"";""13"";""8"";""22"";""0"";""1011"";""0"";""0"";"""""
"Firenze;27/7/2011;""19"";""14"";""24"";""15"";""79"";""12"";""5"";""13"";""32"";""1016"";""0"";""0"";""pioggia """
"Firenze;28/7/2011;""22"";""18"";""27"";""16"";""70"";""14"";""7"";""19"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Firenze;29/7/2011;""21"";""16"";""26"";""16"";""74"";""12"";""7"";""19"";""0"";""1014"";""0"";""0"";""pioggia temporale """
"Firenze;30/7/2011;""22"";""17"";""29"";""16"";""68"";""13"";""10"";""22"";""30"";""1013"";""0"";""0"";"""""
"Firenze;31/7/2011;""23"";""17"";""30"";""15"";""63"";""11"";""7"";""19"";""0"";""1011"";""0"";""0"";"""""
