LOCALITA;DATA;TMEDIA;TMIN;TMAX;PUNTORUGIADA °C;UMID;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
"Firenze;1/11/2011;""12"";""8"";""18"";""9"";""82"";""8"";""3"";""7"";""0"";""1020"";""0"";""0"";"""""
"Firenze;2/11/2011;""13"";""7"";""20"";""9"";""83"";""9"";""3"";""7"";""0"";""1019"";""0"";""0"";"""""
"Firenze;3/11/2011;""13"";""7"";""20"";""10"";""81"";""8"";""5"";""11"";""0"";""1017"";""0"";""0"";""nebbia """
"Firenze;4/11/2011;""16"";""13"";""19"";""13"";""80"";""9"";""9"";""19"";""0"";""1014"";""0"";""0"";"""""
"Firenze;5/11/2011;""19"";""16"";""22"";""12"";""63"";""11"";""13"";""33"";""0"";""1011"";""0"";""0"";""pioggia """
"Firenze;6/11/2011;""16"";""13"";""18"";""12"";""79"";""11"";""9"";""22"";""32"";""1010"";""0"";""0"";""pioggia """
"Firenze;7/11/2011;""13"";""11"";""15"";""12"";""96"";""11"";""5"";""19"";""0"";""1017"";""0"";""0"";""pioggia """
"Firenze;8/11/2011;""16"";""11"";""21"";""12"";""77"";""11"";""9"";""20"";""0"";""1019"";""0"";""0"";""pioggia """
"Firenze;9/11/2011;""15"";""10"";""21"";""11"";""80"";""9"";""4"";""13"";""0"";""1021"";""0"";""0"";"""""
"Firenze;10/11/2011;""13"";""7"";""20"";""9"";""78"";""21"";""5"";""13"";""0"";""1019"";""0"";""0"";"""""
"Firenze;11/11/2011;""12"";""5"";""18"";""7"";""77"";""17"";""10"";""28"";""32"";""1022"";""0"";""0"";"""""
"Firenze;12/11/2011;""12"";""8"";""15"";""4"";""56"";""26"";""10"";""22"";""44"";""1029"";""0"";""0"";"""""
"Firenze;13/11/2011;""11"";""7"";""17"";""1"";""48"";""28"";""9"";""19"";""0"";""1030"";""0"";""0"";"""""
"Firenze;14/11/2011;""8"";""0"";""18"";""1"";""58"";""25"";""5"";""11"";""0"";""1025"";""0"";""0"";"""""
"Firenze;15/11/2011;""6"";""-1"";""15"";""1"";""69"";""21"";""4"";""7"";""0"";""1020"";""0"";""0"";"""""
"Firenze;16/11/2011;""6"";""-1"";""18"";""1"";""68"";""33"";""3"";""7"";""0"";""1020"";""0"";""0"";"""""
"Firenze;17/11/2011;""6"";""-1"";""15"";""2"";""76"";""16"";""4"";""7"";""0"";""1024"";""0"";""0"";"""""
"Firenze;18/11/2011;""5"";""-1"";""16"";""3"";""81"";""9"";""3"";""6"";""0"";""1025"";""0"";""0"";""nebbia """
"Firenze;19/11/2011;""4"";""-1"";""13"";""3"";""85"";""8"";""3"";""7"";""0"";""1024"";""0"";""0"";""nebbia """
"Firenze;20/11/2011;""6"";""-1"";""14"";""2"";""76"";""7"";""4"";""9"";""0"";""1023"";""0"";""0"";"""""
"Firenze;21/11/2011;""8"";""2"";""14"";""3"";""73"";""9"";""3"";""7"";""0"";""1020"";""0"";""0"";"""""
"Firenze;22/11/2011;""11"";""4"";""15"";""5"";""69"";""11"";""12"";""33"";""57"";""1017"";""0"";""0"";"""""
"Firenze;23/11/2011;""13"";""10"";""16"";""5"";""58"";""13"";""11"";""24"";""37"";""1020"";""0"";""0"";"""""
"Firenze;24/11/2011;""12"";""9"";""17"";""4"";""56"";""19"";""10"";""17"";""0"";""1026"";""0"";""0"";"""""
"Firenze;25/11/2011;""10"";""4"";""18"";""3"";""62"";""16"";""5"";""13"";""0"";""1027"";""0"";""0"";"""""
"Firenze;26/11/2011;""7"";""1"";""15"";""3"";""78"";""12"";""3"";""6"";""0"";""1028"";""0"";""0"";"""""
"Firenze;27/11/2011;""6"";""0"";""17"";""4"";""82"";""9"";""3"";""6"";""0"";""1028"";""0"";""0"";""nebbia """
"Firenze;28/11/2011;""9"";""3"";""16"";""5"";""78"";""10"";""4"";""9"";""0"";""1026"";""0"";""0"";"""""
"Firenze;29/11/2011;""7"";""1"";""15"";""4"";""82"";""8"";""3"";""6"";""0"";""1025"";""0"";""0"";""nebbia """
"Firenze;30/11/2011;""6"";""0"";""14"";""4"";""87"";""7"";""3"";""7"";""0"";""1028"";""0"";""0"";""nebbia """
